,account_value,date
0,1055987.6,2009-03-17
1,1084510.6,2009-03-18
2,1079419.5,2009-03-19
3,1035035.0,2009-03-20
4,1140338.0,2009-03-23
5,1107009.6,2009-03-24
6,1122324.6,2009-03-25
7,1177742.9,2009-03-26
8,1158214.2,2009-03-27
9,1096045.0,2009-03-30
10,1125409.9,2009-03-31
11,1158915.8,2009-04-01
12,1237661.1,2009-04-02
13,1278278.2,2009-04-03
14,1269305.4,2009-04-06
15,1227045.1,2009-04-07
16,1243026.9,2009-04-08
17,1334198.4,2009-04-09
18,1352029.2,2009-04-13
19,1308574.6,2009-04-14
20,1333287.5,2009-04-15
21,1365424.8,2009-04-16
22,1389122.6,2009-04-17
23,1295657.6,2009-04-20
24,1352077.0,2009-04-21
25,1366179.0,2009-04-22
26,1405504.4,2009-04-23
27,1458569.6,2009-04-24
28,1402158.2,2009-04-27
29,1403729.8,2009-04-28
30,1462492.2,2009-04-29
31,1475618.0,2009-04-30
32,1498342.0,2009-05-01
33,1574766.0,2009-05-04
34,1600745.6,2009-05-05
35,1607950.6,2009-05-06
36,1541976.2,2009-05-07
37,1594801.9,2009-05-08
38,1572764.6,2009-05-11
39,1548109.6,2009-05-12
40,1442831.8,2009-05-13
41,1498736.5,2009-05-14
42,1473484.2,2009-05-15
43,1550195.8,2009-05-18
44,1573495.4,2009-05-19
45,1565036.4,2009-05-20
46,1519631.8,2009-05-21
47,1530418.1,2009-05-22
48,1576558.2,2009-05-26
49,1530497.5,2009-05-27
50,1550332.9,2009-05-28
51,1579354.0,2009-05-29
52,1658678.5,2009-06-01
53,1649222.8,2009-06-02
54,1589871.2,2009-06-03
55,1610500.2,2009-06-04
56,1613355.9,2009-06-05
57,1596752.2,2009-06-08
58,1612656.0,2009-06-09
59,1604686.5,2009-06-10
60,1620477.2,2009-06-11
61,1622529.8,2009-06-12
62,1563889.1,2009-06-15
63,1555459.6,2009-06-16
64,1544960.6,2009-06-17
65,1547464.0,2009-06-18
66,1543744.2,2009-06-19
67,1479047.2,2009-06-22
68,1468758.2,2009-06-23
69,1486101.6,2009-06-24
70,1542846.4,2009-06-25
71,1542876.5,2009-06-26
72,1551315.5,2009-06-29
73,1564302.8,2009-06-30
74,1566746.6,2009-07-01
75,1509470.6,2009-07-02
76,1493451.1,2009-07-06
77,1452519.5,2009-07-07
78,1423635.0,2009-07-08
79,1434811.8,2009-07-09
80,1419851.6,2009-07-10
81,1446793.4,2009-07-13
82,1465437.5,2009-07-14
83,1531915.2,2009-07-15
84,1560635.8,2009-07-16
85,1552899.5,2009-07-17
86,1595032.9,2009-07-20
87,1589854.2,2009-07-21
88,1602359.8,2009-07-22
89,1651158.2,2009-07-23
90,1677733.6,2009-07-24
91,1676061.8,2009-07-27
92,1663548.2,2009-07-28
93,1646666.8,2009-07-29
94,1684303.4,2009-07-30
