,account_value,date
0,1034267.06,2020-09-14
1,1035488.7,2020-09-15
2,1031229.5,2020-09-16
3,1010639.94,2020-09-17
4,1001289.8,2020-09-18
5,974309.3,2020-09-21
6,975579.44,2020-09-22
7,929376.2,2020-09-23
8,943396.75,2020-09-24
9,955022.06,2020-09-25
10,959990.8,2020-09-28
11,965727.4,2020-09-29
12,957649.2,2020-09-30
13,973037.25,2020-10-01
14,957680.06,2020-10-02
15,971246.0,2020-10-05
16,950991.3,2020-10-06
17,959641.06,2020-10-07
18,982914.2,2020-10-08
19,1001748.0,2020-10-09
20,1003130.7,2020-10-12
21,998024.9,2020-10-13
22,998477.56,2020-10-14
23,986895.0,2020-10-15
24,981671.1,2020-10-16
25,979511.56,2020-10-19
26,980930.8,2020-10-20
27,968682.44,2020-10-21
28,966343.75,2020-10-22
29,961856.2,2020-10-23
30,947461.6,2020-10-26
31,977872.8,2020-10-27
32,933711.1,2020-10-28
33,941336.7,2020-10-29
34,930427.8,2020-10-30
35,950786.7,2020-11-02
36,970503.5,2020-11-03
37,974249.1,2020-11-04
38,1013500.06,2020-11-05
39,1007540.3,2020-11-06
40,1005173.9,2020-11-09
41,997502.4,2020-11-10
42,990393.2,2020-11-11
43,995603.44,2020-11-12
44,1009551.8,2020-11-13
45,1007875.5,2020-11-16
46,1006092.3,2020-11-17
47,1003171.9,2020-11-18
48,1023230.25,2020-11-19
49,1036892.44,2020-11-20
50,1024120.3,2020-11-23
51,1016787.7,2020-11-24
52,1030991.44,2020-11-25
53,1045826.25,2020-11-27
54,1045854.7,2020-11-30
55,1066156.5,2020-12-01
56,1063289.2,2020-12-02
57,1056404.8,2020-12-03
58,1064745.6,2020-12-04
59,1079733.8,2020-12-07
60,1076011.5,2020-12-08
61,1063210.0,2020-12-09
62,1077460.0,2020-12-10
63,1073928.5,2020-12-11
64,1068377.9,2020-12-14
65,1074874.4,2020-12-15
66,1075838.8,2020-12-16
67,1102258.5,2020-12-17
68,1103149.5,2020-12-18
69,1101369.2,2020-12-21
70,1085180.8,2020-12-22
71,1096031.1,2020-12-23
72,1089793.4,2020-12-24
73,1083220.8,2020-12-28
74,1121650.8,2020-12-29
75,1121942.2,2020-12-30
76,1103369.4,2020-12-31
77,1127859.2,2021-01-04
78,1122100.1,2021-01-05
79,1147992.8,2021-01-06
80,1111402.8,2021-01-07
81,1082080.0,2021-01-08
82,1070210.8,2021-01-11
83,1119672.9,2021-01-12
84,1086454.0,2021-01-13
85,1097979.0,2021-01-14
86,1104828.6,2021-01-15
87,1099173.0,2021-01-19
88,1131448.1,2021-01-20
89,1109310.0,2021-01-21
90,1144472.8,2021-01-22
91,1174988.6,2021-01-25
92,1193829.0,2021-01-26
93,1166103.5,2021-01-27
94,1171767.5,2021-01-28
95,1159956.8,2021-01-29
96,1189237.1,2021-02-01
97,1185135.0,2021-02-02
98,1193013.2,2021-02-03
99,1196780.4,2021-02-04
100,1232072.5,2021-02-05
101,1268956.2,2021-02-08
102,1294631.1,2021-02-09
103,1297100.6,2021-02-10
104,1298929.5,2021-02-11
105,1295286.0,2021-02-12
106,1281577.4,2021-02-16
107,1260048.8,2021-02-17
108,1234605.1,2021-02-18
109,1217204.0,2021-02-19
110,1249018.5,2021-02-22
111,1216872.9,2021-02-23
112,1243036.5,2021-02-24
113,1201128.9,2021-02-25
114,1170767.9,2021-02-26
115,1180228.1,2021-03-01
116,1188592.6,2021-03-02
117,1169236.6,2021-03-03
118,1159943.5,2021-03-04
119,1175574.5,2021-03-05
120,1161068.9,2021-03-08
121,1198867.8,2021-03-09
122,1199349.5,2021-03-10
123,1221762.9,2021-03-11
124,1228478.2,2021-03-12
125,1243168.1,2021-03-15
126,1230744.9,2021-03-16
127,1258213.6,2021-03-17
128,1233821.1,2021-03-18
129,1251454.4,2021-03-19
130,1242832.9,2021-03-22
131,1210889.8,2021-03-23
132,1183671.4,2021-03-24
133,1190416.5,2021-03-25
134,1194879.1,2021-03-26
135,1206223.5,2021-03-29
136,1189244.6,2021-03-30
137,1223254.8,2021-03-31
138,1258996.4,2021-04-01
139,1282233.6,2021-04-05
140,1299968.5,2021-04-06
141,1289941.2,2021-04-07
142,1330530.9,2021-04-08
143,1320368.8,2021-04-09
144,1306559.0,2021-04-12
145,1314164.1,2021-04-13
146,1300686.8,2021-04-14
147,1325074.0,2021-04-15
148,1332837.2,2021-04-16
149,1350949.5,2021-04-19
150,1340740.6,2021-04-20
151,1352698.0,2021-04-21
152,1337220.6,2021-04-22
153,1341937.6,2021-04-23
154,1358052.2,2021-04-26
155,1337166.4,2021-04-27
156,1343720.1,2021-04-28
157,1326592.5,2021-04-29
158,1316015.4,2021-04-30
159,1348023.6,2021-05-03
160,1302235.6,2021-05-04
161,1298102.5,2021-05-05
162,1325759.4,2021-05-06
163,1352728.0,2021-05-07
164,1321338.6,2021-05-10
165,1322397.1,2021-05-11
166,1304084.4,2021-05-12
167,1300950.6,2021-05-13
168,1347118.9,2021-05-14
169,1380271.6,2021-05-17
170,1372559.4,2021-05-18
171,1355397.4,2021-05-19
172,1369294.0,2021-05-20
173,1374370.0,2021-05-21
174,1368287.1,2021-05-24
175,1352638.0,2021-05-25
176,1358601.5,2021-05-26
177,1367086.8,2021-05-27
178,1365791.6,2021-05-28
179,1382405.8,2021-06-01
180,1402818.8,2021-06-02
181,1368190.8,2021-06-03
182,1378764.6,2021-06-04
183,1387801.8,2021-06-07
184,1371964.4,2021-06-08
185,1377739.2,2021-06-09
186,1407281.4,2021-06-10
187,1390325.2,2021-06-11
188,1395899.8,2021-06-14
189,1374886.5,2021-06-15
190,1372960.4,2021-06-16
191,1338127.1,2021-06-17
192,1316558.4,2021-06-18
193,1316650.2,2021-06-21
194,1314461.2,2021-06-22
195,1219480.0,2021-06-23
196,1213551.1,2021-06-24
197,1203664.6,2021-06-25
198,1178539.0,2021-06-28
199,1186366.9,2021-06-29
200,1180074.5,2021-06-30
201,1181997.9,2021-07-01
202,1189230.1,2021-07-02
203,1180258.2,2021-07-06
204,1163582.0,2021-07-07
