,account_value,date
0,1019423.4,2020-09-14
1,1021240.4,2020-09-15
2,1028116.8,2020-09-16
3,1015008.06,2020-09-17
4,1004311.2,2020-09-18
5,978171.2,2020-09-21
6,981394.44,2020-09-22
7,952359.9,2020-09-23
8,957076.9,2020-09-24
9,973922.9,2020-09-25
10,988928.44,2020-09-28
11,985901.1,2020-09-29
12,982219.4,2020-09-30
13,990434.5,2020-10-01
14,981419.75,2020-10-02
15,994621.5,2020-10-05
16,981595.9,2020-10-06
17,996236.8,2020-10-07
18,1017273.2,2020-10-08
19,1023299.56,2020-10-09
20,1028176.8,2020-10-12
21,1020536.1,2020-10-13
22,1016816.0,2020-10-14
23,1011569.56,2020-10-15
24,1010203.94,2020-10-16
25,1007054.25,2020-10-19
26,1008656.56,2020-10-20
27,999515.75,2020-10-21
28,1007336.75,2020-10-22
29,1008231.56,2020-10-23
30,987689.4,2020-10-26
31,988706.44,2020-10-27
32,951512.7,2020-10-28
33,960452.6,2020-10-29
34,952954.6,2020-10-30
35,969483.9,2020-11-02
36,993252.06,2020-11-03
37,993447.7,2020-11-04
38,1020819.2,2020-11-05
39,1015347.7,2020-11-06
40,1049218.2,2020-11-09
41,1053135.0,2020-11-10
42,1050775.1,2020-11-11
43,1042964.5,2020-11-12
44,1066794.0,2020-11-13
45,1084115.5,2020-11-16
46,1085888.2,2020-11-17
47,1080284.4,2020-11-18
48,1095008.4,2020-11-19
49,1101611.1,2020-11-20
50,1109494.1,2020-11-23
51,1123818.2,2020-11-24
52,1129464.4,2020-11-25
53,1141359.4,2020-11-27
54,1141146.8,2020-11-30
55,1152511.1,2020-12-01
56,1157980.1,2020-12-02
57,1164558.5,2020-12-03
58,1179021.9,2020-12-04
59,1180408.6,2020-12-07
60,1175411.8,2020-12-08
61,1169010.6,2020-12-09
62,1183529.0,2020-12-10
63,1177838.2,2020-12-11
64,1180249.4,2020-12-14
65,1190900.9,2020-12-15
66,1189996.5,2020-12-16
67,1204665.2,2020-12-17
68,1205975.4,2020-12-18
69,1202835.0,2020-12-21
70,1193747.5,2020-12-22
71,1205775.5,2020-12-23
72,1200094.6,2020-12-24
73,1206013.8,2020-12-28
74,1213554.4,2020-12-29
75,1226137.4,2020-12-30
76,1221872.4,2020-12-31
77,1225019.9,2021-01-04
78,1235686.1,2021-01-05
79,1257435.9,2021-01-06
80,1258475.8,2021-01-07
81,1248550.9,2021-01-08
82,1239477.2,2021-01-11
83,1270630.8,2021-01-12
84,1257180.6,2021-01-13
85,1281227.9,2021-01-14
86,1268344.9,2021-01-15
87,1275709.4,2021-01-19
88,1289240.5,2021-01-20
89,1267837.9,2021-01-21
90,1285702.0,2021-01-22
91,1289876.6,2021-01-25
92,1295155.6,2021-01-26
93,1272653.6,2021-01-27
94,1280050.9,2021-01-28
95,1266432.8,2021-01-29
96,1289376.6,2021-02-01
97,1304381.4,2021-02-02
98,1311162.9,2021-02-03
99,1321977.8,2021-02-04
100,1345233.2,2021-02-05
101,1385419.4,2021-02-08
102,1401153.9,2021-02-09
103,1397859.4,2021-02-10
104,1401738.9,2021-02-11
105,1404390.1,2021-02-12
106,1402182.9,2021-02-16
107,1393231.5,2021-02-17
108,1368550.2,2021-02-18
109,1375485.8,2021-02-19
110,1379721.4,2021-02-22
111,1358857.6,2021-02-23
112,1389385.2,2021-02-24
