,account_value,date
0,1016743.7,2020-09-14
1,1021156.94,2020-09-15
2,1025059.8,2020-09-16
3,1014020.1,2020-09-17
4,1003953.7,2020-09-18
5,983874.75,2020-09-21
6,991385.25,2020-09-22
7,968572.44,2020-09-23
8,974560.5,2020-09-24
9,988990.75,2020-09-25
10,1005272.9,2020-09-28
11,1000792.3,2020-09-29
12,999226.4,2020-09-30
13,1007219.6,2020-10-01
14,996556.1,2020-10-02
15,1010515.9,2020-10-05
16,999254.75,2020-10-06
17,1015141.06,2020-10-07
18,1032668.6,2020-10-08
19,1041807.6,2020-10-09
20,1049523.0,2020-10-12
21,1044990.6,2020-10-13
22,1040228.56,2020-10-14
23,1036373.3,2020-10-15
24,1033976.75,2020-10-16
25,1028446.9,2020-10-19
26,1031633.25,2020-10-20
27,1027378.56,2020-10-21
28,1035394.3,2020-10-22
29,1034725.4,2020-10-23
30,1011632.3,2020-10-26
31,1010567.8,2020-10-27
32,976337.0,2020-10-28
33,984393.8,2020-10-29
34,975435.1,2020-10-30
35,989001.1,2020-11-02
36,1013613.6,2020-11-03
37,1022371.06,2020-11-04
38,1049551.0,2020-11-05
39,1050368.0,2020-11-06
40,1078752.8,2020-11-09
41,1077579.0,2020-11-10
42,1080050.1,2020-11-11
43,1070344.9,2020-11-12
44,1092130.6,2020-11-13
45,1108724.2,2020-11-16
46,1107133.8,2020-11-17
47,1098195.8,2020-11-18
48,1109388.9,2020-11-19
49,1114280.6,2020-11-20
50,1124088.4,2020-11-23
51,1140573.0,2020-11-24
52,1142288.9,2020-11-25
53,1150935.2,2020-11-27
54,1152082.5,2020-11-30
55,1164206.6,2020-12-01
56,1168220.6,2020-12-02
57,1173430.2,2020-12-03
58,1189085.2,2020-12-04
59,1188767.9,2020-12-07
60,1188772.0,2020-12-08
61,1181255.4,2020-12-09
62,1187354.8,2020-12-10
63,1184633.8,2020-12-11
64,1184375.4,2020-12-14
65,1197871.8,2020-12-15
66,1199415.2,2020-12-16
67,1211680.2,2020-12-17
68,1212275.8,2020-12-18
69,1206571.1,2020-12-21
70,1198155.8,2020-12-22
71,1202603.1,2020-12-23
72,1200759.9,2020-12-24
73,1206961.8,2020-12-28
74,1212814.2,2020-12-29
75,1224353.4,2020-12-30
76,1226043.6,2020-12-31
77,1223661.4,2021-01-04
78,1231779.8,2021-01-05
79,1248870.2,2021-01-06
80,1251376.4,2021-01-07
81,1249700.1,2021-01-08
82,1241330.9,2021-01-11
83,1259693.6,2021-01-12
84,1248153.9,2021-01-13
85,1262558.5,2021-01-14
86,1249798.8,2021-01-15
87,1257035.2,2021-01-19
88,1269257.1,2021-01-20
89,1256463.5,2021-01-21
90,1257818.5,2021-01-22
91,1262742.8,2021-01-25
92,1264846.5,2021-01-26
93,1235617.8,2021-01-27
94,1250101.5,2021-01-28
95,1232022.8,2021-01-29
96,1252756.8,2021-02-01
97,1270118.9,2021-02-02
98,1269218.6,2021-02-03
99,1283594.6,2021-02-04
100,1300382.9,2021-02-05
101,1328510.5,2021-02-08
102,1337346.8,2021-02-09
103,1335170.5,2021-02-10
104,1344019.1,2021-02-11
105,1349030.0,2021-02-12
106,1344071.2,2021-02-16
107,1336644.2,2021-02-17
108,1323354.2,2021-02-18
109,1326561.8,2021-02-19
110,1325978.1,2021-02-22
111,1312921.8,2021-02-23
112,1335489.4,2021-02-24
113,1296378.6,2021-02-25
114,1286710.2,2021-02-26
115,1315947.2,2021-03-01
116,1308942.6,2021-03-02
117,1293131.5,2021-03-03
118,1267410.4,2021-03-04
119,1290217.0,2021-03-05
120,1288294.4,2021-03-08
121,1319320.6,2021-03-09
122,1326368.4,2021-03-10
123,1346402.6,2021-03-11
124,1352817.8,2021-03-12
125,1369486.5,2021-03-15
126,1363699.5,2021-03-16
127,1383739.6,2021-03-17
128,1356334.5,2021-03-18
129,1365328.9,2021-03-19
130,1365672.5,2021-03-22
131,1334267.5,2021-03-23
132,1316418.2,2021-03-24
133,1324802.0,2021-03-25
134,1346367.9,2021-03-26
135,1346712.0,2021-03-29
136,1346187.6,2021-03-30
137,1361550.2,2021-03-31
138,1384747.0,2021-04-01
139,1406321.2,2021-04-05
140,1409525.1,2021-04-06
141,1399607.4,2021-04-07
142,1418801.8,2021-04-08
143,1416556.4,2021-04-09
144,1411038.6,2021-04-12
145,1415998.9,2021-04-13
146,1407593.9,2021-04-14
147,1420316.4,2021-04-15
148,1426782.1,2021-04-16
149,1420832.5,2021-04-19
150,1405484.6,2021-04-20
151,1427323.0,2021-04-21
152,1412082.2,2021-04-22
153,1423085.1,2021-04-23
154,1431444.6,2021-04-26
155,1428390.9,2021-04-27
156,1428256.8,2021-04-28
157,1424808.4,2021-04-29
158,1411639.2,2021-04-30
159,1422778.1,2021-05-03
160,1402046.5,2021-05-04
161,1398835.6,2021-05-05
162,1411393.1,2021-05-06
163,1429033.1,2021-05-07
164,1406256.5,2021-05-10
165,1399906.1,2021-05-11
166,1367729.6,2021-05-12
167,1374421.0,2021-05-13
168,1410570.6,2021-05-14
169,1412515.5,2021-05-17
170,1399481.8,2021-05-18
171,1391683.6,2021-05-19
172,1407776.0,2021-05-20
173,1404712.0,2021-05-21
174,1414059.0,2021-05-24
175,1406935.0,2021-05-25
176,1417924.9,2021-05-26
177,1423065.0,2021-05-27
178,1422815.4,2021-05-28
179,1428569.5,2021-06-01
180,1436550.8,2021-06-02
181,1423755.5,2021-06-03
182,1435467.4,2021-06-04
183,1434596.5,2021-06-07
184,1430235.6,2021-06-08
185,1440421.8,2021-06-09
186,1450127.6,2021-06-10
187,1450298.0,2021-06-11
188,1451320.8,2021-06-14
189,1444259.4,2021-06-15
190,1437324.1,2021-06-16
191,1426115.5,2021-06-17
192,1405745.9,2021-06-18
193,1415007.5,2021-06-21
194,1413872.1,2021-06-22
195,1377292.9,2021-06-23
196,1384091.6,2021-06-24
197,1384769.2,2021-06-25
198,1382023.0,2021-06-28
199,1386748.1,2021-06-29
200,1390729.9,2021-06-30
201,1389671.4,2021-07-01
202,1391280.2,2021-07-02
203,1380328.6,2021-07-06
204,1373769.4,2021-07-07
205,1354181.4,2021-07-08
206,1374151.2,2021-07-09
207,1372382.4,2021-07-12
208,1365715.8,2021-07-13
209,1357679.5,2021-07-14
210,1352461.5,2021-07-15
211,1332901.8,2021-07-16
212,1306109.2,2021-07-19
213,1325868.2,2021-07-20
214,1355170.5,2021-07-21
215,1344955.4,2021-07-22
216,1342610.2,2021-07-23
217,1353482.5,2021-07-26
218,1343197.9,2021-07-27
219,1361869.6,2021-07-28
220,1365473.6,2021-07-29
221,1363909.9,2021-07-30
222,1357967.2,2021-08-02
223,1359668.2,2021-08-03
224,1352644.0,2021-08-04
225,1361957.1,2021-08-05
226,1358935.0,2021-08-06
227,1352186.0,2021-08-09
228,1351641.5,2021-08-10
229,1359928.0,2021-08-11
230,1347509.4,2021-08-12
231,1350982.4,2021-08-13
232,1337744.8,2021-08-16
233,1327046.4,2021-08-17
234,1317468.1,2021-08-18
235,1305012.2,2021-08-19
236,1315463.2,2021-08-20
237,1338389.8,2021-08-23
238,1352061.4,2021-08-24
239,1355466.4,2021-08-25
240,1341627.4,2021-08-26
241,1360026.6,2021-08-27
242,1358269.1,2021-08-30
243,1361608.2,2021-08-31
244,1359156.6,2021-09-01
245,1373445.5,2021-09-02
246,1371187.4,2021-09-03
247,1356856.1,2021-09-07
248,1347497.2,2021-09-08
249,1343666.0,2021-09-09
250,1331616.0,2021-09-10
251,1348577.1,2021-09-13
252,1341599.6,2021-09-14
253,1352325.1,2021-09-15
254,1344727.5,2021-09-16
255,1339444.0,2021-09-17
256,1309182.8,2021-09-20
257,1307913.6,2021-09-21
258,1321703.6,2021-09-22
259,1338746.5,2021-09-23
260,1334726.2,2021-09-24
261,1342769.6,2021-09-27
262,1318081.1,2021-09-28
263,1316936.5,2021-09-29
264,1317354.1,2021-09-30
265,1317354.1,2021-09-30
