,account_value,date
0,993046.1,2020-09-14
1,996541.2,2020-09-15
2,995704.56,2020-09-16
3,1016914.1,2020-09-17
4,979946.5,2020-09-18
5,971654.25,2020-09-21
6,985376.3,2020-09-22
7,972790.2,2020-09-23
8,970863.75,2020-09-24
9,982020.6,2020-09-25
10,993471.5,2020-09-28
11,952237.06,2020-09-29
12,1031717.2,2020-09-30
13,1030115.9,2020-10-01
14,994770.25,2020-10-02
15,1008087.1,2020-10-05
16,1012197.7,2020-10-06
17,1032938.56,2020-10-07
18,1030666.2,2020-10-08
19,1044492.3,2020-10-09
20,1053194.8,2020-10-12
21,1046470.7,2020-10-13
22,1035412.4,2020-10-14
23,1033493.06,2020-10-15
24,1031224.3,2020-10-16
25,1028021.8,2020-10-19
26,1032366.9,2020-10-20
27,1008652.6,2020-10-21
28,1020837.3,2020-10-22
29,1044615.7,2020-10-23
30,1024700.9,2020-10-26
31,989306.06,2020-10-27
32,1026895.6,2020-10-28
33,1005099.4,2020-10-29
34,1009259.44,2020-10-30
35,1016632.7,2020-11-02
36,1033578.06,2020-11-03
37,1066432.8,2020-11-04
38,1084727.9,2020-11-05
39,1057859.2,2020-11-06
40,1113125.1,2020-11-09
41,1077635.0,2020-11-10
42,1100818.9,2020-11-11
43,1067331.0,2020-11-12
44,1093227.1,2020-11-13
45,1121813.8,2020-11-16
46,1121260.0,2020-11-17
47,1081078.4,2020-11-18
48,1122923.4,2020-11-19
49,1108361.2,2020-11-20
50,1122321.5,2020-11-23
51,1135653.5,2020-11-24
52,1122169.9,2020-11-25
53,1131866.5,2020-11-27
54,1120494.5,2020-11-30
55,1152711.4,2020-12-01
56,1164387.2,2020-12-02
57,1181835.6,2020-12-03
58,1172148.4,2020-12-04
59,1183163.0,2020-12-07
60,1168031.0,2020-12-08
61,1181285.1,2020-12-09
62,1176427.0,2020-12-10
63,1181176.9,2020-12-11
64,1173378.2,2020-12-14
65,1195839.9,2020-12-15
66,1219443.6,2020-12-16
67,1198716.0,2020-12-17
68,1200131.1,2020-12-18
69,1211550.5,2020-12-21
70,1207068.5,2020-12-22
71,1212936.9,2020-12-23
72,1226586.2,2020-12-24
73,1192942.0,2020-12-28
74,1223444.2,2020-12-29
75,1238585.6,2020-12-30
76,1194621.4,2020-12-31
77,1238477.4,2021-01-04
78,1217530.8,2021-01-05
79,1229751.2,2021-01-06
80,1291795.5,2021-01-07
81,1240754.9,2021-01-08
82,1261023.4,2021-01-11
83,1258198.1,2021-01-12
84,1298813.8,2021-01-13
85,1277386.6,2021-01-14
86,1289553.6,2021-01-15
87,1274915.8,2021-01-19
88,1381245.8,2021-01-20
89,1299429.0,2021-01-21
90,1322940.8,2021-01-22
91,1342276.5,2021-01-25
92,1328162.5,2021-01-26
93,1329058.9,2021-01-27
94,1296061.0,2021-01-28
95,1331732.9,2021-01-29
96,1328621.1,2021-02-01
97,1365330.2,2021-02-02
98,1304198.2,2021-02-03
99,1383946.9,2021-02-04
100,1371511.8,2021-02-05
101,1341468.4,2021-02-08
102,1415943.5,2021-02-09
103,1414238.6,2021-02-10
104,1414760.2,2021-02-11
105,1394517.9,2021-02-12
106,1430892.0,2021-02-16
107,1428700.8,2021-02-17
108,1378514.6,2021-02-18
109,1444493.2,2021-02-19
110,1358260.5,2021-02-22
111,1484732.8,2021-02-23
112,1479316.5,2021-02-24
113,1396127.1,2021-02-25
114,1429275.6,2021-02-26
115,1449458.9,2021-03-01
116,1474740.5,2021-03-02
117,1396757.2,2021-03-03
118,1417334.1,2021-03-04
119,1399698.0,2021-03-05
120,1439384.8,2021-03-08
121,1442168.5,2021-03-09
122,1454308.1,2021-03-10
123,1488053.9,2021-03-11
124,1431483.6,2021-03-12
125,1547315.2,2021-03-15
126,1501031.6,2021-03-16
127,1522953.6,2021-03-17
128,1483093.8,2021-03-18
129,1504729.8,2021-03-19
130,1461056.0,2021-03-22
131,1466209.5,2021-03-23
132,1462175.2,2021-03-24
133,1468048.1,2021-03-25
134,1488339.9,2021-03-26
135,1426786.8,2021-03-29
136,1519924.6,2021-03-30
137,1515896.9,2021-03-31
138,1549243.0,2021-04-01
139,1544673.8,2021-04-05
140,1536335.2,2021-04-06
141,1549881.8,2021-04-07
142,1518428.9,2021-04-08
143,1587325.1,2021-04-09
144,1546754.1,2021-04-12
145,1569732.4,2021-04-13
146,1536396.2,2021-04-14
147,1560185.1,2021-04-15
148,1579934.8,2021-04-16
149,1539147.8,2021-04-19
150,1579984.0,2021-04-20
151,1534551.8,2021-04-21
152,1522522.8,2021-04-22
153,1555919.9,2021-04-23
154,1595060.9,2021-04-26
155,1562037.5,2021-04-27
156,1568398.6,2021-04-28
157,1553792.9,2021-04-29
158,1560332.2,2021-04-30
159,1576102.1,2021-05-03
160,1538567.8,2021-05-04
161,1530896.2,2021-05-05
162,1501971.9,2021-05-06
163,1597218.0,2021-05-07
164,1534817.9,2021-05-10
165,1523218.2,2021-05-11
166,1497799.2,2021-05-12
167,1530665.1,2021-05-13
168,1552567.5,2021-05-14
169,1521286.9,2021-05-17
170,1544057.4,2021-05-18
171,1534935.0,2021-05-19
172,1559025.6,2021-05-20
173,1558873.0,2021-05-21
174,1581943.1,2021-05-24
175,1571961.1,2021-05-25
176,1573689.4,2021-05-26
177,1560359.2,2021-05-27
