,account_value,date
0,1015149.56,2020-09-14
1,1026060.7,2020-09-15
2,1012147.25,2020-09-16
3,1002088.7,2020-09-17
4,991119.5,2020-09-18
5,991589.0,2020-09-21
6,1004189.7,2020-09-22
7,981471.6,2020-09-23
8,986880.8,2020-09-24
9,1002864.4,2020-09-25
10,1017986.4,2020-09-28
11,1017954.56,2020-09-29
12,1027338.6,2020-09-30
13,1039092.56,2020-10-01
14,1018159.94,2020-10-02
15,1036102.25,2020-10-05
16,1022437.06,2020-10-06
17,1037961.8,2020-10-07
18,1040524.25,2020-10-08
19,1053120.5,2020-10-09
20,1074085.9,2020-10-12
21,1076872.6,2020-10-13
22,1066548.9,2020-10-14
23,1060093.0,2020-10-15
24,1059981.1,2020-10-16
25,1042905.5,2020-10-19
26,1046287.56,2020-10-20
27,1043671.7,2020-10-21
28,1039091.25,2020-10-22
29,1045075.7,2020-10-23
30,1026902.6,2020-10-26
31,1033535.06,2020-10-27
32,999186.94,2020-10-28
33,1010457.7,2020-10-29
34,995571.3,2020-10-30
35,1002343.2,2020-11-02
36,1020181.2,2020-11-03
37,1056832.0,2020-11-04
38,1075706.6,2020-11-05
39,1079621.1,2020-11-06
40,1064703.9,2020-11-09
41,1049446.4,2020-11-10
42,1070316.1,2020-11-11
43,1061195.4,2020-11-12
44,1068424.0,2020-11-13
45,1070708.0,2020-11-16
46,1065364.8,2020-11-17
47,1055094.6,2020-11-18
48,1061629.0,2020-11-19
49,1053391.1,2020-11-20
50,1050516.2,2020-11-23
51,1053862.5,2020-11-24
52,1055391.8,2020-11-25
53,1065383.4,2020-11-27
54,1065877.0,2020-11-30
55,1075971.2,2020-12-01
56,1069122.0,2020-12-02
57,1069826.1,2020-12-03
58,1076233.4,2020-12-04
59,1078358.1,2020-12-07
60,1078328.1,2020-12-08
61,1063971.2,2020-12-09
62,1065627.4,2020-12-10
63,1065021.4,2020-12-11
64,1068897.5,2020-12-14
65,1076739.2,2020-12-15
66,1082738.8,2020-12-16
67,1093860.6,2020-12-17
68,1094299.8,2020-12-18
69,1090770.0,2020-12-21
70,1092399.8,2020-12-22
71,1085837.4,2020-12-23
72,1090507.8,2020-12-24
73,1095484.4,2020-12-28
74,1094701.9,2020-12-29
75,1095823.4,2020-12-30
76,1100526.8,2020-12-31
77,1090827.2,2021-01-04
78,1093340.0,2021-01-05
79,1078934.5,2021-01-06
80,1093929.5,2021-01-07
81,1105123.4,2021-01-08
82,1096565.9,2021-01-11
83,1091880.1,2021-01-12
84,1093961.4,2021-01-13
85,1086050.8,2021-01-14
86,1083523.4,2021-01-15
87,1093557.6,2021-01-19
88,1112889.6,2021-01-20
89,1117175.4,2021-01-21
90,1114018.2,2021-01-22
91,1115750.5,2021-01-25
92,1114136.5,2021-01-26
93,1082726.8,2021-01-27
94,1095985.9,2021-01-28
95,1079266.4,2021-01-29
96,1098722.1,2021-02-01
97,1113800.4,2021-02-02
98,1108266.8,2021-02-03
99,1122091.4,2021-02-04
100,1123968.1,2021-02-05
101,1130419.1,2021-02-08
102,1130066.5,2021-02-09
103,1134162.9,2021-02-10
104,1141966.6,2021-02-11
105,1144042.5,2021-02-12
106,1145215.6,2021-02-16
107,1142743.8,2021-02-17
108,1142832.4,2021-02-18
109,1135140.1,2021-02-19
110,1113708.8,2021-02-22
111,1109050.5,2021-02-23
112,1120390.0,2021-02-24
113,1087869.0,2021-02-25
114,1088493.9,2021-02-26
115,1106483.8,2021-03-01
116,1094339.8,2021-03-02
117,1067742.9,2021-03-03
