,account_value,date
0,1021863.6,2020-09-14
1,1013670.9,2020-09-15
2,1041250.0,2020-09-16
3,1040035.06,2020-09-17
4,1029739.1,2020-09-18
5,971675.2,2020-09-21
6,978350.2,2020-09-22
7,952273.1,2020-09-23
8,946538.75,2020-09-24
9,955587.0,2020-09-25
10,973986.75,2020-09-28
11,953340.8,2020-09-29
12,949257.5,2020-09-30
13,951319.4,2020-10-01
14,960312.4,2020-10-02
15,982845.6,2020-10-05
16,990023.0,2020-10-06
17,1016538.7,2020-10-07
18,1072737.2,2020-10-08
19,1075872.6,2020-10-09
20,1072562.0,2020-10-12
21,1037873.94,2020-10-13
22,1041261.06,2020-10-14
23,1062121.5,2020-10-15
24,1067405.6,2020-10-16
25,1067881.5,2020-10-19
26,1080067.9,2020-10-20
27,1080633.1,2020-10-21
28,1110851.9,2020-10-22
29,1116164.8,2020-10-23
30,1077872.1,2020-10-26
31,1045281.56,2020-10-27
32,1002211.8,2020-10-28
33,1014272.6,2020-10-29
34,1007564.0,2020-10-30
35,1030281.2,2020-11-02
36,1060614.5,2020-11-03
37,1045031.6,2020-11-04
38,1066976.8,2020-11-05
39,1063382.8,2020-11-06
40,1148724.5,2020-11-09
41,1170671.0,2020-11-10
42,1163741.5,2020-11-11
43,1131515.1,2020-11-12
44,1171764.4,2020-11-13
45,1214276.0,2020-11-16
46,1221407.6,2020-11-17
47,1209145.4,2020-11-18
48,1215612.8,2020-11-19
49,1207827.4,2020-11-20
50,1249296.8,2020-11-23
51,1308259.1,2020-11-24
52,1303134.0,2020-11-25
53,1305108.4,2020-11-27
54,1262634.8,2020-11-30
55,1281975.9,2020-12-01
56,1273302.8,2020-12-02
57,1298240.0,2020-12-03
58,1334920.5,2020-12-04
59,1323999.5,2020-12-07
60,1328305.6,2020-12-08
61,1310972.6,2020-12-09
62,1318758.5,2020-12-10
63,1285130.8,2020-12-11
64,1292447.4,2020-12-14
65,1326139.5,2020-12-15
66,1311772.2,2020-12-16
67,1329333.5,2020-12-17
68,1319755.6,2020-12-18
69,1298569.4,2020-12-21
70,1311765.2,2020-12-22
71,1349008.1,2020-12-23
72,1347609.6,2020-12-24
73,1356359.2,2020-12-28
74,1328312.9,2020-12-29
75,1343526.1,2020-12-30
76,1342396.8,2020-12-31
77,1307763.1,2021-01-04
78,1334662.1,2021-01-05
79,1388223.5,2021-01-06
80,1397599.1,2021-01-07
81,1386465.5,2021-01-08
82,1387737.1,2021-01-11
83,1431071.9,2021-01-12
84,1470206.1,2021-01-13
85,1539172.5,2021-01-14
86,1499369.8,2021-01-15
87,1506037.2,2021-01-19
88,1498012.1,2021-01-20
89,1493760.0,2021-01-21
90,1535715.2,2021-01-22
91,1534446.9,2021-01-25
92,1628124.4,2021-01-26
93,1717323.5,2021-01-27
94,1687724.9,2021-01-28
95,1703351.0,2021-01-29
96,1700476.8,2021-02-01
97,1670339.6,2021-02-02
98,1695466.2,2021-02-03
99,1680787.4,2021-02-04
100,1714313.2,2021-02-05
101,1741977.2,2021-02-08
102,1731469.0,2021-02-09
103,1746416.2,2021-02-10
104,1729356.1,2021-02-11
105,1743596.9,2021-02-12
106,1793024.4,2021-02-16
107,1792037.4,2021-02-17
108,1743799.4,2021-02-18
109,1800064.0,2021-02-19
110,1847025.5,2021-02-22
111,1846427.1,2021-02-23
112,2008873.9,2021-02-24
113,1973885.9,2021-02-25
114,1948554.1,2021-02-26
115,1997553.2,2021-03-01
116,1988645.6,2021-03-02
117,2009676.5,2021-03-03
118,1978286.1,2021-03-04
119,1999614.8,2021-03-05
120,2066226.5,2021-03-08
121,2098883.5,2021-03-09
122,2148669.5,2021-03-10
123,2172078.0,2021-03-11
124,2210523.0,2021-03-12
125,2204299.5,2021-03-15
126,2166030.8,2021-03-16
127,2190735.8,2021-03-17
128,2139079.8,2021-03-18
129,2151607.0,2021-03-19
130,2115947.8,2021-03-22
131,2036135.2,2021-03-23
132,1976084.5,2021-03-24
133,2063039.8,2021-03-25
134,2083489.2,2021-03-26
135,2053538.5,2021-03-29
136,2107880.5,2021-03-30
137,2105456.0,2021-03-31
138,2128480.5,2021-04-01
139,2146762.5,2021-04-05
140,2146678.0,2021-04-06
141,2135869.0,2021-04-07
142,2129125.0,2021-04-08
143,2117480.2,2021-04-09
144,2086617.9,2021-04-12
145,2065279.4,2021-04-13
146,2106599.8,2021-04-14
147,2095927.2,2021-04-15
148,2103030.0,2021-04-16
149,2093112.4,2021-04-19
150,2027108.2,2021-04-20
151,2055272.1,2021-04-21
152,2040549.0,2021-04-22
153,2069606.6,2021-04-23
154,2114740.8,2021-04-26
155,2128434.2,2021-04-27
156,2152039.8,2021-04-28
157,2140552.8,2021-04-29
158,2111289.0,2021-04-30
159,2126543.5,2021-05-03
160,2111692.5,2021-05-04
161,2111302.0,2021-05-05
162,2129270.5,2021-05-06
163,2184679.5,2021-05-07
164,2153612.5,2021-05-10
165,2132712.2,2021-05-11
166,2082133.5,2021-05-12
167,2123062.8,2021-05-13
168,2180322.8,2021-05-14
169,2219678.5,2021-05-17
170,2212066.5,2021-05-18
171,2174460.0,2021-05-19
172,2174023.0,2021-05-20
173,2182885.0,2021-05-21
174,2197159.2,2021-05-24
175,2199620.2,2021-05-25
176,2242350.8,2021-05-26
177,2294263.5,2021-05-27
178,2274633.2,2021-05-28
179,2321390.0,2021-06-01
180,2353340.5,2021-06-02
181,2329627.5,2021-06-03
182,2315703.8,2021-06-04
183,2357513.8,2021-06-07
184,2379463.5,2021-06-08
185,2354545.2,2021-06-09
186,2328146.2,2021-06-10
187,2355131.5,2021-06-11
188,2325146.8,2021-06-14
189,2322625.2,2021-06-15
190,2309139.8,2021-06-16
191,2270992.8,2021-06-17
192,2218886.8,2021-06-18
193,2244569.2,2021-06-21
194,2251450.5,2021-06-22
195,2257584.5,2021-06-23
196,2279075.0,2021-06-24
197,2269673.2,2021-06-25
198,2234498.5,2021-06-28
199,2229027.8,2021-06-29
200,2245634.0,2021-06-30
201,2270189.0,2021-07-01
202,2267334.8,2021-07-02
203,2220653.2,2021-07-06
204,2182686.2,2021-07-07
205,2153668.5,2021-07-08
206,2206749.8,2021-07-09
207,2217146.0,2021-07-12
208,2168880.2,2021-07-13
209,2142378.0,2021-07-14
210,2115373.2,2021-07-15
211,2069213.9,2021-07-16
212,2010112.0,2021-07-19
213,2083968.9,2021-07-20
214,2137883.0,2021-07-21
215,2094848.1,2021-07-22
216,2107252.8,2021-07-23
217,2149260.8,2021-07-26
218,2136268.2,2021-07-27
219,2151004.8,2021-07-28
220,2162257.0,2021-07-29
221,2129880.0,2021-07-30
222,2124956.2,2021-08-02
223,2141364.2,2021-08-03
224,2082816.9,2021-08-04
225,2132687.5,2021-08-05
226,2151108.5,2021-08-06
227,2142597.5,2021-08-09
228,2167620.5,2021-08-10
229,2196240.8,2021-08-11
230,2172962.5,2021-08-12
231,2149527.8,2021-08-13
232,2121647.5,2021-08-16
233,2084944.5,2021-08-17
234,2067477.9,2021-08-18
235,2035507.1,2021-08-19
236,2071423.4,2021-08-20
237,2125681.2,2021-08-23
238,2206126.5,2021-08-24
239,2219852.8,2021-08-25
240,2215711.2,2021-08-26
241,2277807.2,2021-08-27
242,2255388.5,2021-08-30
243,2268002.2,2021-08-31
244,2264649.5,2021-09-01
245,2281176.0,2021-09-02
246,2261514.5,2021-09-03
247,2268330.2,2021-09-07
248,2252805.2,2021-09-08
249,2270643.0,2021-09-09
250,2234015.2,2021-09-10
251,2301202.2,2021-09-13
252,2252537.8,2021-09-14
253,2279930.8,2021-09-15
254,2280425.0,2021-09-16
255,2276908.8,2021-09-17
256,2217443.0,2021-09-20
257,2202395.8,2021-09-21
258,2257164.5,2021-09-22
259,2318901.8,2021-09-23
260,2320673.0,2021-09-24
261,2388961.8,2021-09-27
262,2343306.5,2021-09-28
263,2347759.0,2021-09-29
264,2314171.2,2021-09-30
265,2366856.8,2021-10-01
266,2348773.2,2021-10-04
267,2371535.5,2021-10-05
268,2350726.5,2021-10-06
269,2367521.2,2021-10-07
270,2368558.8,2021-10-08
271,2371641.5,2021-10-11
272,2356904.2,2021-10-12
273,2348114.2,2021-10-13
274,2366598.2,2021-10-14
275,2375729.2,2021-10-15
276,2368601.0,2021-10-18
277,2373315.5,2021-10-19
278,2374759.5,2021-10-20
279,2361673.0,2021-10-21
280,2346195.8,2021-10-22
281,2369541.8,2021-10-25
282,2371629.2,2021-10-26
283,2318180.2,2021-10-27
284,2340560.2,2021-10-28
285,2312872.5,2021-10-29
286,2373943.0,2021-11-01
287,2354425.8,2021-11-02
288,2400068.8,2021-11-03
289,2363623.2,2021-11-04
290,2424873.5,2021-11-05
291,2446784.8,2021-11-08
292,2440925.0,2021-11-09
293,2392840.5,2021-11-10
294,2426308.2,2021-11-11
295,2391817.2,2021-11-12
296,2393083.2,2021-11-15
297,2366295.2,2021-11-16
298,2344538.2,2021-11-17
299,2324638.5,2021-11-18
300,2293264.8,2021-11-19
301,2306654.5,2021-11-22
302,2303282.5,2021-11-23
303,2298067.2,2021-11-24
304,2185539.0,2021-11-26
305,2168578.0,2021-11-29
306,2132085.0,2021-11-30
307,2075620.1,2021-12-01
308,2156773.0,2021-12-02
309,2116674.8,2021-12-03
310,2161495.2,2021-12-06
311,2202727.2,2021-12-07
312,2216754.0,2021-12-08
313,2165319.8,2021-12-09
314,2169848.2,2021-12-10
315,2100848.5,2021-12-13
316,2105573.0,2021-12-14
317,2118742.0,2021-12-15
318,2100056.5,2021-12-16
319,2118909.5,2021-12-17
320,2076041.6,2021-12-20
321,2163304.8,2021-12-21
322,2183915.0,2021-12-22
323,2198491.2,2021-12-23
324,2218881.5,2021-12-27
325,2206989.8,2021-12-28
326,2200505.8,2021-12-29
327,2198881.2,2021-12-30
328,2187026.5,2021-12-31
329,2234542.8,2022-01-03
330,2267653.2,2022-01-04
331,2207154.5,2022-01-05
332,2229869.5,2022-01-06
333,2254824.0,2022-01-07
334,2223914.5,2022-01-10
335,2246664.2,2022-01-11
336,2243574.0,2022-01-12
337,2234447.8,2022-01-13
338,2221592.8,2022-01-14
339,2162785.8,2022-01-18
340,2135783.5,2022-01-19
341,2095288.0,2022-01-20
342,2060003.2,2022-01-21
343,2074684.5,2022-01-24
344,2074758.1,2022-01-25
345,2055756.6,2022-01-26
346,2027689.2,2022-01-27
347,2061958.1,2022-01-28
348,2113450.5,2022-01-31
349,2162105.5,2022-02-01
350,2157861.2,2022-02-02
351,2121987.2,2022-02-03
352,2121237.8,2022-02-04
353,2140158.8,2022-02-07
354,2188429.2,2022-02-08
355,2214771.2,2022-02-09
356,2183188.0,2022-02-10
357,2156519.5,2022-02-11
358,2129506.2,2022-02-14
359,2199135.2,2022-02-15
360,2203648.8,2022-02-16
361,2149647.5,2022-02-17
362,2126781.0,2022-02-18
363,2096735.8,2022-02-22
364,2055006.2,2022-02-23
365,2040350.2,2022-02-24
366,2074236.0,2022-02-25
367,2030470.1,2022-02-28
368,1936460.5,2022-03-01
369,2013882.6,2022-03-02
370,1928590.4,2022-03-03
371,1916376.6,2022-03-04
372,1829028.8,2022-03-07
373,1870440.0,2022-03-08
374,1932142.1,2022-03-09
375,1901788.0,2022-03-10
376,1862853.4,2022-03-11
377,1846101.2,2022-03-14
378,1891966.1,2022-03-15
379,1983620.1,2022-03-16
380,2025024.8,2022-03-17
381,2080429.4,2022-03-18
382,2086208.8,2022-03-21
383,2141686.2,2022-03-22
384,2132487.0,2022-03-23
385,2184354.2,2022-03-24
386,2238122.2,2022-03-25
387,2247336.2,2022-03-28
388,2304627.8,2022-03-29
389,2276176.0,2022-03-30
390,2249677.2,2022-03-31
391,2286788.0,2022-04-01
392,2282971.5,2022-04-04
393,2222587.2,2022-04-05
394,2174935.0,2022-04-06
395,2161589.2,2022-04-07
396,2152758.2,2022-04-08
397,2152754.8,2022-04-11
398,2145667.2,2022-04-12
399,2203496.5,2022-04-13
400,2203745.8,2022-04-14
401,2194965.2,2022-04-18
402,2245309.0,2022-04-19
403,2240615.5,2022-04-20
404,2209400.5,2022-04-21
405,2156542.5,2022-04-22
406,2151258.2,2022-04-25
407,2079952.8,2022-04-26
408,2069819.9,2022-04-27
409,2124659.8,2022-04-28
410,2073375.5,2022-04-29
411,2068046.1,2022-05-02
412,2099839.5,2022-05-03
413,2130473.5,2022-05-04
414,2038120.2,2022-05-05
415,2007756.1,2022-05-06
416,1895379.6,2022-05-09
417,1891385.0,2022-05-10
418,1842210.6,2022-05-11
419,1875732.4,2022-05-12
420,1942837.6,2022-05-13
421,1937772.2,2022-05-16
422,2020908.1,2022-05-17
423,1952671.4,2022-05-18
424,1964353.9,2022-05-19
425,1939693.5,2022-05-20
426,1975939.0,2022-05-23
427,1943873.4,2022-05-24
428,2017993.2,2022-05-25
429,2092329.1,2022-05-26
430,2156345.0,2022-05-27
431,2118267.0,2022-05-31
432,2112516.2,2022-06-01
433,2157084.0,2022-06-02
434,2131776.8,2022-06-03
435,2144492.5,2022-06-06
436,2180983.8,2022-06-07
437,2144425.8,2022-06-08
438,2078721.2,2022-06-09
439,2013015.2,2022-06-10
440,1901728.6,2022-06-13
441,1903710.5,2022-06-14
442,1944549.1,2022-06-15
443,1846705.1,2022-06-16
444,1880475.5,2022-06-17
445,1917044.4,2022-06-21
446,1898220.5,2022-06-22
447,1880303.2,2022-06-23
448,1940155.6,2022-06-24
449,1928862.4,2022-06-27
450,1910395.2,2022-06-28
451,1878831.1,2022-06-29
452,1849206.9,2022-06-30
453,1866501.4,2022-07-01
454,1835896.6,2022-07-05
455,1806824.5,2022-07-06
456,1864948.6,2022-07-07
457,1862028.1,2022-07-08
458,1825643.8,2022-07-11
459,1841005.8,2022-07-12
460,1845229.0,2022-07-13
461,1815808.8,2022-07-14
462,1862847.8,2022-07-15
463,1886941.1,2022-07-18
464,1965391.0,2022-07-19
465,1982886.4,2022-07-20
466,1964319.0,2022-07-21
467,1934294.4,2022-07-22
468,1959194.9,2022-07-25
469,1931125.9,2022-07-26
470,1984318.0,2022-07-27
471,1993125.8,2022-07-28
472,2030508.9,2022-07-29
473,2039408.9,2022-08-01
474,2029794.0,2022-08-02
475,2082244.1,2022-08-03
476,2071483.2,2022-08-04
477,2074774.0,2022-08-05
478,2096624.6,2022-08-08
479,2072773.6,2022-08-09
480,2123391.0,2022-08-10
481,2141576.2,2022-08-11
482,2178754.5,2022-08-12
483,2171594.2,2022-08-15
484,2207291.0,2022-08-16
485,2174631.2,2022-08-17
486,2180529.8,2022-08-18
487,2127134.0,2022-08-19
488,2081569.1,2022-08-22
489,2090250.9,2022-08-23
490,2103792.8,2022-08-24
491,2136266.2,2022-08-25
492,2072017.9,2022-08-26
493,2061820.2,2022-08-29
494,2023329.9,2022-08-30
495,1996980.5,2022-08-31
496,1962917.2,2022-09-01
497,1960199.8,2022-09-02
498,1938172.9,2022-09-06
499,1960936.4,2022-09-07
500,1988277.1,2022-09-08
501,2049874.6,2022-09-09
502,2105930.5,2022-09-12
503,2018636.1,2022-09-13
504,2031115.4,2022-09-14
505,2037735.6,2022-09-15
506,1985493.1,2022-09-16
507,2021022.0,2022-09-19
508,1989747.0,2022-09-20
509,1943406.2,2022-09-21
510,1910515.5,2022-09-22
511,1824183.5,2022-09-23
512,1782263.1,2022-09-26
513,1783011.5,2022-09-27
514,1831071.4,2022-09-28
515,1777975.6,2022-09-29
516,1754262.2,2022-09-30
517,1806116.8,2022-10-03
518,1913804.8,2022-10-04
519,1882046.0,2022-10-05
520,1859125.2,2022-10-06
521,1817758.5,2022-10-07
522,1797942.1,2022-10-10
523,1781188.6,2022-10-11
524,1787603.6,2022-10-12
525,1839165.9,2022-10-13
526,1794198.8,2022-10-14
527,1854478.2,2022-10-17
528,1899664.9,2022-10-18
529,1863560.5,2022-10-19
530,1843739.4,2022-10-20
531,1878392.8,2022-10-21
532,1880215.4,2022-10-24
533,1945502.2,2022-10-25
534,1936043.6,2022-10-26
535,1944951.2,2022-10-27
536,1977629.6,2022-10-28
537,2002864.2,2022-10-31
538,2039714.0,2022-11-01
539,1992653.0,2022-11-02
540,1975681.2,2022-11-03
541,2028702.9,2022-11-04
542,2050920.6,2022-11-07
543,2050356.4,2022-11-08
544,1984899.2,2022-11-09
545,2059774.0,2022-11-10
546,2092548.1,2022-11-11
547,2069442.1,2022-11-14
548,2105455.8,2022-11-15
549,2065135.5,2022-11-16
550,2060707.8,2022-11-17
