,0_model,0_baseline
Annual return,0.2781166006684719,0.21790761166805073
Cumulative returns,0.29566001892089844,0.22843301196818877
Annual volatility,0.16641356678672461,0.13593270465270207
Sharpe ratio,1.5637973875851232,1.524113701719253
Calmar ratio,2.758807791539061,2.6901243268825117
Stability,0.6549245261872714,0.8991467842908712
Max drawdown,-0.10081043033205242,-0.08100280328700496
Omega ratio,1.2897145521445077,1.2920514467542301
Sortino ratio,2.3437192390213846,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,0.9496437380560492,1.0522905740339357
Daily value at risk,-0.019933451781980693,-0.016303780479937965
