,0_model,0_baseline
Annual return,0.35707865233841773,0.21790761166805073
Cumulative returns,0.38029515743255615,0.22843301196818877
Annual volatility,0.1570693796133541,0.13593270465270207
Sharpe ratio,2.0307278617599653,1.524113701719253
Calmar ratio,4.967184951762042,2.6901243268825117
Stability,0.8171753168993857,0.8991467842908712
Max drawdown,-0.0718875290141449,-0.08100280328700496
Omega ratio,1.3889014474278634,1.2920514467542301
Sortino ratio,3.1145629964886665,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1843526921778478,1.0522905740339357
Daily value at risk,-0.018523146980442107,-0.016303780479937965
