,0_model,0_baseline
Annual return,0.12567514614915365,-0.07402860635429542
Cumulative returns,0.08874869346618652,-0.05287735556561035
Annual volatility,0.6220012335711109,0.41850228875658096
Sharpe ratio,0.4950153670358812,0.02537062372789874
Calmar ratio,0.7066003098468652,-0.19961242592701
Stability,0.4856918375605706,0.276799745032494
Max drawdown,-0.17785888910293576,-0.37086171369594306
Omega ratio,1.1186423434585573,1.0054871502953882
Sortino ratio,0.7856838736232974,0.034625576171365004
Skew,,
Kurtosis,,
Tail ratio,1.1892825747920373,0.8529963352977709
Daily value at risk,-0.07714296341873705,-0.05268419875332445
