,0_model,0_baseline
Annual return,0.22434096953017124,0.21790761166805073
Cumulative returns,0.23818588256835938,0.22843301196818877
Annual volatility,0.14323230659467662,0.13593270465270207
Sharpe ratio,1.4904339440973042,1.524113701719253
Calmar ratio,2.642854852589876,2.6901243268825117
Stability,0.8407424289418444,0.8991467842908715
Max drawdown,-0.08488584581568202,-0.08100280328700496
Omega ratio,1.2852380188914376,1.2920514467542301
Sortino ratio,2.214651877665687,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.2014740367295011,1.0522905740339357
Daily value at risk,-0.017198438348714262,-0.016303780479937965
