,0_model,0_baseline
Annual return,0.266308317547421,0.21790761166805073
Cumulative returns,0.28302788734436035,0.22843301196818877
Annual volatility,0.15665816943980337,0.13593270465270207
Sharpe ratio,1.5916852702313198,1.524113701719253
Calmar ratio,3.076200620100719,2.6901243268825117
Stability,0.9264404766309544,0.8991467842908715
Max drawdown,-0.0865705298306265,-0.08100280328700496
Omega ratio,1.301608696540468,1.2920514467542301
Sortino ratio,2.3155103758464555,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,0.9803214255289773,1.0522905740339357
Daily value at risk,-0.018747588037513196,-0.016303780479937965
