,0_model,0_baseline
Annual return,1.1692926383925797,0.21790761166805073
Cumulative returns,1.2646572589874268,0.22843301196818877
Annual volatility,0.31495331433284,0.13593270465270207
Sharpe ratio,2.627118372722752,1.524113701719253
Calmar ratio,7.5328935224922144,2.6901243268825117
Stability,0.8221714512821374,0.8991467842908712
Max drawdown,-0.15522489929019015,-0.08100280328700496
Omega ratio,1.5475185888392475,1.2920514467542301
Sortino ratio,4.665233839394451,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.2856430141519912,1.0522905740339357
Daily value at risk,-0.03639697656035423,-0.016303780479937965
