,0_model,0_baseline
Annual return,0.2715712364051228,0.21790761166805073
Cumulative returns,0.28865718841552734,0.22843301196818877
Annual volatility,0.15784590953194108,0.13593270465270207
Sharpe ratio,1.6072816196414033,1.524113701719253
Calmar ratio,3.477470799635071,2.6901243268825117
Stability,0.9366322806599168,0.8991467842908715
Max drawdown,-0.07809446924288244,-0.08100280328700496
Omega ratio,1.3050890445277508,1.2920514467542301
Sortino ratio,2.3546939811795182,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0096131828060124,1.0522905740339357
Daily value at risk,-0.018879958079196513,-0.016303780479937965
