,0_model,0_baseline
Annual return,0.28468683309020326,0.21790761166805073
Cumulative returns,0.3026914596557617,0.22843301196818877
Annual volatility,0.12553551441303398,0.13593270465270207
Sharpe ratio,2.066650930703762,1.524113701719253
Calmar ratio,4.836800069538277,2.6901243268825117
Stability,0.8474305524616649,0.8991467842908712
Max drawdown,-0.05885850748372562,-0.08100280328700496
Omega ratio,1.3988190149570527,1.2920514467542301
Sortino ratio,3.1709366641270793,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1267970880850382,1.0522905740339357
Daily value at risk,-0.01478647196199745,-0.016303780479937965
