,0_model,0_baseline
Annual return,0.2721578371563087,0.21790761166805073
Cumulative returns,0.28928470611572266,0.22843301196818877
Annual volatility,0.13371245251679292,0.13593270465270207
Sharpe ratio,1.8745650966216623,1.524113701719253
Calmar ratio,4.368916004210156,2.6901243268825117
Stability,0.8502622749638986,0.8991467842908712
Max drawdown,-0.06229413357776636,-0.08100280328700496
Omega ratio,1.3539329592681029,1.2920514467542301
Sortino ratio,2.8201589265893814,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1336277170053908,1.0522905740339357
Daily value at risk,-0.015851531992666423,-0.016303780479937965
