,0_model,0_baseline
Annual return,0.697278520243442,0.21790761166805073
Cumulative returns,0.7479023933410645,0.22843301196818877
Annual volatility,0.4169013850380378,0.13593270465270207
Sharpe ratio,1.4803929472872046,1.524113701719253
Calmar ratio,9.667078691052167,2.6901243268825117
Stability,0.9384196394677439,0.8991467842908712
Max drawdown,-0.07212918633721704,-0.08100280328700496
Omega ratio,1.28571951872633,1.2920514467542301
Sortino ratio,2.4297174958164702,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1260602149769623,1.0522905740339357
Daily value at risk,-0.050075518898665905,-0.016303780479937965
