,0_model,0_baseline
Annual return,0.6692703138541951,0.21790761166805073
Cumulative returns,0.7174704074859619,0.22843301196818877
Annual volatility,0.39288445777725534,0.13593270465270207
Sharpe ratio,1.503954704097424,1.524113701719253
Calmar ratio,8.59193241723154,2.6901243268825117
Stability,0.9173054842409302,0.8991467842908712
Max drawdown,-0.07789520230768351,-0.08100280328700496
Omega ratio,1.2884169100959213,1.2920514467542301
Sortino ratio,2.4799140180831274,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0887242002841082,1.0522905740339357
Daily value at risk,-0.047154025407508016,-0.016303780479937965
