,0_model,0_baseline
Annual return,0.09046444361422945,0.06645528453394434
Cumulative returns,0.3015962839126587,0.21538821275864328
Annual volatility,0.1651952971408233,0.14807955819028487
Sharpe ratio,0.6075291572394202,0.5091431994961778
Calmar ratio,0.49467413905584207,0.30288445703587075
Stability,0.6537568211884657,0.4071382129181897
Max drawdown,-0.1828768404729911,-0.2194080382476477
Omega ratio,1.104773643419898,1.0908009926555746
Sortino ratio,0.8800997069537486,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0325192022324055,1.0271345051583645
Daily value at risk,-0.02041439336608164,-0.018357089375590302
