,dates,weights
0,2020-09-14,"[0.00470831 0.00522826 0.00586249 0.00700877 0.00632101 0.00579382
 0.00424878 0.00553664 0.00439194 0.00465319 0.00527001 0.004002
 0.00513267 0.00665844 0.00621124 0.00459582 0.00450912 0.00461436
 0.00541534 0.00667807 0.00431953 0.00828317 0.00422107 0.0077133
 0.0063695  0.00375716 0.00605527 0.00732284 0.00713431 0.00401539
 0.00514031 0.00403254 0.00475027 0.00710402 0.00663638 0.00477989
 0.00617318 0.00687061 0.00497745 0.00523241 0.00443065 0.00398831
 0.00859611 0.00592037 0.00499856 0.00435393 0.00702055 0.00776315
 0.00427151 0.0043229  0.00700554 0.00485271 0.00661156 0.00444194
 0.00731529 0.00518905 0.00610812 0.00402232 0.00514337 0.00604093
 0.00411314 0.00505603 0.00389055 0.00431972 0.00436107 0.00578127
 0.00658806 0.00392421 0.00568068 0.00451179 0.00700413 0.00494193
 0.00428753 0.0043112  0.00453288 0.00543806 0.00601562 0.00398233
 0.0052702  0.00830257 0.00467266 0.00367954 0.00418394 0.00633324
 0.0046869  0.00705646 0.0041623  0.00506025 0.00520641 0.00466793
 0.00625086 0.00488651 0.00557995 0.00594604 0.00605487 0.00670558
 0.00725132 0.00528294 0.00644066 0.00613218 0.00451857 0.00687347
 0.00591164 0.00753649 0.00632199 0.00794173 0.0051373  0.00436243
 0.00742984 0.00434754 0.00640395 0.00642998 0.00660066 0.00409583
 0.00506795 0.00773645 0.00457572 0.0054438  0.00625347 0.00794247
 0.00871948 0.00738218 0.00701995 0.00600303 0.00726568 0.0074847
 0.00532164 0.0039123  0.00429521 0.00413453 0.00726944 0.00453961
 0.00413491 0.00438944 0.00646147 0.00710367 0.00694134 0.00391399
 0.00787151 0.00469719 0.00493855 0.00732036 0.00741132 0.00618769
 0.00510353 0.00463857 0.00619988 0.00471565 0.00529779 0.00425404
 0.00637678 0.00654706 0.00447434 0.00505279 0.00779472 0.00448278
 0.00765559 0.0072086  0.0042882  0.00771164 0.00563893 0.00374509
 0.00381367 0.00667671 0.00502764 0.00782226 0.00666404 0.00594191
 0.00613088 0.00729048 0.00440424 0.00494865 0.00606922 0.00402944
 0.00567078 0.00681383 0.00518052]"
1,2020-09-15,"[0.00477363 0.00512938 0.00577937 0.0070596  0.00644201 0.00575644
 0.00437533 0.00529631 0.00421086 0.00462127 0.00543786 0.00377789
 0.00513536 0.00670294 0.0062467  0.00475904 0.00449093 0.0047111
 0.00527104 0.00682111 0.00419658 0.00804596 0.0043442  0.00765767
 0.00652679 0.00369634 0.00614396 0.00711585 0.00693189 0.00403033
 0.00505535 0.00409791 0.00477671 0.00725232 0.00681429 0.00492942
 0.00607207 0.00690823 0.00477783 0.00493497 0.00451783 0.00391082
 0.00865795 0.00596352 0.00496743 0.0043962  0.00691115 0.00781487
 0.00418294 0.00439887 0.00717034 0.00463678 0.00680841 0.00454336
 0.00740875 0.00530343 0.00599103 0.00389505 0.00465594 0.00654075
 0.0041821  0.00513092 0.00388582 0.00441674 0.00433354 0.00574916
 0.00660507 0.00393981 0.00567355 0.00481605 0.00693215 0.00515829
 0.00393056 0.0044673  0.00451005 0.00563466 0.00610959 0.00396232
 0.00532121 0.00830785 0.00478631 0.00377737 0.00423906 0.00597697
 0.00474053 0.00746106 0.00425343 0.00505498 0.00525597 0.00438767
 0.00637354 0.00499973 0.00567115 0.00590587 0.00632765 0.00679685
 0.00702543 0.00511207 0.00639995 0.00625115 0.00440936 0.00694182
 0.00583519 0.00752785 0.00643495 0.00797561 0.00497199 0.00440714
 0.00752378 0.00437867 0.00642673 0.00635797 0.00658707 0.00410975
 0.00512314 0.00791851 0.00501311 0.00518954 0.00632149 0.00848716
 0.00806363 0.00740338 0.00691426 0.00614343 0.00739805 0.00723738
 0.00533327 0.00393159 0.00428619 0.00411669 0.00711031 0.00453793
 0.00417697 0.00438231 0.00637811 0.00739692 0.00656315 0.00393777
 0.0076904  0.0045384  0.00500711 0.00736788 0.00748765 0.00612939
 0.00477739 0.00467116 0.00628362 0.00449619 0.00525823 0.00435777
 0.00605178 0.00660147 0.0044185  0.00494431 0.00807153 0.00431211
 0.00779689 0.0074999  0.00416535 0.00692731 0.00554925 0.0038229
 0.00386392 0.00665624 0.00505031 0.00771447 0.00688146 0.00590981
 0.00657105 0.0073329  0.00438309 0.0049958  0.00610914 0.00380349
 0.00572515 0.00664626 0.0052324 ]"
2,2020-09-16,"[0.0047797  0.00544304 0.00560676 0.0066001  0.00634195 0.00577745
 0.00417643 0.00532497 0.00415479 0.00467353 0.00516903 0.00381945
 0.00501058 0.00643244 0.00619891 0.00456917 0.00437376 0.00502732
 0.00520845 0.00672959 0.00419759 0.00834436 0.0041095  0.00787318
 0.00647655 0.00367167 0.0062104  0.00712005 0.00702645 0.00417779
 0.00531713 0.00392279 0.00463864 0.00720947 0.00669729 0.00486698
 0.00615783 0.00689243 0.00488376 0.00511275 0.00441412 0.0039354
 0.00858042 0.00580577 0.00493855 0.00438575 0.00704542 0.00814901
 0.00438864 0.00443349 0.00724969 0.00455429 0.00661889 0.00442724
 0.00729466 0.00525201 0.00619857 0.00382211 0.00486164 0.00595965
 0.00419303 0.0050493  0.00396121 0.00426581 0.004316   0.00578305
 0.00674731 0.00396954 0.00560076 0.00441551 0.00689678 0.00505741
 0.00469604 0.0043306  0.00465418 0.00570465 0.00592805 0.00421542
 0.0049816  0.00840964 0.00482097 0.00383259 0.00424292 0.00606864
 0.00480188 0.00726238 0.00413802 0.00465343 0.00519212 0.00440322
 0.00626005 0.00498362 0.00544685 0.00571923 0.00622069 0.00675751
 0.00728977 0.00511283 0.00631399 0.00618511 0.00449129 0.00710846
 0.00573229 0.00726601 0.00629639 0.00790443 0.00505595 0.00442502
 0.00742599 0.00436934 0.00630665 0.00655102 0.00647429 0.00422016
 0.00520936 0.00765988 0.00516155 0.00531676 0.00631701 0.00795903
 0.00914227 0.00736984 0.00688088 0.00606693 0.00717153 0.00691569
 0.00557021 0.00388077 0.00432861 0.00409791 0.00722156 0.00455746
 0.00415441 0.00437378 0.00633707 0.00708214 0.00708128 0.0037651
 0.00785837 0.00448577 0.00501336 0.00729936 0.00746023 0.00607568
 0.00507089 0.00482142 0.00601097 0.00445571 0.00546724 0.00424968
 0.00640214 0.00664076 0.00447118 0.00507238 0.00826396 0.00434591
 0.00778662 0.00713505 0.00428024 0.00775478 0.0057219  0.00364819
 0.00378493 0.00692415 0.00504408 0.00773878 0.00702766 0.00589747
 0.00673617 0.00720969 0.00436657 0.00496015 0.00626279 0.00402935
 0.00568439 0.00656086 0.00521177]"
3,2020-09-17,"[0.00482711 0.0051704  0.00574214 0.00694525 0.00643015 0.00581052
 0.0042407  0.00530269 0.00421588 0.00442246 0.00527668 0.00382733
 0.00511432 0.00667998 0.00628462 0.00462533 0.00456783 0.0049559
 0.00507728 0.00677848 0.00421399 0.00823245 0.00426458 0.0076996
 0.00639292 0.00372223 0.00613823 0.00743778 0.00713429 0.00399797
 0.00537743 0.00400996 0.00472678 0.0075422  0.00653704 0.0046734
 0.00607859 0.00686767 0.0048031  0.00491151 0.00436884 0.00383615
 0.00869509 0.00594329 0.00499897 0.00435504 0.00706628 0.00802343
 0.00431847 0.00438593 0.00721474 0.00473172 0.0066906  0.00430637
 0.00729992 0.00541326 0.00615258 0.00396182 0.00468744 0.0061323
 0.0040709  0.00514857 0.00392608 0.00447453 0.00435719 0.00575414
 0.00653064 0.00393971 0.00562812 0.004611   0.00695954 0.0053314
 0.00410623 0.00436677 0.00450239 0.00581894 0.00603643 0.0039593
 0.00494589 0.00842662 0.00474063 0.00387277 0.00426874 0.00605804
 0.00480735 0.00729362 0.00416285 0.00474416 0.0053005  0.00454535
 0.00575924 0.0049917  0.00555014 0.00588758 0.00649391 0.00679144
 0.00724865 0.00515819 0.00636406 0.0062497  0.00438339 0.00683133
 0.00582044 0.00732046 0.00632881 0.00797711 0.00483898 0.00437679
 0.00750094 0.00436398 0.00639236 0.00661257 0.00654641 0.00440629
 0.00518218 0.00779593 0.00434254 0.005327   0.00643892 0.00800866
 0.00779995 0.00734622 0.0066932  0.00604406 0.00722716 0.00722185
 0.00533232 0.00396052 0.00435679 0.00408349 0.00719261 0.00456395
 0.0042188  0.00439872 0.00648917 0.00730053 0.00686989 0.00384622
 0.00759134 0.00467041 0.00506314 0.00752055 0.00734093 0.00632258
 0.00499917 0.00472233 0.00604274 0.00454488 0.00539081 0.00424874
 0.00623036 0.00664101 0.0044489  0.00512104 0.00817371 0.00444333
 0.007812   0.00722545 0.00437851 0.00708644 0.00569879 0.00382434
 0.00386882 0.00672899 0.00492976 0.0077958  0.00690843 0.00596801
 0.00695264 0.00734912 0.00446308 0.00504729 0.00630721 0.0039135
 0.00580579 0.00681376 0.00504374]"
4,2020-09-18,"[0.00483835 0.00507705 0.00566333 0.0068874  0.00641641 0.00570048
 0.00428589 0.00518783 0.00421021 0.00446227 0.0052035  0.00387974
 0.0051203  0.00656386 0.00628187 0.00465735 0.00451835 0.00492257
 0.00520928 0.00684513 0.00422703 0.007934   0.00444103 0.00760864
 0.00647643 0.0037321  0.00602809 0.00729042 0.00646961 0.00406511
 0.00524241 0.0040184  0.0046925  0.00739426 0.00668318 0.00472449
 0.00653157 0.00692221 0.00481408 0.00524777 0.00445515 0.00403017
 0.00860531 0.00597076 0.00492501 0.00432326 0.00709174 0.00796015
 0.00428069 0.00440428 0.00724758 0.00477281 0.00682035 0.00455001
 0.00758071 0.00540391 0.00575769 0.0039502  0.00461971 0.00594918
 0.00404527 0.00513405 0.00386578 0.00430097 0.00455257 0.00606084
 0.00694336 0.00413622 0.00557552 0.00489008 0.00704275 0.00547933
 0.00399651 0.00434259 0.00464897 0.00565886 0.00598212 0.00388145
 0.00503091 0.00834861 0.00470458 0.00390558 0.00434659 0.00592627
 0.00470813 0.00733476 0.00427473 0.00510126 0.00522652 0.00434871
 0.00603581 0.00496489 0.0055429  0.00577001 0.00623395 0.00695839
 0.00733466 0.00551785 0.00633693 0.00628164 0.00429665 0.0068821
 0.00587255 0.00738423 0.00630953 0.00782911 0.00478826 0.00438442
 0.00736875 0.00437833 0.00667714 0.00641082 0.00651502 0.0042319
 0.00519981 0.00779911 0.00453835 0.005233   0.00628079 0.00825666
 0.00830629 0.00739556 0.00691607 0.00627129 0.00724879 0.00710934
 0.00525774 0.00396087 0.0043095  0.00405614 0.00712004 0.00457471
 0.00422882 0.00439283 0.00643835 0.00703108 0.00663748 0.00381588
 0.0076496  0.0045078  0.00507507 0.00745688 0.00734087 0.0060494
 0.00495115 0.00495132 0.00608485 0.00444166 0.00552388 0.00424551
 0.0063021  0.0066639  0.0044169  0.00503415 0.00828583 0.00422094
 0.00778706 0.00728404 0.0043664  0.00720592 0.00569009 0.00375271
 0.00380961 0.00649361 0.00498581 0.00793223 0.00689872 0.00590088
 0.00675362 0.00739129 0.00430966 0.00502014 0.00611794 0.00386221
 0.00574196 0.00672302 0.00511992]"
5,2020-09-21,"[0.00489725 0.0049163  0.00609995 0.0071946  0.00647241 0.00571161
 0.00442265 0.00532334 0.00423668 0.00439034 0.00540551 0.00385102
 0.0053089  0.00706028 0.00625174 0.00480948 0.00453236 0.00491629
 0.00522264 0.00700557 0.00410842 0.00810144 0.00434812 0.00751878
 0.00655114 0.00370478 0.00600529 0.00709206 0.00659142 0.00405399
 0.00510965 0.00422103 0.00478352 0.00689858 0.00672469 0.00475545
 0.00632853 0.00714395 0.00469662 0.00498443 0.00458461 0.00368978
 0.00866246 0.00584909 0.00506354 0.0043609  0.00713472 0.00791914
 0.00404125 0.00440034 0.00720811 0.00473044 0.00699915 0.00436247
 0.00791974 0.00521786 0.00590284 0.00393553 0.004527   0.00593655
 0.00411228 0.00518526 0.00389015 0.00428715 0.00444352 0.00586747
 0.00716959 0.00426035 0.005485   0.00479856 0.00703575 0.00437518
 0.00363137 0.00443958 0.00468412 0.00548718 0.00609737 0.0036232
 0.00508286 0.00816226 0.00481472 0.00381588 0.00408852 0.00597663
 0.00475053 0.00723989 0.00444142 0.0047608  0.00515909 0.00451251
 0.00594266 0.00505188 0.00588849 0.0059398  0.00642648 0.0067585
 0.0072102  0.00481997 0.00654612 0.00619936 0.00420379 0.00696716
 0.00606827 0.00798566 0.00658516 0.00771083 0.00471874 0.00440606
 0.00739691 0.00443279 0.00672987 0.00627896 0.00668579 0.00425829
 0.00508906 0.00807955 0.00449027 0.00515586 0.00626297 0.00867159
 0.00800025 0.00751145 0.00689155 0.00615117 0.00761918 0.00755594
 0.00522421 0.00395301 0.00428353 0.00405725 0.0071381  0.00468364
 0.00426483 0.00451133 0.00636035 0.0074689  0.00654657 0.00393378
 0.00772039 0.0043859  0.00513682 0.00735978 0.00749376 0.00590477
 0.00510768 0.00460304 0.00641106 0.00417199 0.00525709 0.00431527
 0.00611348 0.00670743 0.00411183 0.00492977 0.00805902 0.00427556
 0.0078353  0.00744248 0.00444878 0.00703268 0.00569863 0.00396283
 0.00385738 0.00623204 0.00498296 0.00772215 0.00689337 0.00589701
 0.00644598 0.00737349 0.00443905 0.00503937 0.00604693 0.0039009
 0.0059493  0.00646238 0.00528169]"
6,2020-09-22,"[0.00475139 0.00520681 0.00583316 0.00702008 0.00637419 0.00579419
 0.00427944 0.00533851 0.00428208 0.0044976  0.00522652 0.003853
 0.00509543 0.00656315 0.00628611 0.00492234 0.00446702 0.00493196
 0.00528842 0.00704289 0.00421359 0.00812122 0.0042278  0.00762485
 0.00633271 0.00373825 0.00618607 0.00725558 0.00674854 0.00408106
 0.00526286 0.0040301  0.00481268 0.00725535 0.00683093 0.00479985
 0.00608048 0.00695339 0.00485881 0.004862   0.004456   0.00392047
 0.00862866 0.00586447 0.00505453 0.00437859 0.00700335 0.00779301
 0.00417095 0.00444174 0.00722623 0.00471035 0.00680372 0.00437463
 0.00756255 0.00530821 0.00574788 0.00391896 0.00452529 0.00611008
 0.00421907 0.00519098 0.00395758 0.00432581 0.00440184 0.00589204
 0.00692295 0.00409739 0.00565593 0.00459291 0.00682586 0.00478
 0.00460189 0.00446124 0.00450884 0.0055457  0.00599643 0.00397389
 0.00514492 0.00834304 0.00470119 0.00379246 0.00411679 0.00588052
 0.0047152  0.00727562 0.00423322 0.00502184 0.00531675 0.00452991
 0.00599378 0.00494042 0.005745   0.00610468 0.00614455 0.00669805
 0.00713696 0.00505518 0.00635088 0.00625151 0.00413537 0.00700604
 0.0058095  0.00735348 0.0067587  0.00785009 0.00504648 0.00435109
 0.0074377  0.00434936 0.00674935 0.00643787 0.00660644 0.00411279
 0.00508451 0.00793942 0.00463194 0.00522084 0.00629174 0.00817339
 0.00852067 0.0075953  0.00696221 0.0060384  0.00724233 0.00720484
 0.00557563 0.00393173 0.0042562  0.00407538 0.00716627 0.00458352
 0.00419572 0.00434478 0.00637881 0.00728561 0.00703201 0.00392201
 0.00765749 0.00462724 0.00498363 0.00739688 0.00736472 0.00605372
 0.00502305 0.00472995 0.00617837 0.00451454 0.00538207 0.00441199
 0.00633365 0.00654654 0.0041609  0.00493792 0.00812539 0.00433049
 0.00772376 0.0073467  0.00431516 0.00721965 0.00562629 0.00375028
 0.00383457 0.0066681  0.00491725 0.00758335 0.00689181 0.00596228
 0.00658429 0.00729925 0.00438806 0.00496695 0.00604035 0.00394331
 0.00574775 0.00684059 0.00516132]"
7,2020-09-23,"[0.00490548 0.0051421  0.00568017 0.00684295 0.00641081 0.00571136
 0.00423449 0.0051877  0.00403539 0.00458405 0.00515313 0.00392205
 0.00515118 0.00653668 0.00624999 0.00460976 0.00449721 0.00490298
 0.00511703 0.00694742 0.00420803 0.00806018 0.00426962 0.00790415
 0.00650613 0.00378854 0.00616998 0.00720851 0.00690578 0.00415459
 0.0052652  0.0040063  0.00477712 0.00689628 0.00669903 0.00465406
 0.00606691 0.00708026 0.0046834  0.00500692 0.00433333 0.00394132
 0.0086104  0.00591656 0.00498407 0.00438778 0.00699426 0.00774182
 0.0043632  0.0043812  0.0073817  0.00468186 0.00674099 0.00441129
 0.00765135 0.00527492 0.00598942 0.00387276 0.00436103 0.00601687
 0.00414111 0.00516102 0.00394916 0.00431071 0.00449736 0.00593379
 0.0068234  0.00413003 0.00559067 0.00470329 0.00710179 0.00459907
 0.0037429  0.0043564  0.00457762 0.00588169 0.00601604 0.00397384
 0.00502939 0.00833924 0.00476281 0.00385595 0.00419842 0.00584099
 0.00478982 0.00716094 0.00427523 0.00530301 0.00533139 0.00454312
 0.00599899 0.00496215 0.00552807 0.00599608 0.00648694 0.00696853
 0.00732814 0.00466814 0.00638913 0.00619351 0.00438553 0.00685861
 0.00589636 0.00773485 0.00664254 0.00793811 0.00493869 0.00446229
 0.00750498 0.00441393 0.00639551 0.00649086 0.00662454 0.00422453
 0.00524162 0.0077398  0.00453475 0.00534629 0.00620655 0.00802161
 0.00753154 0.00827257 0.00698623 0.00617552 0.0072053  0.00706734
 0.00552127 0.00398614 0.00427866 0.00407938 0.00728978 0.00465861
 0.00424115 0.00451489 0.00631711 0.00718447 0.00693818 0.00389364
 0.00763696 0.00468626 0.00514522 0.00732401 0.00751054 0.00613355
 0.0050548  0.00474469 0.00607719 0.00414148 0.00551009 0.00419985
 0.00621602 0.00663455 0.00445571 0.00509188 0.00812691 0.00439178
 0.00782844 0.0072364  0.00425527 0.00739049 0.00572527 0.00373801
 0.00381278 0.00662887 0.00496187 0.00790243 0.00686915 0.00590313
 0.00644849 0.00726031 0.00440687 0.00503216 0.00613267 0.00429941
 0.00578209 0.00669568 0.00525615]"
8,2020-09-24,"[0.00477207 0.005104   0.00582613 0.0068479  0.00636713 0.00582926
 0.00424434 0.00558653 0.00436326 0.00443121 0.00530453 0.00375806
 0.00511446 0.00670715 0.00614384 0.00470794 0.00449347 0.00496132
 0.00554285 0.0066673  0.0042139  0.00785495 0.00481438 0.00793744
 0.00642817 0.00366346 0.00617635 0.00692705 0.00729018 0.00406337
 0.00524746 0.00411536 0.0046913  0.0072704  0.00668563 0.00455932
 0.00605915 0.00692997 0.0047443  0.00518101 0.00445514 0.0038861
 0.00850548 0.00586867 0.0049906  0.00432994 0.00698893 0.00788792
 0.00432363 0.00436945 0.00732746 0.00457324 0.0067361  0.00463838
 0.00763954 0.00522586 0.00622708 0.00388803 0.00448754 0.00603206
 0.00412305 0.00509835 0.00389061 0.00422603 0.0044207  0.0059158
 0.00685041 0.00401723 0.00560093 0.00537766 0.00684897 0.00338738
 0.00348612 0.00443132 0.00480616 0.00556179 0.00598008 0.00403488
 0.0053321  0.00830801 0.00487492 0.00382752 0.00429941 0.00642819
 0.00469559 0.00737675 0.00422794 0.0053206  0.00514146 0.00442142
 0.00604635 0.00497271 0.00566187 0.00590993 0.00633623 0.00677793
 0.00723886 0.00547166 0.00643195 0.00626845 0.00433013 0.00695033
 0.00595001 0.00736322 0.00637247 0.00795271 0.0048518  0.00439312
 0.00742314 0.00443426 0.00655124 0.00646184 0.00658091 0.00404606
 0.00514985 0.00788509 0.00452011 0.00514458 0.00623943 0.00818532
 0.00858135 0.00726061 0.00695879 0.00598418 0.00719395 0.00729806
 0.00557058 0.00389529 0.00432413 0.00403936 0.00720206 0.00459144
 0.00419402 0.00445948 0.00625226 0.00729825 0.00672998 0.00377749
 0.00757889 0.00446404 0.00500525 0.00742273 0.00739354 0.00607573
 0.00510446 0.00479833 0.00623028 0.00453329 0.0054112  0.00430053
 0.00635791 0.00664192 0.00442083 0.00502267 0.00809601 0.00433933
 0.00787989 0.00736017 0.00447013 0.0070928  0.00567707 0.00374609
 0.00384766 0.0065721  0.00494682 0.00775564 0.00693482 0.00589929
 0.00651264 0.00731052 0.00433625 0.00499399 0.0060723  0.00377898
 0.0057503  0.00680074 0.00523346]"
9,2020-09-25,"[0.00472766 0.00535248 0.00592796 0.0070006  0.0063434  0.00584554
 0.00435337 0.00527315 0.00417255 0.00443194 0.00529662 0.00389586
 0.0050582  0.00674279 0.00623434 0.0047497  0.00442412 0.00497833
 0.0051573  0.00685009 0.00421502 0.00860621 0.00437111 0.0076015
 0.00632801 0.00370275 0.00610129 0.00710309 0.00799633 0.00401346
 0.00519894 0.00404405 0.00474155 0.0068869  0.00663818 0.00500679
 0.00622353 0.00673236 0.00486904 0.00461816 0.00448086 0.00388235
 0.00865788 0.00592199 0.00504558 0.0043778  0.00696261 0.00783461
 0.00419456 0.00441087 0.00719949 0.00494587 0.00672327 0.00423776
 0.00750804 0.00521819 0.00594641 0.00389058 0.00465513 0.00608926
 0.00414673 0.00510987 0.00388861 0.00436936 0.00437991 0.00577519
 0.0069834  0.00423999 0.00567414 0.00464624 0.00687712 0.00491076
 0.00415955 0.00439841 0.00453838 0.00562198 0.00600841 0.00398592
 0.00510875 0.0083744  0.00478018 0.0038563  0.00415634 0.00592511
 0.00471567 0.00720298 0.0043119  0.00526513 0.0052086  0.00450467
 0.00588877 0.00497065 0.0057213  0.00599824 0.00614678 0.00675031
 0.00724068 0.00498931 0.00635628 0.00615055 0.00444925 0.00696806
 0.00576641 0.0075458  0.0063323  0.00786306 0.00497859 0.00437078
 0.00744441 0.00437376 0.00657389 0.00635991 0.00656767 0.00416044
 0.00505716 0.00788784 0.00454858 0.00510274 0.00626083 0.00823462
 0.00810081 0.00729878 0.00692257 0.00600672 0.0071687  0.00740107
 0.00534273 0.00390613 0.00422251 0.00410537 0.00720568 0.00459718
 0.00415824 0.00431493 0.00634824 0.00727345 0.00733382 0.00390765
 0.00771023 0.00483608 0.0049586  0.00723425 0.00743219 0.00594958
 0.00499788 0.00468558 0.00627239 0.00429644 0.00537617 0.00430815
 0.00631994 0.00654012 0.00444932 0.00538959 0.00816966 0.00433886
 0.00777848 0.00728565 0.00422402 0.00714316 0.00562288 0.00374572
 0.00381457 0.00687248 0.00496294 0.00792813 0.00687103 0.00589146
 0.00635403 0.00730305 0.00439055 0.00494136 0.00608979 0.00398017
 0.00569079 0.00682297 0.00522683]"
