,dates,weights
0,2019-10-14,"[0.04133393 0.01955166 0.03965095 0.02939274 0.02687143 0.0162918
 0.01614066 0.04300845 0.02060052 0.04301074 0.01670079 0.01603031
 0.01677247 0.01684193 0.03261977 0.04271154 0.043207   0.04324325
 0.01644731 0.03335358 0.03008085 0.04203216 0.0219213  0.02527008
 0.01639148 0.01643511 0.02106249 0.04241629 0.03502212 0.0162931
 0.01927703 0.01914237 0.01631593 0.01950532 0.04236728 0.04268613]"
1,2019-10-15,"[0.04071793 0.0199442  0.03947046 0.0291854  0.02712741 0.01632524
 0.01616091 0.04320211 0.02036699 0.042987   0.01676443 0.0163809
 0.01660525 0.01672179 0.03304658 0.0427644  0.04365977 0.04389465
 0.01627158 0.03377134 0.02955788 0.04172849 0.02197671 0.02467709
 0.01615186 0.01600888 0.02088075 0.04114944 0.03378834 0.01628709
 0.01919293 0.01914069 0.01621351 0.01987045 0.04544739 0.04256014]"
2,2019-10-16,"[0.0412593  0.0192211  0.03959828 0.02933007 0.02727335 0.01636139
 0.01619453 0.04281238 0.02081242 0.04314866 0.01678187 0.01633894
 0.01652702 0.01687967 0.03271819 0.04273313 0.04502096 0.04272775
 0.01642073 0.03239674 0.03027538 0.04260704 0.02116676 0.0252284
 0.01618937 0.01625557 0.02105364 0.0428334  0.0339167  0.01647463
 0.01951543 0.01912675 0.01630077 0.01924658 0.04229365 0.04295948]"
3,2019-10-17,"[0.04105013 0.01947777 0.03931114 0.02903316 0.02727038 0.01641728
 0.01633116 0.04320561 0.02075906 0.042955   0.0167473  0.01652683
 0.0166696  0.01718862 0.03230961 0.04228437 0.0434166  0.0437899
 0.01643104 0.03342525 0.02975728 0.0424887  0.0217367  0.02501025
 0.0160913  0.01627013 0.01992844 0.04243754 0.03449428 0.01645228
 0.01915871 0.0190869  0.01616506 0.01983919 0.04355524 0.04292814]"
4,2019-10-18,"[0.04118999 0.01956201 0.03945285 0.02890335 0.02724068 0.01622959
 0.01594836 0.04329379 0.02036946 0.04278875 0.0166194  0.01631085
 0.01611031 0.01665459 0.03247186 0.04545549 0.0431458  0.04294508
 0.01669988 0.03300827 0.0303077  0.04223814 0.02129007 0.02486014
 0.01644492 0.01630349 0.02021222 0.04294763 0.03420324 0.01655847
 0.01932671 0.01948205 0.01629845 0.01965291 0.04279839 0.04267514]"
5,2019-10-21,"[0.04105665 0.01987237 0.03903415 0.02915082 0.0273062  0.01648211
 0.01663842 0.04309964 0.02042099 0.04268172 0.0168633  0.01677684
 0.01637847 0.01713081 0.03317278 0.04209144 0.04314759 0.04445487
 0.01617567 0.03391907 0.03016478 0.04150886 0.0220945  0.02509593
 0.01618603 0.01617523 0.02000548 0.04308118 0.03400219 0.01588954
 0.01970712 0.01895627 0.01651908 0.0196401  0.0421216  0.04299814]"
6,2019-10-22,"[0.04137186 0.01969283 0.03907732 0.02925961 0.02732948 0.01631556
 0.01662855 0.04270311 0.02102026 0.04376403 0.01666692 0.01672533
 0.01621558 0.01691969 0.03285767 0.0406386  0.04429581 0.04330683
 0.01635106 0.03299789 0.02867814 0.04185596 0.02155365 0.02503042
 0.0157197  0.01617522 0.01997587 0.04394079 0.0348998  0.01660376
 0.01919251 0.0191941  0.01676572 0.01955582 0.04366587 0.04305456]"
7,2019-10-23,"[0.04128037 0.01874813 0.03974814 0.02931555 0.0276414  0.01637237
 0.01623205 0.0435521  0.0204382  0.04236507 0.01687935 0.01655738
 0.01651103 0.01697395 0.03267733 0.04291469 0.04327883 0.04242894
 0.01667161 0.03317606 0.0301249  0.04239684 0.02203095 0.02524889
 0.01662154 0.01568723 0.02019583 0.04301836 0.03486254 0.01613623
 0.01926279 0.01896673 0.01663583 0.01980251 0.04231173 0.04293451]"
8,2019-10-24,"[0.04082939 0.01943683 0.03978875 0.02902736 0.02745667 0.01590256
 0.01593094 0.04343004 0.0202841  0.04217979 0.01507358 0.01614098
 0.01728599 0.01686162 0.03282142 0.04275741 0.04258914 0.04577241
 0.01624565 0.03765109 0.02932735 0.04229466 0.0220222  0.02504375
 0.01607516 0.01592726 0.02113156 0.04288238 0.03414338 0.01633674
 0.01909783 0.01851761 0.01595168 0.01974617 0.04157554 0.04246099]"
9,2019-10-25,"[0.04108111 0.01986573 0.03928294 0.02921626 0.02728006 0.01660022
 0.01630448 0.04269682 0.02062316 0.04242107 0.01678256 0.01634504
 0.0165796  0.01681061 0.03535151 0.04248228 0.04361289 0.04361501
 0.01608824 0.0338211  0.02977302 0.04202167 0.02166029 0.02488817
 0.01616008 0.0160591  0.02021775 0.04199653 0.03432585 0.01638346
 0.01919162 0.01912564 0.01635145 0.01974157 0.04245948 0.04278353]"
