,dates,weights
0,2020-09-14,"[0.0568525  0.02299875 0.05037526 0.0224818  0.02196418 0.02407838
 0.02350765 0.04267487 0.03195391 0.02257335 0.03091977 0.0443841
 0.06528899 0.05516721 0.03151044 0.03250235 0.04783784 0.04308425
 0.02228318 0.02561299 0.05808762 0.05750968 0.02759342 0.06115802
 0.05321012 0.02438936]"
1,2020-09-15,"[0.05815574 0.02276802 0.05189526 0.02334631 0.02200273 0.02480179
 0.02237104 0.04222329 0.03157371 0.02329864 0.03059832 0.04674818
 0.06039354 0.05714507 0.03102624 0.03293412 0.04879636 0.04356337
 0.02125916 0.02496962 0.05805929 0.05759666 0.02749281 0.05542973
 0.05754909 0.02400191]"
2,2020-09-16,"[0.05640163 0.023402   0.05363884 0.0213909  0.02191508 0.0238849
 0.02244966 0.04115351 0.03208451 0.02198925 0.03066758 0.04439378
 0.0698866  0.05615712 0.03060971 0.03161971 0.0472372  0.04407429
 0.02222062 0.02390483 0.05574993 0.05800713 0.02694679 0.06011287
 0.05714875 0.02295285]"
3,2020-09-17,"[0.05761492 0.02248188 0.05347964 0.02245138 0.02167284 0.02526942
 0.02181147 0.04057292 0.03193226 0.02163165 0.03078629 0.04732924
 0.06180629 0.05739377 0.03021482 0.03227158 0.04868914 0.04267345
 0.02179998 0.02517316 0.05867036 0.05784454 0.02712    0.05555346
 0.05964692 0.02410853]"
4,2020-09-18,"[0.05802342 0.02218366 0.05337828 0.02349447 0.02151834 0.02488976
 0.02341722 0.04283378 0.03180781 0.02296919 0.02894503 0.04888272
 0.06044985 0.05816394 0.0297619  0.03182084 0.04772159 0.04227388
 0.02116218 0.02441405 0.05640279 0.0595607  0.02705406 0.05675218
 0.05822077 0.02389759]"
5,2020-09-21,"[0.06114935 0.0223637  0.05550189 0.02394862 0.02213787 0.0241765
 0.02315669 0.04082833 0.03126314 0.0229264  0.03089644 0.04063444
 0.05718467 0.05916418 0.03031581 0.03262937 0.04954026 0.04373502
 0.02173014 0.02473103 0.05731724 0.05901272 0.02622265 0.05766755
 0.05784871 0.0239173 ]"
6,2020-09-22,"[0.05730871 0.02288237 0.05378719 0.02249395 0.02169488 0.02457022
 0.02182163 0.04190373 0.03116861 0.02220907 0.0290689  0.04288866
 0.07000131 0.05679914 0.02880723 0.03210007 0.04809111 0.04509323
 0.0225557  0.02520494 0.05678018 0.05836906 0.02563146 0.05720668
 0.05709945 0.02446244]"
7,2020-09-23,"[0.05942149 0.02269602 0.05370197 0.02281431 0.02258837 0.02345652
 0.02256931 0.04230775 0.03274565 0.02249195 0.03042232 0.04144417
 0.05717985 0.05799842 0.03068131 0.03260226 0.04764794 0.04484655
 0.02235235 0.02563647 0.05778033 0.0600169  0.02756523 0.05881676
 0.05616716 0.02404862]"
8,2020-09-24,"[0.05866093 0.02286472 0.05515045 0.02610805 0.02302468 0.02509951
 0.02370219 0.0423352  0.03293157 0.02400335 0.0321013  0.03098225
 0.05404943 0.05842715 0.03074424 0.03315172 0.04862095 0.04591826
 0.02200736 0.02478385 0.05809362 0.05982145 0.02775424 0.05729238
 0.05758087 0.02479021]"
9,2020-09-25,"[0.05730586 0.02364043 0.05456292 0.02337146 0.02174065 0.02344333
 0.02083107 0.04170043 0.03149973 0.02162042 0.03022719 0.04428152
 0.06358436 0.05803961 0.03114644 0.03232006 0.04810094 0.04342782
 0.0236456  0.02647346 0.05608952 0.05859818 0.0275435  0.05689479
 0.05538535 0.0245253 ]"
10,2020-09-28,"[0.05681918 0.02330637 0.05456172 0.02308485 0.02312953 0.02463371
 0.02222133 0.04234499 0.03336346 0.02224945 0.0308004  0.0395891
 0.05790927 0.05722108 0.03041116 0.03204407 0.04796512 0.04666155
 0.02227335 0.02460906 0.06023323 0.06011584 0.02771519 0.0571003
 0.05533731 0.02429938]"
11,2020-09-29,"[0.05885226 0.02232181 0.05422961 0.02299442 0.02242918 0.02464327
 0.02223198 0.04165442 0.03217212 0.02185878 0.03026929 0.0455662
 0.06110011 0.05858022 0.0311545  0.03277225 0.04873647 0.04328797
 0.02197017 0.02429797 0.05634728 0.05946067 0.02780187 0.05455725
 0.05685893 0.02385098]"
12,2020-09-30,"[0.05790225 0.0229505  0.05366698 0.02370876 0.02242439 0.02420959
 0.02170651 0.04194911 0.03277236 0.02198655 0.03168412 0.04557969
 0.05775438 0.05666872 0.03019642 0.03201998 0.0482261  0.04471084
 0.02229643 0.02377031 0.060227   0.05658148 0.02719512 0.05789817
 0.05729085 0.02462336]"
13,2020-10-01,"[0.05752084 0.02326135 0.05396593 0.02466933 0.02201033 0.02436482
 0.02224917 0.04210937 0.0319     0.02242753 0.03138267 0.05142684
 0.0557634  0.05818571 0.03046602 0.03177184 0.04772374 0.04423891
 0.0223158  0.02360575 0.05590724 0.05710107 0.02732899 0.05802371
 0.05601365 0.02426597]"
14,2020-10-02,"[0.05729789 0.0233928  0.05371298 0.02292729 0.02232038 0.02454774
 0.02272418 0.04280545 0.03246309 0.02247373 0.03077017 0.04608537
 0.05573646 0.05745713 0.03050225 0.03235205 0.04873883 0.04517139
 0.02185411 0.02479689 0.05782913 0.05781816 0.02780655 0.05771069
 0.05624293 0.02446235]"
15,2020-10-05,"[0.05657961 0.0225596  0.0545495  0.02369653 0.02190699 0.02443551
 0.02356647 0.04184232 0.03226999 0.02193192 0.03011791 0.04695106
 0.05769195 0.05682778 0.03038931 0.03178647 0.04716984 0.04302843
 0.02167272 0.02722459 0.05860356 0.05851184 0.02775626 0.05895375
 0.05598218 0.02399399]"
16,2020-10-06,"[0.05769292 0.02176811 0.05577141 0.02211932 0.02276713 0.02416262
 0.02265309 0.03990603 0.03329405 0.02200986 0.0316534  0.0426104
 0.05635492 0.05739309 0.02988275 0.03176919 0.04768766 0.0449484
 0.02241759 0.03033823 0.05948008 0.05780831 0.02683957 0.05673711
 0.05752959 0.02440511]"
17,2020-10-07,"[0.05644081 0.02325941 0.05309071 0.02311036 0.0220911  0.02439679
 0.0240246  0.04212042 0.03221874 0.02292168 0.02857378 0.04608504
 0.05856363 0.05696483 0.03080997 0.03222128 0.0479988  0.04262627
 0.02222405 0.02644133 0.05854438 0.05907875 0.0265394  0.0594259
 0.05626727 0.02396067]"
18,2020-10-08,"[0.05507633 0.02190918 0.05304792 0.02290785 0.02170476 0.02388542
 0.02172561 0.0404344  0.03112273 0.02218204 0.03108856 0.04454125
 0.0803398  0.05536288 0.02981388 0.03100267 0.04690633 0.04173822
 0.02149409 0.03097072 0.05630329 0.05630318 0.02651044 0.05705938
 0.0536464  0.02292267]"
19,2020-10-09,"[0.05804341 0.02300127 0.0538038  0.02330382 0.02229489 0.02348082
 0.02377457 0.04172307 0.03206739 0.02270424 0.03128821 0.04444129
 0.052345   0.05719314 0.03037814 0.03244741 0.04799064 0.0441374
 0.0228145  0.02867391 0.05755051 0.05747977 0.02712096 0.05801902
 0.06006638 0.02385642]"
20,2020-10-12,"[0.05768962 0.02230834 0.053571   0.02343497 0.02211907 0.02429547
 0.02261519 0.04204148 0.03235453 0.02156247 0.03058082 0.04379968
 0.05731983 0.05868006 0.03093333 0.03205773 0.04920753 0.04401705
 0.02170958 0.02292851 0.05955226 0.05862512 0.02721264 0.05836084
 0.05829296 0.0247299 ]"
21,2020-10-13,"[0.05948475 0.02222774 0.05586706 0.02339366 0.02157452 0.02419472
 0.02295215 0.04157309 0.03233074 0.02256766 0.03053821 0.04450149
 0.06061355 0.05752467 0.03084048 0.03282062 0.04838118 0.04232844
 0.01978008 0.0238167  0.05643522 0.05985044 0.02735176 0.05812562
 0.05672124 0.02420433]"
22,2020-10-14,"[0.05751557 0.02298336 0.05487316 0.02336045 0.02196832 0.02432509
 0.02187535 0.04226351 0.0318738  0.02323037 0.03094819 0.04616303
 0.06002535 0.05705026 0.03034702 0.03195508 0.04906112 0.04468823
 0.02178014 0.0247856  0.05760906 0.05714433 0.02669505 0.05727434
 0.05604147 0.02416274]"
