,dates,weights
0,2020-09-14,"[0.10733969 0.08832026 0.18839286 0.16958521 0.16038986 0.09496132
 0.1910108 ]"
1,2020-09-15,"[0.10608378 0.08545425 0.18387617 0.18824454 0.1552153  0.09270369
 0.1884223 ]"
2,2020-09-16,"[0.10689212 0.08849042 0.17980532 0.18871026 0.16005965 0.09244441
 0.18359783]"
3,2020-09-17,"[0.10425206 0.08537257 0.17839462 0.20706859 0.15305632 0.08976365
 0.18209219]"
4,2020-09-18,"[0.11088437 0.08962894 0.18758821 0.16303249 0.16116092 0.09500654
 0.19269851]"
5,2020-09-21,"[0.10704143 0.0826933  0.18176088 0.19500442 0.1546672  0.09102341
 0.18780933]"
6,2020-09-22,"[0.10504469 0.08708732 0.181284   0.19027893 0.15489236 0.09412046
 0.18729226]"
7,2020-09-23,"[0.10801969 0.08553404 0.18116698 0.19349879 0.15576017 0.09127206
 0.18474828]"
8,2020-09-24,"[0.10677073 0.08752885 0.18410896 0.18268195 0.15811445 0.09345363
 0.18734151]"
9,2020-09-25,"[0.1054469  0.08855647 0.18405166 0.18224806 0.15797484 0.0934953
 0.18822683]"
10,2020-09-28,"[0.10518286 0.0866687  0.18245696 0.18540488 0.1585651  0.093045
 0.18867649]"
11,2020-09-29,"[0.11142723 0.0888942  0.19048327 0.15570365 0.16296896 0.0957598
 0.19476292]"
12,2020-09-30,"[0.09776586 0.08025097 0.16910683 0.24849224 0.14529869 0.08585511
 0.17323034]"
13,2020-10-01,"[0.10680378 0.08800121 0.18336031 0.18054469 0.15665168 0.09446565
 0.19017267]"
14,2020-10-02,"[0.11091118 0.09130786 0.18607368 0.16511896 0.16315891 0.09414208
 0.18928735]"
15,2020-10-05,"[0.10494149 0.0860812  0.18536219 0.18552765 0.15718965 0.09317648
 0.18772134]"
16,2020-10-06,"[0.10652532 0.08788425 0.17944439 0.19731112 0.15415353 0.09186707
 0.1828144 ]"
17,2020-10-07,"[0.10438851 0.08779552 0.18349282 0.18571451 0.1573424  0.09357525
 0.18769097]"
18,2020-10-08,"[0.10668382 0.08640102 0.1853208  0.18053746 0.16036853 0.09306996
 0.18761839]"
19,2020-10-09,"[0.1054474  0.08912479 0.18151498 0.18786223 0.15505719 0.09319806
 0.18779531]"
20,2020-10-12,"[0.10555787 0.0868329  0.18427445 0.18422033 0.1579004  0.09245683
 0.18875718]"
21,2020-10-13,"[0.10677708 0.08189504 0.18164347 0.19342451 0.15451139 0.09254678
 0.18920176]"
22,2020-10-14,"[0.10794096 0.0894978  0.18407352 0.18119556 0.15908878 0.09193922
 0.18626417]"
23,2020-10-15,"[0.10687692 0.08772975 0.17699389 0.19235809 0.15650086 0.09283879
 0.18670164]"
24,2020-10-16,"[0.10674198 0.08635488 0.18672225 0.18128808 0.15863444 0.09296209
 0.18729618]"
25,2020-10-19,"[0.10707205 0.08734474 0.18031786 0.19224454 0.15579282 0.09202003
 0.18520789]"
26,2020-10-20,"[0.10641642 0.089724   0.18298066 0.18332875 0.15705813 0.09349465
 0.18699735]"
27,2020-10-21,"[0.10918116 0.08759844 0.18654448 0.17217119 0.15905628 0.09438247
 0.19106601]"
28,2020-10-22,"[0.10575217 0.0898901  0.19865571 0.16829242 0.15988137 0.09412924
 0.18339898]"
29,2020-10-23,"[0.10391519 0.08446708 0.17301403 0.21085192 0.15231948 0.09093007
 0.18450223]"
30,2020-10-26,"[0.10859141 0.08512684 0.1803087  0.19382839 0.15509477 0.09083759
 0.18621229]"
31,2020-10-27,"[0.11045599 0.08939677 0.19057772 0.1595071  0.1597519  0.09485646
 0.19545405]"
32,2020-10-28,"[0.1021471  0.0784469  0.16922054 0.24513143 0.1457066  0.08589244
 0.173455  ]"
33,2020-10-29,"[0.10925079 0.09277938 0.18856515 0.15685979 0.16269207 0.09652624
 0.19332652]"
34,2020-10-30,"[0.10625475 0.0872151  0.17945781 0.19891062 0.15587786 0.08986134
 0.18242246]"
35,2020-11-02,"[0.10579009 0.0884116  0.18666726 0.18050857 0.15848003 0.0924855
 0.187657  ]"
36,2020-11-03,"[0.1047178  0.08636216 0.18040632 0.18768749 0.15863661 0.09442083
 0.18776879]"
37,2020-11-04,"[0.10329137 0.08586444 0.18963285 0.18625765 0.15176415 0.09434471
 0.18884489]"
38,2020-11-05,"[0.10468751 0.08715389 0.17624924 0.19344985 0.15883677 0.09328204
 0.18634076]"
39,2020-11-06,"[0.10941933 0.08790808 0.18748243 0.16755176 0.16046835 0.09478343
 0.19238673]"
40,2020-11-09,"[0.10287793 0.10187051 0.17501779 0.1849839  0.16416723 0.0949377
 0.1761449 ]"
