time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/std,train/loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
92,2048,1,22,,,,,,,,,,,
148,4096,2,27,10,1.00390625,-0.04130788892507553,0.0019088559,0.004296875,0.2,0.0001,-2.84219773337245,0.9255997836589813,-0.000829466208233498,0.002003157768922392
174,6144,3,35,20,1.0026185512542725,-0.02488422766327858,0.0036358894,0.008056640625,0.2,0.0001,-2.8459306731820107,0.8799092918634415,-0.0006551700615091249,0.006905644335003558
201,8192,4,40,30,1.0064888000488281,-0.01812993921339512,0.0049370397,0.073193359375,0.2,0.0001,-2.846536134183407,0.0,-0.0016826753941131755,0.0003320486338513007
227,10240,5,44,40,0.9999831914901733,-0.031171750277280807,0.0019936603,0.001220703125,0.2,0.0001,-2.8441543743014335,-1.1920928955078125e-07,-0.0004978425917215645,3.481178136736929e-05
254,12288,6,48,50,1.0101921558380127,-0.041707735508680344,0.007124214,0.059130859375,0.2,0.0001,-2.84739213809371,0.0,-0.001409653548762435,0.00016978161801053381
281,14336,7,51,60,1.0173454284667969,-0.03818615898489952,0.005287334,0.054638671875,0.2,0.0001,-2.866084560751915,-1.1920928955078125e-07,-0.002181622097850777,0.0001110222833326402
307,16384,8,53,70,1.0215766429901123,-0.022399872541427612,0.006102275,0.053564453125,0.2,0.0001,-2.8770777709782123,1.1920928955078125e-07,-0.001706090934749227,8.093372885032424e-05
334,18432,9,55,80,1.0125610828399658,-0.03647180274128914,0.0021161372,0.001123046875,0.2,0.0001,-2.871918974071741,0.0,-0.0005169434676645324,7.452087699659059e-06
361,20480,10,56,90,1.0184848308563232,-0.03724103048443794,0.008006635,0.076806640625,0.2,0.0001,-2.869366195052862,0.0,-0.002849022728332784,3.50861217128795e-05
387,22528,11,58,100,1.0187788009643555,-0.04034874215722084,0.009452799,0.103369140625,0.2,0.0001,-2.8752015464007856,0.0,-0.0016891847597435116,2.5035846528220772e-05
414,24576,12,59,110,1.0137872695922852,-0.051234450191259384,0.008605648,0.048876953125,0.2,0.0001,-2.8698313631117345,0.0,-0.0022680165129713714,3.277367405660268e-06
441,26624,13,60,120,1.013731837272644,-0.056142114102840424,0.008228345,0.0580078125,0.2,0.0001,-2.8650486186146735,0.0,-0.002726957740378566,1.575844841580909e-05
468,28672,14,61,130,1.018341064453125,0.00012114547280361876,0.013064023,0.127392578125,0.2,0.0001,-2.8701250933110716,-1.1920928955078125e-07,-0.002284136100206524,9.787359797340523e-06
493,30720,15,62,140,1.018505573272705,-0.025205178186297417,0.0064314404,0.03837890625,0.2,0.0001,-2.8752022251486777,0.0,-6.8978316267021e-05,7.117235929876564e-06
519,32768,16,63,150,1.0152605772018433,-0.03785354271531105,0.0013618887,0.0,0.2,0.0001,-2.871966490149498,0.0,0.00016210592584684492,1.027747390210847e-06
