time/time_elapsed,train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,time/fps,train/ent_coef_loss,time/episodes
350,0.3924390375614166,-562.6788330078125,10364,0.0001,1189.64013671875,9363,29,-56.09534454345703,4
692,0.13952499628067017,-554.6881713867188,20728,0.0001,0.27159079909324646,19727,29,-115.55583190917969,8
1040,0.04970482736825943,-404.31072998046875,31092,0.0001,1.7848951816558838,30091,29,-167.84933471679688,12
1384,0.01773078925907612,-266.2376708984375,41456,0.0001,0.6380068063735962,40455,29,-208.30804443359375,16
1732,0.006367419380694628,-166.096435546875,51820,0.0001,0.5774538516998291,50819,29,-237.72012329101562,20
2073,0.002289878437295556,-102.88250732421875,62184,0.0001,0.08963997662067413,61183,29,-244.70703125,24
2431,0.0008651191601529717,-63.4482536315918,72548,0.0001,0.10598289966583252,71547,29,-151.48846435546875,28
2784,0.00032715831184759736,-39.171043395996094,82912,0.0001,0.09111416339874268,81911,29,-160.15049743652344,32
3129,0.00012202346260892227,-23.97972869873047,93276,0.0001,0.04555895924568176,92275,29,-159.62542724609375,36
3470,5.6358570873271674e-05,-14.64542007446289,103640,0.0001,0.020561648532748222,102639,29,-126.25875854492188,40
3824,3.727167131728493e-05,-8.711122512817383,114004,0.0001,0.005887848790735006,113003,29,49.610904693603516,44
4155,2.113502887368668e-05,-5.266908645629883,124368,0.0001,0.008890875615179539,123367,29,58.59806823730469,48
4487,1.2610099474841263e-05,-3.3159403800964355,134732,0.0001,0.0009524467750452459,133731,30,-35.673072814941406,52
4825,7.577060387120582e-06,-1.9943290948867798,145096,0.0001,0.006892978213727474,144095,30,98.2331771850586,56
5161,4.939627160638338e-06,-1.246848225593567,155460,0.0001,0.0001995299244299531,154459,30,75.67829895019531,60
5501,3.0014602998562623e-06,-0.7193867564201355,165824,0.0001,7.486661343136802e-05,164823,30,-50.486785888671875,64
5857,1.3837517371939612e-06,-0.3965919613838196,176188,0.0001,6.0822836530860513e-05,175187,30,-62.62846374511719,68
6203,7.411027240777912e-07,-0.1323058009147644,186552,0.0001,2.29709803534206e-06,185551,30,-227.4375,72
6537,5.182866971153999e-07,-0.08150573074817657,196916,0.0001,7.734927294222871e-07,195915,30,-21.34528350830078,76
6877,2.4908041496018996e-07,-0.03966820240020752,207280,0.0001,3.3910666275005497e-07,206279,30,-22.742679595947266,80
7212,1.9958667962782783e-07,0.004139915108680725,217644,0.0001,2.553699232521467e-06,216643,30,143.68716430664062,84
7551,8.848652299775495e-08,0.004598766565322876,228008,0.0001,6.616156866812162e-08,227007,30,-225.5205078125,88
7891,4.46852617130844e-08,0.0037106601521372795,238372,0.0001,3.418929850340646e-08,237371,30,-154.7284698486328,92
8225,4.317179858048803e-08,0.010959706269204617,248736,0.0001,4.502119566041074e-09,247735,30,-237.45925903320312,96
8563,4.66275196231436e-08,0.049364253878593445,259100,0.0001,6.691559661931024e-08,258099,30,720.2020874023438,100
8900,1.19721804026085e-07,0.04009579122066498,269464,0.0001,4.382810857350705e-06,268463,30,328.4338073730469,104
9242,1.7697954035611474e-07,0.03660566359758377,279828,0.0001,9.747553519900976e-08,278827,30,-158.9062957763672,108
9579,1.8040699956145545e-07,0.033243730664253235,290192,0.0001,1.25221495395067e-08,289191,30,-216.2986602783203,112
