time/total_timesteps,train/learning_rate,train/n_updates,time/episodes,train/critic_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/ent_coef
11376,0.0001,10375,4,0.21337208151817322,36,-45.08946228027344,314,-418.34393310546875,0.3545578718185425
22752,0.0001,21751,8,0.20935854315757751,36,-92.8640365600586,631,-381.7680358886719,0.11392752081155777
34128,0.0001,33127,12,256.4844970703125,35,-135.17428588867188,963,-259.6243896484375,0.03668313845992088
45504,0.0001,44503,16,0.6767292022705078,35,-168.88926696777344,1279,-160.96292114257812,0.01183147169649601
56880,0.0001,55879,20,0.10431326925754547,35,-150.51840209960938,1582,-94.64784240722656,0.003830588422715664
68256,0.0001,67255,24,0.38332635164260864,36,-144.4106903076172,1872,-55.43550491333008,0.0012568433303385973
79632,0.0001,78631,28,0.0841233879327774,36,-116.69475555419922,2173,-32.2053337097168,0.00041893497109413147
91008,0.0001,90007,32,0.12081616371870041,36,-147.31150817871094,2466,-18.239253997802734,0.00014302127237897366
102384,0.0001,101383,36,0.009789039380848408,37,18.91291618347168,2765,-10.530023574829102,5.4198215366341174e-05
113760,0.0001,112759,40,0.0035890559665858746,37,116.10810089111328,3056,-6.040901184082031,2.5989314963226207e-05
125136,0.0001,124135,44,0.0009660616633482277,37,-44.28083419799805,3350,-3.4367992877960205,1.4647724128735717e-05
136512,0.0001,135511,48,0.00019419484306126833,37,10.6775541305542,3654,-1.9154433012008667,6.889602900628233e-06
147888,0.0001,146887,52,0.00013416219735518098,37,-76.09234619140625,3936,-1.0688813924789429,3.5195259897591313e-06
159264,0.0001,158263,56,3.71034984709695e-05,37,10.828569412231445,4234,-0.576533317565918,2.3875522856542375e-06
170640,0.0001,169639,60,1.8960370653076097e-05,37,126.26970672607422,4537,-0.29313787817955017,1.2560847153508803e-06
182016,0.0001,181015,64,2.2420606455852976e-06,37,-21.715776443481445,4837,-0.13003790378570557,6.306306090664293e-07
193392,0.0001,192391,68,1.2956560340171563e-06,37,9.864131927490234,5130,-0.06314492970705032,3.530402636897634e-07
204768,0.0001,203767,72,3.7021983700924466e-08,37,-88.54402160644531,5420,-0.007649604231119156,3.067527529765357e-07
216144,0.0001,215143,76,1.0055519972240745e-08,37,-281.68182373046875,5732,0.0008858833461999893,9.43779241424636e-08
227520,0.0001,226519,80,1.2180974806597078e-07,37,182.7432098388672,6030,0.04478289186954498,1.2827808859583456e-07
238896,0.0001,237895,84,2.321581291653274e-07,37,120.50911712646484,6314,0.0399559885263443,1.183094013867958e-07
250272,0.0001,249271,88,7.184807770954649e-08,37,-99.6083984375,6606,0.023567605763673782,7.283424707793529e-08
261648,0.0001,260647,92,1.2753127975884126e-07,37,182.45848083496094,6896,0.02731240913271904,8.499414150264784e-08
273024,0.0001,272023,96,8.323084443873086e-07,38,247.35751342773438,7184,0.02255900576710701,7.86829374987974e-08
284400,0.0001,283399,100,5.206476316743647e-08,38,-201.27574157714844,7480,0.013369884341955185,4.513255902338642e-08
295776,0.0001,294775,104,1.144569949929064e-08,38,71.93986511230469,7773,0.01064519677311182,3.1592271909630654e-08
