,dates,weights
0,2009-03-17,"[0.02247078 0.059865   0.05506977 0.02210736 0.03716275 0.02664654
 0.05993504 0.02879411 0.03768409 0.02280997 0.04641354 0.02430046
 0.05392949 0.02487922 0.05785881 0.05001774 0.02843216 0.05328549
 0.03277508 0.04926323 0.02349202 0.02572366 0.02405167 0.05767849
 0.05268513 0.02266844]"
1,2009-03-18,"[0.02310309 0.06044408 0.05309106 0.02221569 0.04338906 0.02766821
 0.05882188 0.029881   0.03661537 0.0241285  0.04936393 0.02356647
 0.05398611 0.02598851 0.05075888 0.04976896 0.02327303 0.05738502
 0.0330319  0.04922008 0.02317405 0.02395784 0.02464604 0.05766298
 0.0522754  0.02258278]"
2,2009-03-19,"[0.02383897 0.04884689 0.05335963 0.02249053 0.03998123 0.02678942
 0.06299683 0.03155564 0.03855591 0.02227744 0.04852224 0.02343706
 0.05730492 0.02568139 0.05291881 0.04996374 0.02336212 0.05320347
 0.034022   0.04849409 0.02300196 0.02455529 0.02627877 0.05681227
 0.05936273 0.02238663]"
3,2009-03-20,"[0.02474396 0.05364344 0.05838646 0.02331838 0.03569031 0.03015226
 0.05936256 0.02964001 0.03730635 0.02251775 0.05047933 0.02299041
 0.05679701 0.02744249 0.04468552 0.05256702 0.02315819 0.05472054
 0.03204101 0.05238264 0.0235324  0.02559805 0.02682224 0.05746906
 0.05116476 0.02338777]"
4,2009-03-23,"[0.02153538 0.06088077 0.05072648 0.02254579 0.04566051 0.02749549
 0.05895292 0.02667386 0.03909955 0.02232769 0.0466908  0.02518265
 0.0541676  0.02480315 0.05517774 0.04704336 0.02562691 0.05551468
 0.03377976 0.0470288  0.02362132 0.0251403  0.02574505 0.05706232
 0.054004   0.02351323]"
5,2009-03-24,"[0.02444049 0.0577277  0.05477442 0.02393593 0.03617822 0.0279917
 0.05859594 0.03004021 0.03657676 0.02160194 0.04929382 0.0221009
 0.05831425 0.02656705 0.05478476 0.05201491 0.02422996 0.05200761
 0.03236835 0.05272863 0.02082529 0.02550741 0.02533415 0.05999032
 0.04951532 0.02255393]"
6,2009-03-25,"[0.02340345 0.05806018 0.05429283 0.02229472 0.04120236 0.0309301
 0.05944409 0.02915699 0.03695038 0.02267195 0.04617494 0.02137137
 0.05452564 0.0255586  0.050408   0.05055076 0.02600049 0.05343541
 0.0340054  0.04770379 0.02321774 0.02550206 0.03129906 0.05773015
 0.05195717 0.02215236]"
7,2009-03-26,"[0.02261062 0.0594894  0.05249703 0.02420579 0.04212827 0.0299301
 0.05862314 0.03098729 0.03661345 0.02378968 0.04973563 0.02217007
 0.05184449 0.02573241 0.05133279 0.0486333  0.02731931 0.05460507
 0.03337181 0.04808699 0.02200448 0.02772001 0.02412068 0.05638209
 0.05410563 0.02196053]"
8,2009-03-27,"[0.02412672 0.05663982 0.05448556 0.02532233 0.04779023 0.02713305
 0.05595979 0.03107054 0.03564813 0.02315496 0.04381178 0.02113762
 0.06015198 0.02505115 0.05847579 0.05121459 0.02775506 0.05321142
 0.03181495 0.04799241 0.0207449  0.0238847  0.02543875 0.05728033
 0.04897382 0.02172968]"
9,2009-03-30,"[0.02507158 0.05640669 0.05829217 0.0237656  0.03417963 0.02923468
 0.0590138  0.03096045 0.03455611 0.02311587 0.05001977 0.02257604
 0.05726144 0.02717706 0.05547889 0.05134033 0.02461942 0.05023575
 0.03081298 0.05154616 0.02266359 0.02593724 0.02567615 0.05663667
 0.05188282 0.02153916]"
10,2009-03-31,"[0.02310779 0.05898742 0.05176766 0.02325999 0.03881495 0.02642032
 0.05861967 0.03030041 0.03907843 0.0223138  0.04774819 0.02214995
 0.05616215 0.025775   0.05382414 0.05047078 0.0250089  0.05612045
 0.03319528 0.05145956 0.02282507 0.02554419 0.02561775 0.05686368
 0.05155863 0.02300581]"
