,dates,weights
0,2020-09-14,"[0.02209323 0.02955183 0.0456263  0.05594642 0.02433348 0.04612379
 0.02364445 0.04520109 0.03875732 0.06646334 0.02315783 0.02238987
 0.04882732 0.02564807 0.03173866 0.04813227 0.05836779 0.02403626
 0.06108987 0.05294902 0.03616559 0.02428807 0.02437541 0.02850714
 0.06206134 0.03052421]"
1,2020-09-15,"[0.022848   0.0287     0.0445985  0.05563922 0.02401438 0.04810498
 0.02367245 0.04412306 0.03771532 0.0614146  0.02344123 0.02273985
 0.04998699 0.02619394 0.03460705 0.04962892 0.05618263 0.02501722
 0.06034718 0.05412083 0.03892284 0.02292083 0.02546289 0.02939063
 0.06044415 0.02976232]"
2,2020-09-16,"[0.02271639 0.03016246 0.04409494 0.05378089 0.02540131 0.05062113
 0.02441853 0.04594984 0.03751054 0.06327314 0.02345067 0.02250411
 0.05031426 0.02677412 0.03088835 0.04551499 0.05666483 0.02426844
 0.05946523 0.05037165 0.04064002 0.02570924 0.0248194  0.03033519
 0.058652   0.03169831]"
3,2020-09-17,"[0.02217522 0.04632648 0.04721943 0.04388984 0.03951466 0.05324439
 0.02950842 0.04749886 0.04763326 0.05604386 0.02325493 0.02077763
 0.04340975 0.02663564 0.02416279 0.03599918 0.05371414 0.02075213
 0.05170928 0.04242461 0.05151793 0.02026612 0.02266766 0.04348474
 0.04566233 0.04050676]"
4,2020-09-18,"[0.02294845 0.02853611 0.04434846 0.05402771 0.02274633 0.04754175
 0.02553427 0.04473441 0.03876411 0.06016868 0.02457964 0.02362136
 0.05181146 0.02762937 0.03454167 0.0462182  0.05522088 0.02340592
 0.06427667 0.05176007 0.03995636 0.02334936 0.02567636 0.02999068
 0.05875229 0.02985948]"
5,2020-09-21,"[0.02339599 0.02937863 0.04490534 0.05462791 0.0232449  0.04792536
 0.02486769 0.04386085 0.0386493  0.05941923 0.02413692 0.02304996
 0.05391974 0.02860555 0.03419651 0.0470814  0.05608979 0.02321918
 0.05659009 0.05651554 0.04185817 0.02265744 0.02537561 0.03049008
 0.05564483 0.03029406]"
6,2020-09-22,"[0.02243889 0.03125818 0.04561215 0.05381279 0.02522574 0.05127756
 0.02437908 0.04598372 0.03923225 0.0583229  0.02391204 0.02269061
 0.05101857 0.02771657 0.03138976 0.04621466 0.05453957 0.02301987
 0.0581233  0.04975639 0.04398797 0.02375067 0.02444007 0.03091135
 0.05843562 0.03254978]"
7,2020-09-23,"[0.02312182 0.03587573 0.0444592  0.05000258 0.03020028 0.05300469
 0.02598538 0.04585377 0.04220432 0.05537485 0.02474632 0.02255305
 0.04912201 0.02839689 0.02967809 0.04291458 0.05394702 0.02275217
 0.052273   0.04962395 0.04895929 0.02070697 0.02456341 0.03626334
 0.05086132 0.03655598]"
8,2020-09-24,"[0.02184593 0.03496011 0.04609463 0.05352175 0.02911486 0.04952534
 0.02453    0.04452489 0.03867995 0.05565796 0.02355269 0.02193684
 0.04833018 0.02674744 0.03412955 0.04517648 0.05775286 0.02237644
 0.06018937 0.0466418  0.04674714 0.02304341 0.02326988 0.03244608
 0.05533035 0.03387401]"
9,2020-09-25,"[0.02212885 0.03121687 0.0443225  0.05177832 0.03024829 0.053691
 0.02495569 0.04590397 0.04119211 0.05935429 0.02365244 0.0220063
 0.05084532 0.02854187 0.03116214 0.04519891 0.05445784 0.0223851
 0.0567035  0.05019735 0.04500031 0.02235397 0.02404902 0.03097298
 0.05479741 0.03288361]"
10,2020-09-28,"[0.02232565 0.03123223 0.04531785 0.0535537  0.02584257 0.05065026
 0.02493248 0.04500397 0.03879221 0.05816988 0.02406414 0.02255305
 0.05022604 0.02768311 0.03186    0.04649127 0.05538402 0.02207528
 0.05868668 0.05244237 0.04455719 0.02311868 0.02433489 0.03095097
 0.05630887 0.03344269]"
11,2020-09-29,"[0.02317217 0.02815243 0.04562554 0.06002177 0.0214548  0.03728769
 0.02390538 0.04223859 0.03830293 0.0641107  0.02334182 0.02394421
 0.05415474 0.0255586  0.03457798 0.05191002 0.05870147 0.02372777
 0.06233196 0.05763349 0.02954074 0.02459163 0.02617127 0.02924283
 0.0633224  0.026977  ]"
12,2020-09-30,"[0.02201008 0.0498482  0.04819596 0.04320138 0.04148556 0.05568747
 0.03225675 0.04416747 0.04804938 0.05370776 0.02301077 0.02060905
 0.0444762  0.02812981 0.02417851 0.03432188 0.05279779 0.02068072
 0.04719201 0.04115378 0.05382625 0.02096772 0.02212423 0.04656485
 0.03963198 0.04172444]"
13,2020-10-01,"[0.02182201 0.03389306 0.04518702 0.05108827 0.02703566 0.05254562
 0.02486941 0.04731516 0.04181837 0.0569607  0.02340193 0.02180635
 0.0479763  0.02689976 0.03143442 0.04399527 0.05522649 0.02262837
 0.05737732 0.04920954 0.0489574  0.02337376 0.0236387  0.03237298
 0.05493951 0.03422664]"
14,2020-10-02,"[0.0229606  0.03017633 0.04499367 0.05426734 0.02588932 0.05114341
 0.02415477 0.04454445 0.03972618 0.05752007 0.02383103 0.0222792
 0.05085146 0.0273152  0.03357506 0.04755197 0.05699204 0.02234533
 0.05881108 0.05240088 0.04052959 0.02289893 0.02440405 0.03078942
 0.05749127 0.03255737]"
15,2020-10-05,"[0.02250122 0.0292316  0.04530957 0.05485349 0.02384979 0.03891005
 0.0248041  0.04615558 0.03910486 0.06090691 0.0240052  0.02335273
 0.0507796  0.02665133 0.03333932 0.04881211 0.0565742  0.02368244
 0.06073458 0.05767485 0.03912001 0.02609351 0.0240911  0.02913134
 0.06001651 0.03031396]"
16,2020-10-06,"[0.02282885 0.03152598 0.04460449 0.05250521 0.02446347 0.05494677
 0.02553338 0.0448823  0.04053772 0.05845719 0.02457282 0.02267828
 0.04993281 0.02754923 0.03196249 0.04438092 0.05373405 0.02291302
 0.05582387 0.05136018 0.04486056 0.02355509 0.02468248 0.03232364
 0.05480308 0.03458213]"
17,2020-10-07,"[0.02242543 0.02969611 0.04510178 0.05432123 0.02588219 0.04847362
 0.02423836 0.04654597 0.03906188 0.05983032 0.02337836 0.02243802
 0.05004233 0.02700122 0.03419467 0.04751583 0.05550797 0.02369834
 0.05723682 0.05336265 0.04334415 0.02255359 0.02480359 0.02990944
 0.05846092 0.03097524]"
