,dates,weights
0,2020-09-14,"[0.14412841 0.11232495 0.15009172 0.11029004 0.10761376 0.23891161
 0.13663955]"
1,2020-09-15,"[0.14586787 0.11036103 0.14991353 0.10808428 0.10786766 0.24021386
 0.13769178]"
2,2020-09-16,"[0.14614312 0.11449555 0.1492524  0.10771725 0.10947552 0.23828228
 0.13463387]"
3,2020-09-17,"[0.14711629 0.11207423 0.14971848 0.10670845 0.10833628 0.24001828
 0.13602807]"
4,2020-09-18,"[0.14759222 0.11145375 0.14933917 0.10822403 0.10760125 0.23946048
 0.13632911]"
5,2020-09-21,"[0.14880948 0.10709681 0.14946179 0.10716786 0.10667357 0.24174993
 0.13904059]"
6,2020-09-22,"[0.14522722 0.11152527 0.14991947 0.1076244  0.10787378 0.24047709
 0.13735278]"
7,2020-09-23,"[0.14919902 0.11076056 0.14973098 0.10519419 0.1079795  0.24094954
 0.13618623]"
8,2020-09-24,"[0.14577629 0.11051362 0.14942978 0.10951827 0.10747577 0.24039398
 0.13689235]"
9,2020-09-25,"[0.14471601 0.11142959 0.14972606 0.10842577 0.10838787 0.23997398
 0.13734075]"
10,2020-09-28,"[0.14426512 0.11214919 0.15052131 0.10732771 0.10896143 0.24001294
 0.13676229]"
11,2020-09-29,"[0.14703384 0.10976516 0.14919025 0.10947164 0.10784552 0.23938146
 0.13731216]"
12,2020-09-30,"[0.14598879 0.11086833 0.15031387 0.10714413 0.10759976 0.24048775
 0.13759735]"
13,2020-10-01,"[0.14532878 0.1110826  0.14975487 0.10928775 0.10742249 0.23984656
 0.13727693]"
14,2020-10-02,"[0.14746314 0.11353292 0.14924097 0.10741658 0.10856595 0.23883736
 0.13494307]"
15,2020-10-05,"[0.14408629 0.1124728  0.15109657 0.10815046 0.1076784  0.23958044
 0.13693504]"
16,2020-10-06,"[0.14745335 0.11328351 0.14926973 0.106856   0.10788343 0.23936199
 0.13589202]"
17,2020-10-07,"[0.14419468 0.11292236 0.15050554 0.10769076 0.10814769 0.23982926
 0.1367097 ]"
18,2020-10-08,"[0.14413488 0.11600873 0.14912662 0.10926291 0.10821512 0.23831032
 0.13494143]"
19,2020-10-09,"[0.14516407 0.11103979 0.14926289 0.10949615 0.10736754 0.24045815
 0.13721143]"
20,2020-10-12,"[0.14511462 0.11033794 0.15008889 0.10754918 0.10788376 0.24080355
 0.13822207]"
21,2020-10-13,"[0.14705066 0.10852787 0.14976609 0.10827988 0.10721489 0.2414721
 0.1376885 ]"
22,2020-10-14,"[0.14680147 0.11233045 0.14970088 0.10869868 0.10789443 0.23878898
 0.13578512]"
23,2020-10-15,"[0.14650413 0.11397683 0.14882784 0.10717151 0.10796892 0.23955719
 0.13599358]"
24,2020-10-16,"[0.14631093 0.1121461  0.15068068 0.10771313 0.10791974 0.23860247
 0.13662687]"
25,2020-10-19,"[0.14749232 0.11254213 0.14922129 0.10892057 0.1079311  0.2383669
 0.13552569]"
26,2020-10-20,"[0.14588328 0.11253447 0.14955828 0.10812627 0.10788415 0.23932977
 0.13668376]"
27,2020-10-21,"[0.1467295  0.11196874 0.14986207 0.10724015 0.10736214 0.24014772
 0.13668966]"
28,2020-10-22,"[0.14507039 0.11373883 0.15191865 0.10710898 0.10856827 0.2387067
 0.13488817]"
29,2020-10-23,"[0.14606509 0.11193622 0.14968243 0.10760237 0.10817631 0.23934017
 0.13719739]"
30,2020-10-26,"[0.14913458 0.10984223 0.14969458 0.10872434 0.10698112 0.2387667
 0.13685642]"
31,2020-10-27,"[0.14665866 0.10847404 0.14902851 0.11202767 0.10662871 0.23933168
 0.1378507 ]"
32,2020-10-28,"[0.15039808 0.10998173 0.1504296  0.10628435 0.1071916  0.23992419
 0.13579041]"
33,2020-10-29,"[0.14507197 0.11197752 0.1497782  0.10824624 0.10838933 0.23952423
 0.1370125 ]"
34,2020-10-30,"[0.14750977 0.11176113 0.14976533 0.10790844 0.10858136 0.23874256
 0.13573138]"
35,2020-11-02,"[0.14463773 0.11280202 0.14913027 0.10939033 0.10831023 0.23973194
 0.13599752]"
36,2020-11-03,"[0.14359434 0.11274341 0.14916776 0.10847962 0.10848274 0.24104126
 0.13649084]"
37,2020-11-04,"[0.1446864  0.10873058 0.15090817 0.1074973  0.10604227 0.2421566
 0.1399786 ]"
38,2020-11-05,"[0.1436555  0.11186644 0.14969651 0.11060451 0.10851377 0.23910584
 0.13655746]"
39,2020-11-06,"[0.14614281 0.11108725 0.1500579  0.10752589 0.10776928 0.24043593
 0.136981  ]"
40,2020-11-09,"[0.14351171 0.11824033 0.14964183 0.10596513 0.11203327 0.23843254
 0.13217522]"
41,2020-11-10,"[0.14628929 0.11370607 0.15027794 0.107444   0.10885311 0.2387662
 0.1346633 ]"
42,2020-11-11,"[0.14572515 0.11048625 0.1493974  0.10708413 0.10739412 0.24111234
 0.13880071]"
43,2020-11-12,"[0.1476637  0.10950391 0.14953795 0.10986247 0.1072107  0.23949176
 0.13672954]"
44,2020-11-13,"[0.14390291 0.11365841 0.15033415 0.10799627 0.10928662 0.23951377
 0.1353079 ]"
45,2020-11-16,"[0.1445247  0.11422763 0.14980975 0.10678672 0.10972361 0.23966596
 0.13526167]"
46,2020-11-17,"[0.1466307  0.11249166 0.1494057  0.10833102 0.10821195 0.23867239
 0.13625659]"
47,2020-11-18,"[0.14753796 0.11139707 0.14862263 0.10887751 0.10772784 0.23937799
 0.13645898]"
48,2020-11-19,"[0.14533606 0.11144028 0.14961827 0.1097156  0.10776497 0.23955335
 0.13657148]"
49,2020-11-20,"[0.14643525 0.11097044 0.150115   0.1098254  0.1075954  0.23936228
 0.1356962 ]"
50,2020-11-23,"[0.14517099 0.11452299 0.15003856 0.10611919 0.10890093 0.24004062
 0.13520671]"
51,2020-11-24,"[0.14438094 0.11531612 0.14982237 0.10609284 0.10916898 0.23995036
 0.13526839]"
52,2020-11-25,"[0.14631471 0.11115664 0.14931071 0.10980187 0.10754231 0.23903063
 0.13684316]"
