,dates,weights
0,2020-09-14,"[0.02322116 0.05853668 0.05023268 0.02194984 0.03819286 0.02760017
 0.06215754 0.03073741 0.03644262 0.02271534 0.04798909 0.02219374
 0.06186574 0.02484906 0.05551053 0.050275   0.02459653 0.05265203
 0.03310533 0.04981658 0.0224399  0.02511531 0.02556932 0.06076512
 0.04879745 0.02267296]"
1,2020-09-15,"[0.02391889 0.058353   0.05210876 0.02295264 0.03852635 0.02862738
 0.05956414 0.03062394 0.03625979 0.02360848 0.04782093 0.02353866
 0.05762551 0.02591921 0.05503818 0.05129763 0.02526408 0.0536083
 0.03180395 0.04890345 0.02258516 0.02532848 0.02565351 0.05545719
 0.05314415 0.02246817]"
2,2020-09-16,"[0.0230994  0.0597248  0.05363255 0.02094143 0.03821094 0.02745265
 0.05952117 0.02972128 0.03669143 0.02218765 0.04772755 0.02225907
 0.06640177 0.02536355 0.05406878 0.04904376 0.02435314 0.0540063
 0.03310201 0.04662066 0.02159517 0.0254014  0.02503742 0.05988885
 0.05255169 0.02139553]"
3,2020-09-17,"[0.02375476 0.0577614  0.05383179 0.0221271  0.03804208 0.0292389
 0.05821711 0.02949935 0.03676179 0.02197325 0.04823308 0.02388988
 0.05911861 0.02609607 0.05373067 0.05038935 0.0252706  0.05264242
 0.03269326 0.0494234  0.02287902 0.02550006 0.0253679  0.05571776
 0.05521693 0.0226235 ]"
4,2020-09-18,"[0.02396492 0.05709463 0.05382349 0.02319552 0.03783679 0.02884984
 0.06261208 0.03119749 0.03668239 0.02337262 0.04542747 0.02471706
 0.05792202 0.02649239 0.05301757 0.04977224 0.02481163 0.05224044
 0.03179213 0.04801664 0.02203313 0.02630242 0.02535036 0.05701929
 0.05399072 0.02246468]"
5,2020-09-21,"[0.02514522 0.05730556 0.05571935 0.0235402  0.03875537 0.02790019
 0.06164392 0.0296064  0.03589612 0.02322675 0.04827742 0.02045628
 0.05455306 0.02682978 0.05376744 0.05081306 0.02564424 0.05380905
 0.0325022  0.04842673 0.02229214 0.02594613 0.02446354 0.05768485
 0.05341041 0.02238459]"
6,2020-09-22,"[0.02356593 0.05863466 0.05399797 0.02211034 0.03797992 0.02835456
 0.05808999 0.03038629 0.03578761 0.02250005 0.04542181 0.02159112
 0.06677993 0.0257573  0.05109189 0.0499888  0.02489411 0.05548013
 0.03373702 0.04935474 0.02208328 0.02566315 0.02391203 0.05722388
 0.05271867 0.0228948 ]"
7,2020-09-23,"[0.02437686 0.05801941 0.05378473 0.02237213 0.03945044 0.02700522
 0.05993805 0.03060654 0.0375093  0.02273266 0.047424   0.02081452
 0.05441931 0.02623886 0.05428684 0.05065059 0.02460628 0.05504595
 0.03335368 0.05008084 0.02241904 0.02632515 0.02565517 0.05869511
 0.05173508 0.0224542 ]"
8,2020-09-24,"[0.02387178 0.05798171 0.0547923  0.02539663 0.03988983 0.02866494
 0.06244164 0.03038071 0.03741962 0.0240656  0.04963984 0.01543538
 0.05102732 0.02622075 0.05396175 0.05109105 0.02490731 0.05590921
 0.03257543 0.04802681 0.02235976 0.02602891 0.02562384 0.05671517
 0.05261172 0.02296093]"
9,2020-09-25,"[0.02350235 0.06041671 0.05463167 0.02291205 0.03795924 0.02698246
 0.05530621 0.03015875 0.036072   0.02184567 0.04710662 0.02223328
 0.06049763 0.02625012 0.05509436 0.0501981  0.02483325 0.05328961
 0.03527354 0.05170138 0.0217569  0.02569565 0.02562775 0.05676119
 0.05100065 0.02289286]"
10,2020-09-28,"[0.02327907 0.05950244 0.05457495 0.02260809 0.0403432  0.02832374
 0.0589374  0.0305938  0.03816743 0.02245841 0.04795114 0.01985706
 0.05504205 0.02585362 0.05373907 0.04971886 0.02473796 0.05719946
 0.03319272 0.04801147 0.02334048 0.02633436 0.0257613  0.05690831
 0.05090462 0.02265892]"
11,2020-09-29,"[0.02424148 0.05729476 0.05453398 0.02264041 0.03933165 0.02848685
 0.05928222 0.03025643 0.03700215 0.02218252 0.04737729 0.02297775
 0.05838669 0.0266098  0.05534818 0.05112168 0.02527075 0.05334892
 0.03291668 0.04765904 0.02195189 0.0261872  0.0259806  0.05466573
 0.05258517 0.0223602 ]"
12,2020-09-30,"[0.02382983 0.05885821 0.05392216 0.02332385 0.03928972 0.02796165
 0.05783165 0.03044449 0.03766036 0.02229316 0.04954946 0.02296496
 0.05514247 0.02571956 0.05360034 0.04990562 0.02498477 0.05505547
 0.033377   0.04658431 0.02344335 0.02489792 0.02539193 0.05796383
 0.05293944 0.02306461]"
13,2020-10-01,"[0.02367645 0.05966445 0.05423076 0.0242725  0.03857011 0.02814522
 0.05928642 0.03056546 0.03666345 0.02274373 0.0490855  0.02591493
 0.05324962 0.02641207 0.05408709 0.04952638 0.02472827 0.05448263
 0.03341107 0.04626882 0.02176519 0.02513037 0.02552079 0.05809832
 0.0517671  0.02273331]"
14,2020-10-02,"[0.02350548 0.05980014 0.05379531 0.02248274 0.03898206 0.02826129
 0.06034885 0.03096636 0.03718533 0.02271405 0.04796587 0.02314527
 0.05304515 0.02599376 0.05396955 0.05026148 0.02516942 0.05544421
 0.03260995 0.04844031 0.02243779 0.02536052 0.02587955 0.05759084
 0.05180445 0.02284031]"
15,2020-10-05,"[0.02318403 0.05760361 0.05457005 0.02321023 0.03821592 0.02809961
 0.06251346 0.03023466 0.03692147 0.02214085 0.0468949  0.02355282
 0.05484284 0.02567936 0.05370767 0.04932579 0.02433106 0.05275294
 0.03230196 0.05312141 0.02271202 0.02563515 0.02580292 0.05876342
 0.05150474 0.02237714]"
16,2020-10-06,"[0.02355572 0.05538396 0.055593   0.02158796 0.03957445 0.02768649
 0.0598758  0.02873249 0.03795699 0.02214012 0.04910957 0.02129895
 0.05338037 0.02584211 0.05262364 0.04912277 0.02451025 0.05490985
 0.03329273 0.05898524 0.02296933 0.0252364  0.02486157 0.05635177
 0.05273921 0.02267922]"
17,2020-10-07,"[0.02310811 0.0593416  0.05306698 0.02261746 0.03850536 0.02803199
 0.06367627 0.03041057 0.03683249 0.023121   0.044454   0.02309936
 0.05562564 0.0257201  0.05440627 0.04995935 0.02473828 0.05221687
 0.03309641 0.05155061 0.02267041 0.02586222 0.02465139 0.05918527
 0.05172441 0.02232768]"
18,2020-10-08,"[0.02248459 0.05573599 0.05287168 0.02235476 0.03772316 0.02736547
 0.05741723 0.0291093  0.03547717 0.02231056 0.04822727 0.02226133
 0.07608984 0.0249249  0.05249586 0.04793162 0.02410567 0.05098193
 0.03191726 0.0602075  0.02173987 0.02457629 0.02455365 0.05666484
 0.04917328 0.02129897]"
19,2020-10-09,"[0.02365608 0.05841592 0.05353496 0.02270298 0.03868371 0.02685673
 0.06272675 0.02998656 0.0364926  0.02279743 0.04845544 0.02217406
 0.04949267 0.02570564 0.05339954 0.05008097 0.02462149 0.05382187
 0.03382108 0.05564883 0.02218411 0.02504772 0.02507691 0.05752108
 0.05496546 0.02212934]"
20,2020-10-12,"[0.02380057 0.0573517  0.05395779 0.02311107 0.03884985 0.02812969
 0.06040044 0.03058641 0.03727143 0.02191681 0.04794141 0.02212225
 0.05486184 0.02669776 0.05504311 0.05008703 0.02555577 0.05433416
 0.03257824 0.04504481 0.02323758 0.02586049 0.02547062 0.05857036
 0.05399758 0.02322124]"
