,dates,weights
0,2020-09-14,"[0.10720763 0.12408546 0.14905483 0.15462214 0.11043598 0.10605962
 0.24853425]"
1,2020-09-15,"[0.10865278 0.12208587 0.14908548 0.15174134 0.11085089 0.10678639
 0.25079724]"
2,2020-09-16,"[0.10898534 0.12680803 0.14860187 0.1514031  0.11263502 0.10605181
 0.24551485]"
3,2020-09-17,"[0.10979526 0.12422163 0.14918032 0.15010026 0.11154844 0.10690641
 0.24824761]"
4,2020-09-18,"[0.11004417 0.12341468 0.1486588  0.1520856  0.11068471 0.10655507
 0.24855696]"
5,2020-09-21,"[0.11098192 0.1186224  0.14882131 0.15064155 0.10976028 0.10760306
 0.25356945]"
6,2020-09-22,"[0.10821054 0.12341372 0.14913952 0.15114449 0.110893   0.106938
 0.2502607 ]"
7,2020-09-23,"[0.11153737 0.12297256 0.14944433 0.14821972 0.11136854 0.10750219
 0.2489553 ]"
8,2020-09-24,"[0.10860044 0.12227258 0.14862615 0.1537767  0.11046432 0.1068821
 0.24937768]"
9,2020-09-25,"[0.10775107 0.12321797 0.1488387  0.15215899 0.11134031 0.10663649
 0.25005645]"
10,2020-09-28,"[0.10749461 0.12410522 0.1497396  0.15072899 0.11201207 0.1067325
 0.24918704]"
11,2020-09-29,"[0.10948104 0.12138211 0.14831169 0.15363264 0.11078743 0.10639114
 0.250014  ]"
12,2020-09-30,"[0.10880772 0.12272024 0.14957279 0.15051101 0.11064154 0.10697191
 0.25077483]"
13,2020-10-01,"[0.10819149 0.12281631 0.14884552 0.15334612 0.1103325  0.1065643
 0.24990374]"
14,2020-10-02,"[0.1100403  0.12582259 0.14868584 0.15107676 0.11177087 0.10636707
 0.24623659]"
15,2020-10-05,"[0.10728014 0.1243692  0.15019818 0.15177047 0.11060939 0.1064596
 0.24931304]"
16,2020-10-06,"[0.11000887 0.12551866 0.14868192 0.15025567 0.11104386 0.10657732
 0.24791378]"
17,2020-10-07,"[0.10741172 0.12492547 0.14968154 0.1511958  0.1111441  0.10662067
 0.24902073]"
18,2020-10-08,"[0.1073264  0.12829113 0.14825383 0.15334599 0.11117114 0.10590513
 0.24570638]"
19,2020-10-09,"[0.10809814 0.12280224 0.14839676 0.15367976 0.11030593 0.10686495
 0.24985214]"
20,2020-10-12,"[0.10808293 0.12205043 0.14924772 0.15097772 0.11085846 0.10703986
 0.2517428 ]"
21,2020-10-13,"[0.10965847 0.12019463 0.14910832 0.15218844 0.11030547 0.10746791
 0.2510768 ]"
22,2020-10-14,"[0.10940873 0.12433335 0.14895642 0.15268864 0.11093976 0.10621174
 0.24746138]"
23,2020-10-15,"[0.10925437 0.12623331 0.14817894 0.15063576 0.11108473 0.10661903
 0.2479939 ]"
24,2020-10-16,"[0.10898892 0.12406759 0.14985682 0.1512284  0.11091062 0.10607602
 0.24887168]"
25,2020-10-19,"[0.10992793 0.12457252 0.14848503 0.15300624 0.11098186 0.10602816
 0.2469983 ]"
26,2020-10-20,"[0.1086741  0.12450154 0.14874566 0.1518139  0.11087791 0.10640302
 0.24898387]"
27,2020-10-21,"[0.10942485 0.12401202 0.14921194 0.15073536 0.11046288 0.10688425
 0.24926873]"
28,2020-10-22,"[0.10819825 0.12598495 0.15127455 0.15056619 0.11171491 0.10625337
 0.24600786]"
29,2020-10-23,"[0.10879845 0.12382705 0.14885393 0.15106294 0.11116681 0.1063968
 0.24989401]"
30,2020-10-26,"[0.1111445  0.1215759  0.14894606 0.1527201  0.10999768 0.10620882
 0.24940696]"
31,2020-10-27,"[0.10904752 0.119785   0.14794178 0.1569977  0.10938278 0.10620496
 0.2506402 ]"
32,2020-10-28,"[0.11240326 0.12207475 0.15010089 0.14971511 0.11052593 0.10701568
 0.2481644 ]"
33,2020-10-29,"[0.10802964 0.12383937 0.14890914 0.151926   0.11135574 0.10644998
 0.24949008]"
34,2020-10-30,"[0.10999832 0.12377261 0.14910422 0.15166304 0.11170879 0.1062507
 0.24750231]"
35,2020-11-02,"[0.1077372  0.12478704 0.1483075  0.15357602 0.11130644 0.10657287
 0.24771297]"
36,2020-11-03,"[0.10700553 0.12477532 0.14840797 0.15236211 0.1115312  0.10720053
 0.2487174 ]"
37,2020-11-04,"[0.10770437 0.12020592 0.14997944 0.15082175 0.10890587 0.10758173
 0.2548009 ]"
38,2020-11-05,"[0.10685118 0.12357352 0.14864919 0.15505607 0.11135474 0.1061412
 0.24837406]"
39,2020-11-06,"[0.10895881 0.12300355 0.14936791 0.15109769 0.11085281 0.10698452
 0.24973473]"
40,2020-11-09,"[0.10720252 0.13117525 0.14923958 0.14919026 0.11545996 0.1062967
 0.24143569]"
41,2020-11-10,"[0.10914887 0.12599662 0.14969774 0.15109456 0.11205063 0.10632033
 0.24569125]"
42,2020-11-11,"[0.10854127 0.12221859 0.14856505 0.15033033 0.11035898 0.10718071
 0.25280502]"
43,2020-11-12,"[0.11001649 0.12116641 0.14874722 0.15427378 0.11020187 0.10649061
 0.24910367]"
44,2020-11-13,"[0.10726598 0.12582375 0.14961088 0.15172637 0.1123896  0.10655151
 0.2466319 ]"
45,2020-11-16,"[0.10780435 0.1265418  0.14919272 0.15013131 0.11291745 0.10669333
 0.24671903]"
46,2020-11-17,"[0.10924056 0.12446516 0.14860706 0.15211484 0.11122461 0.10612012
 0.24822766]"
47,2020-11-18,"[0.10995624 0.12329867 0.1478817  0.15293756 0.11076711 0.10647242
 0.24868637]"
48,2020-11-19,"[0.10821825 0.12323606 0.1487391  0.15397687 0.11070608 0.10645501
 0.24866854]"
49,2020-11-20,"[0.1091356  0.12282781 0.14936821 0.15427062 0.11063214 0.10646658
 0.247299  ]"
50,2020-11-23,"[0.10836028 0.12695551 0.14952248 0.14929456 0.11214724 0.106933
 0.246787  ]"
51,2020-11-24,"[0.10772903 0.12778549 0.14924952 0.14919999 0.11237997 0.10685159
 0.24680442]"
52,2020-11-25,"[0.10891824 0.12289    0.14839418 0.15405715 0.11044821 0.10619467
 0.24909753]"
53,2020-11-27,"[0.10834117 0.12290561 0.14880076 0.15330455 0.11070628 0.10618049
 0.24976112]"
54,2020-11-30,"[0.10955197 0.12005272 0.14947595 0.15282302 0.11086573 0.10693084
 0.2502997 ]"
55,2020-12-01,"[0.10779091 0.12396665 0.14890857 0.15328133 0.11115376 0.10640549
 0.24849325]"
56,2020-12-02,"[0.1091227  0.12276868 0.14953873 0.15180998 0.1124248  0.10671789
 0.2476172 ]"
57,2020-12-03,"[0.10866425 0.12549622 0.14861476 0.15059954 0.11170345 0.10660183
 0.24831995]"
58,2020-12-04,"[0.10777704 0.12552992 0.14953326 0.15152954 0.11146411 0.10656171
 0.24760441]"
59,2020-12-07,"[0.10894813 0.12239757 0.1485725  0.15411657 0.11039311 0.10627612
 0.24929602]"
60,2020-12-08,"[0.10886785 0.12371729 0.14977078 0.15134053 0.11074736 0.10694166
 0.24861456]"
61,2020-12-09,"[0.11002393 0.12299951 0.14927626 0.15165135 0.1114734  0.10665915
 0.24791634]"
62,2020-12-10,"[0.10868131 0.12383607 0.14832704 0.15363632 0.11124648 0.10569094
 0.24858184]"
63,2020-12-11,"[0.10955259 0.12092759 0.1488582  0.15231909 0.11066898 0.10763055
 0.25004295]"
64,2020-12-14,"[0.10885496 0.12400363 0.14924121 0.1510615  0.1109352  0.10640665
 0.24949683]"
65,2020-12-15,"[0.10784587 0.12534311 0.14924584 0.1513534  0.11167103 0.10644635
 0.24809442]"
66,2020-12-16,"[0.10900354 0.12213229 0.1489039  0.15219061 0.11070599 0.10674532
 0.25031835]"
67,2020-12-17,"[0.10793562 0.12389704 0.14871977 0.15426135 0.11008814 0.10607352
 0.24902454]"
68,2020-12-18,"[0.10909858 0.12268721 0.14907418 0.15230963 0.11073676 0.10684516
 0.24924845]"
69,2020-12-21,"[0.10962301 0.12217828 0.14853302 0.15267114 0.11097336 0.10648259
 0.24953854]"
70,2020-12-22,"[0.1092084  0.12495904 0.14906311 0.15010045 0.11039126 0.10650585
 0.24977186]"
71,2020-12-23,"[0.10841636 0.12629147 0.14900398 0.15274681 0.11166243 0.10577595
 0.24610303]"
72,2020-12-24,"[0.10891344 0.12324    0.14927267 0.15106346 0.11079019 0.10692479
 0.24979542]"
73,2020-12-28,"[0.10879396 0.12403266 0.14846776 0.15084618 0.11127173 0.10700111
 0.24958658]"
74,2020-12-29,"[0.10886647 0.12076481 0.14787832 0.15725018 0.11030222 0.1064973
 0.24844073]"
75,2020-12-30,"[0.10859498 0.12441596 0.14903854 0.15152322 0.11168386 0.10649107
 0.24825239]"
76,2020-12-31,"[0.10892813 0.12328081 0.15000114 0.14943308 0.11149332 0.10703662
 0.24982683]"
77,2021-01-04,"[0.10969862 0.12105146 0.14788    0.15641999 0.11053871 0.1061004
 0.24831077]"
78,2021-01-05,"[0.10827764 0.12517041 0.14954022 0.15027016 0.11217804 0.10672034
 0.24784322]"
79,2021-01-06,"[0.10788629 0.12710857 0.149519   0.15396784 0.11204113 0.10634345
 0.24313372]"
80,2021-01-07,"[0.1085602  0.12379824 0.15052837 0.14660867 0.11168011 0.10745999
 0.2513644 ]"
81,2021-01-08,"[0.10912732 0.12262546 0.14937127 0.1482102  0.11126471 0.10763681
 0.2517642 ]"
82,2021-01-11,"[0.10957997 0.1242367  0.14880194 0.1511811  0.11106136 0.10682889
 0.24831001]"
83,2021-01-12,"[0.10770841 0.12581271 0.14810812 0.15719135 0.11079893 0.10545786
 0.2449226 ]"
84,2021-01-13,"[0.10913276 0.12699673 0.14917009 0.14771755 0.11095906 0.10632231
 0.2497015 ]"
85,2021-01-14,"[0.10807495 0.12816069 0.14893152 0.15235786 0.11180773 0.10564128
 0.245026  ]"
86,2021-01-15,"[0.10965136 0.12099185 0.14879294 0.15391172 0.11030447 0.10651956
 0.24982807]"
87,2021-01-19,"[0.10836056 0.12328747 0.15018283 0.15038298 0.1115155  0.10651593
 0.24975471]"
88,2021-01-20,"[0.10791494 0.12158551 0.14877994 0.15495546 0.10995666 0.10600553
 0.250802  ]"
89,2021-01-21,"[0.10948337 0.12366144 0.1488168  0.14973494 0.11056474 0.10674866
 0.25099003]"
90,2021-01-22,"[0.10828167 0.12609719 0.1483071  0.15583466 0.11001468 0.10488074
 0.24658398]"
91,2021-01-25,"[0.10857489 0.12288284 0.14878525 0.15549415 0.1093554  0.1065694
 0.248338  ]"
92,2021-01-26,"[0.10806827 0.12988365 0.14721937 0.15316641 0.10981444 0.10540931
 0.2464385 ]"
93,2021-01-27,"[0.11034915 0.13184212 0.14736134 0.15035602 0.11053736 0.10465417
 0.24489982]"
94,2021-01-28,"[0.10841106 0.12068234 0.14927235 0.15196201 0.11144481 0.10761729
 0.25061014]"
95,2021-01-29,"[0.11002015 0.12577532 0.14900437 0.15192468 0.110425   0.10543043
 0.24742009]"
96,2021-02-01,"[0.10759357 0.12166719 0.1493958  0.15387571 0.11072089 0.10660605
 0.25014085]"
97,2021-02-02,"[0.10843991 0.12065457 0.1491637  0.15074584 0.11222333 0.10772994
 0.25104272]"
98,2021-02-03,"[0.10903248 0.12536053 0.14784168 0.15310504 0.11126792 0.10563197
 0.24776036]"
99,2021-02-04,"[0.10814576 0.12143774 0.15042436 0.15133387 0.11145122 0.10715375
 0.2500532 ]"
100,2021-02-05,"[0.10805919 0.12484171 0.1485966  0.15518156 0.11029664 0.10583683
 0.24718745]"
101,2021-02-08,"[0.10756654 0.12380841 0.14937143 0.1545412  0.11155822 0.10609461
 0.24705958]"
