,dates,weights
0,2020-09-14,"[0.03703435 0.03872156 0.01547925 0.03846775 0.03954098 0.01580617
 0.01561971 0.01654656 0.03979957 0.02183175 0.04007151 0.01498415
 0.03970443 0.03569954 0.02663502 0.02038491 0.01857189 0.04076752
 0.03347905 0.01570873 0.03781503 0.01535492 0.01660537 0.04012859
 0.03975758 0.03767211 0.01567017 0.01518811 0.02003667 0.01810084
 0.04009273 0.01494598 0.0392999  0.04013101 0.0284368  0.01590978]"
1,2020-09-15,"[0.03725704 0.03916161 0.01525999 0.03873287 0.03945323 0.01610291
 0.0156122  0.01631561 0.04018836 0.0221746  0.04027034 0.01509045
 0.04028754 0.03544779 0.0270438  0.0200908  0.01926132 0.04019452
 0.03386607 0.01538659 0.03790945 0.01534589 0.01653531 0.03973448
 0.03988253 0.0374888  0.01583343 0.01522543 0.02000384 0.01754832
 0.04004274 0.01495335 0.03788021 0.04065163 0.02782909 0.01593782]"
2,2020-09-16,"[0.03760343 0.03886713 0.01543987 0.03946976 0.03861949 0.01595565
 0.01532254 0.01635099 0.04082781 0.0226034  0.03997466 0.01496938
 0.03922063 0.03617522 0.02717274 0.01961347 0.01908961 0.0399778
 0.03378035 0.0152374  0.03836687 0.01543528 0.0163587  0.03937254
 0.04087912 0.03762478 0.01547393 0.0152639  0.01927906 0.01807856
 0.03999486 0.01516497 0.03923529 0.03910317 0.02814514 0.01595253]"
3,2020-09-17,"[0.03759792 0.03900592 0.01537248 0.0386143  0.03896097 0.01541796
 0.01552722 0.01638632 0.03998495 0.02226458 0.03959779 0.01510923
 0.04072479 0.03587984 0.02694242 0.01998761 0.01972417 0.03989016
 0.03378789 0.0153154  0.03756851 0.01526222 0.01641379 0.03941101
 0.04025643 0.03712351 0.01543517 0.01534465 0.01949712 0.01728655
 0.04078783 0.01501273 0.03973509 0.04057933 0.02806449 0.0161297 ]"
4,2020-09-18,"[0.03776763 0.03900886 0.01511294 0.03800559 0.03876366 0.01579382
 0.0156325  0.01617845 0.04024475 0.02241453 0.04120675 0.01510199
 0.03923902 0.03562356 0.02685942 0.01963046 0.01897773 0.03980099
 0.03403407 0.01548678 0.03772059 0.01534741 0.01718056 0.0393021
 0.04048529 0.0374505  0.01551487 0.01541726 0.01938818 0.01745581
 0.04052821 0.01509563 0.03971572 0.03991232 0.02861594 0.01598611]"
5,2020-09-21,"[0.03781625 0.03892143 0.01497966 0.03745055 0.03909027 0.01572188
 0.01514858 0.01645501 0.03977346 0.02205019 0.04258471 0.01508655
 0.03868693 0.03445129 0.02703338 0.01999018 0.01935031 0.04067357
 0.03322498 0.0158296  0.03749644 0.01537039 0.01712977 0.03989908
 0.03919357 0.03762655 0.01613071 0.01537971 0.01977075 0.01742671
 0.03956747 0.01503071 0.04002777 0.0416898  0.02755672 0.01638511]"
6,2020-09-22,"[0.03703232 0.03870226 0.01534065 0.03895015 0.03969492 0.0161229
 0.01533365 0.01657908 0.04052239 0.02232142 0.04105835 0.01524615
 0.03940156 0.03555588 0.02668636 0.02074068 0.01868102 0.03983789
 0.03382586 0.01529908 0.03737408 0.01522142 0.01734448 0.03980308
 0.03952789 0.0384163  0.01548176 0.01527197 0.01989524 0.01745314
 0.0401534  0.01481103 0.03918649 0.03982271 0.0273241  0.01598035]"
7,2020-09-23,"[0.03797285 0.03866272 0.01501888 0.03858704 0.03913313 0.01570456
 0.01536525 0.01623659 0.03969809 0.02264857 0.04126083 0.01505548
 0.03899721 0.03530053 0.02662194 0.02023383 0.01958941 0.03980673
 0.03328571 0.01542279 0.03806828 0.01534212 0.01632421 0.03964228
 0.0404728  0.04156039 0.01529902 0.01533236 0.01961683 0.01728939
 0.03949044 0.01490875 0.03837924 0.03942258 0.02828224 0.01596691]"
8,2020-09-24,"[0.03724146 0.03872139 0.01545484 0.03895    0.0387437  0.01580146
 0.01536704 0.01639017 0.03991717 0.02267124 0.04154021 0.01499646
 0.03854809 0.03546204 0.02689955 0.02010768 0.01929564 0.04040304
 0.03396823 0.01569224 0.03778622 0.0155391  0.01685996 0.03970533
 0.04009292 0.03678046 0.01540283 0.01528718 0.01918805 0.0173014
 0.04035718 0.01504859 0.04064725 0.03983372 0.02798852 0.01600967]"
9,2020-09-25,"[0.03706453 0.03874906 0.01556962 0.03864863 0.03933823 0.01576309
 0.01557731 0.01664753 0.04047665 0.02237493 0.04101161 0.01509671
 0.04003099 0.03590724 0.02700842 0.02050146 0.01880105 0.04011339
 0.03348043 0.01527656 0.03776313 0.01539636 0.01699618 0.03980946
 0.03954798 0.03714275 0.01541778 0.0152242  0.01993825 0.01768112
 0.03951067 0.0148863  0.03858306 0.04000746 0.02874096 0.01591695]"
10,2020-09-28,"[0.03682376 0.03943186 0.01534811 0.03921391 0.03887992 0.01571298
 0.01542181 0.01654292 0.04036152 0.02235716 0.04139674 0.01509158
 0.03948154 0.03575502 0.02720197 0.02045181 0.01907817 0.04025029
 0.03363148 0.01532348 0.03751789 0.01537579 0.01693745 0.04000904
 0.03931454 0.03708279 0.01499007 0.01509102 0.01916422 0.01816928
 0.04089125 0.01496893 0.03974671 0.03954731 0.02769209 0.01574559]"
11,2020-09-29,"[0.03770205 0.0390006  0.01542297 0.03851146 0.03906417 0.01568772
 0.01520194 0.01621162 0.04048102 0.02224298 0.04010187 0.01500542
 0.0397023  0.03587906 0.0269177  0.0203459  0.01906609 0.04008815
 0.03379364 0.01544378 0.03777706 0.01544899 0.0166803  0.03972967
 0.03991579 0.03855928 0.01517515 0.01532357 0.01975293 0.0174932
 0.040397   0.01509967 0.03895874 0.03933753 0.02837014 0.01611057]"
12,2020-09-30,"[0.03731011 0.03876069 0.01545313 0.03960863 0.03881086 0.01573322
 0.01539316 0.01644693 0.039825   0.02263815 0.04030718 0.01491419
 0.03914965 0.03555572 0.02707121 0.02062386 0.01881455 0.03973908
 0.03399832 0.0149646  0.0377939  0.01561015 0.01666186 0.03987527
 0.04042736 0.03730467 0.01559057 0.01543929 0.01902007 0.01798662
 0.03991257 0.01509613 0.03931359 0.03988005 0.02869154 0.01627816]"
13,2020-10-01,"[0.03720659 0.03936777 0.01499985 0.03935761 0.03834785 0.01573018
 0.01517668 0.01672064 0.03988791 0.0223409  0.04083797 0.01484254
 0.04027911 0.03523534 0.02692558 0.02011292 0.01891959 0.04061452
 0.03346567 0.01552911 0.03756707 0.01542654 0.01712619 0.04019276
 0.03917626 0.03776924 0.015716   0.01523216 0.01972617 0.01777968
 0.04025524 0.01493287 0.0391297  0.03977066 0.02802902 0.01627212]"
14,2020-10-02,"[0.03786356 0.03766033 0.01557205 0.03858253 0.03933469 0.01550296
 0.01566631 0.01622976 0.04059397 0.02233111 0.04078449 0.01514119
 0.03960272 0.03648643 0.02652026 0.02003019 0.01978744 0.03882344
 0.03431329 0.01498441 0.03874897 0.01529185 0.01636899 0.03930628
 0.04009093 0.0381023  0.01507369 0.01534883 0.01966281 0.0180665
 0.04004554 0.01530863 0.03975462 0.03881168 0.02830659 0.01590058]"
15,2020-10-05,"[0.03693671 0.03921424 0.01533372 0.03826019 0.03950812 0.01578295
 0.0153418  0.01622269 0.04011248 0.02186139 0.04039526 0.01527342
 0.03925034 0.03583913 0.0268481  0.02026653 0.01941288 0.04089218
 0.03336479 0.01570127 0.03784679 0.01525178 0.01667305 0.03883993
 0.03973134 0.03754235 0.01556285 0.01523332 0.02067099 0.0175249
 0.04030033 0.01482979 0.03957278 0.04040107 0.02825818 0.01594235]"
16,2020-10-06,"[0.03781328 0.03889629 0.01558502 0.0393253  0.03939016 0.01555088
 0.01538219 0.01626175 0.0399847  0.02224807 0.03959947 0.01496368
 0.03970983 0.03562273 0.02695576 0.02016233 0.01940777 0.04016567
 0.03383854 0.01538249 0.03782801 0.01528379 0.0169052  0.03967492
 0.03965221 0.03797436 0.01545232 0.01547714 0.01898763 0.01733495
 0.03998625 0.01520821 0.04033574 0.03957795 0.02803786 0.01603763]"
17,2020-10-07,"[0.03684605 0.03928525 0.01520307 0.03935342 0.03895429 0.01567426
 0.01557799 0.01636063 0.04039886 0.02246062 0.04126289 0.01516142
 0.03977429 0.03607202 0.02709872 0.0204955  0.01920395 0.03976341
 0.03369089 0.0152553  0.03758269 0.01518273 0.0172691  0.03974828
 0.03962212 0.03777838 0.01484589 0.01517504 0.01958014 0.01778473
 0.03967782 0.01484494 0.03994524 0.03887478 0.0284087  0.01578655]"
18,2020-10-08,"[0.03712681 0.03908289 0.01550827 0.03920201 0.0389697  0.01575386
 0.01511314 0.01635104 0.04010958 0.02240427 0.04143966 0.0148521
 0.03848952 0.0358192  0.0269852  0.02011836 0.01944783 0.04019725
 0.03413169 0.0155821  0.03735694 0.01535544 0.01680862 0.03968202
 0.03993786 0.03726036 0.01564238 0.01527465 0.01966268 0.01758846
 0.04037571 0.01517572 0.04013668 0.03934033 0.02778726 0.01593046]"
19,2020-10-09,"[0.03704302 0.03940899 0.01542027 0.03908364 0.03923779 0.01544536
 0.01542049 0.0162784  0.04057412 0.02262416 0.04305796 0.01509011
 0.03931302 0.03540155 0.02629733 0.02041644 0.01900118 0.04019972
 0.03367927 0.01543417 0.03722428 0.01545246 0.01711144 0.04027298
 0.03957079 0.03764155 0.0157242  0.0152737  0.0194211  0.01751755
 0.0400803  0.01472686 0.03761386 0.03968319 0.02825794 0.01600079]"
20,2020-10-12,"[0.03703197 0.03930859 0.01519719 0.03902032 0.03914034 0.01599209
 0.0154747  0.01665108 0.03994542 0.02256107 0.040378   0.01520413
 0.03922083 0.03546744 0.02709631 0.02046429 0.01936519 0.040014
 0.03362155 0.01542835 0.0375865  0.01559106 0.01676298 0.04026583
 0.03961806 0.03683301 0.01549367 0.0152997  0.01932798 0.01745516
 0.04022118 0.01477343 0.03951496 0.0407116  0.02796213 0.01599998]"
21,2020-10-13,"[0.03742304 0.03807176 0.0151929  0.0375046  0.03916231 0.01572611
 0.0153541  0.01654294 0.04165943 0.0225914  0.04248638 0.01431605
 0.03905115 0.03486731 0.02681884 0.02019348 0.01930785 0.04077426
 0.033215   0.01544799 0.03797553 0.01545865 0.01745292 0.04013279
 0.0402108  0.03758335 0.01539654 0.01526364 0.01975793 0.01741995
 0.03967883 0.01482725 0.03844415 0.04026857 0.02819838 0.01622385]"
22,2020-10-14,"[0.03767353 0.03893404 0.01526424 0.03805076 0.03959423 0.01565496
 0.0157801  0.01641028 0.03989382 0.02214863 0.04032242 0.01500608
 0.03948097 0.03628182 0.02688287 0.02022228 0.01954826 0.03932394
 0.03394884 0.01538387 0.03806636 0.01541451 0.01642616 0.03972679
 0.04020455 0.03745919 0.01538377 0.01537748 0.01944806 0.0174712
 0.04071515 0.01498913 0.04020388 0.04000193 0.02744681 0.01585899]"
23,2020-10-15,"[0.03752365 0.03925006 0.01520874 0.03827186 0.03904937 0.01574341
 0.01557494 0.016283   0.04072524 0.02272616 0.04019671 0.01496868
 0.03947804 0.03556033 0.02706671 0.01998449 0.01951083 0.03934465
 0.03379336 0.0153718  0.03820601 0.01536856 0.01702296 0.03921904
 0.03942106 0.03815658 0.01532976 0.01531202 0.01909128 0.01762734
 0.03940421 0.01504876 0.04097921 0.03967977 0.02838838 0.01611297]"
