,dates,weights
0,2020-09-14,"[0.10730392 0.12329854 0.14918874 0.1547612  0.11053518 0.10615489
 0.2487575 ]"
1,2020-09-15,"[0.10864779 0.12212608 0.14907865 0.15173428 0.11084581 0.1067815
 0.25078583]"
2,2020-09-16,"[0.10913887 0.12557791 0.14881122 0.15161638 0.1127937  0.10620122
 0.24586068]"
3,2020-09-17,"[0.10978567 0.12429828 0.14916727 0.15008715 0.1115387  0.10689708
 0.24822591]"
4,2020-09-18,"[0.11004549 0.12340448 0.14866062 0.15208709 0.11068603 0.10655635
 0.24855994]"
5,2020-09-21,"[0.11095841 0.11880863 0.1487898  0.15061006 0.10973703 0.10758028
 0.25351575]"
6,2020-09-22,"[0.10829008 0.12276956 0.14924917 0.15125549 0.11097451 0.10701656
 0.25044465]"
7,2020-09-23,"[0.11155564 0.12282886 0.14946881 0.14824401 0.11138678 0.10751978
 0.24899608]"
8,2020-09-24,"[0.10857522 0.12247624 0.14859164 0.1537412  0.11043867 0.10685728
 0.24931978]"
9,2020-09-25,"[0.10773835 0.1233217  0.14882109 0.1521409  0.11132715 0.1066239
 0.25002694]"
10,2020-09-28,"[0.10754073 0.12372925 0.14980385 0.15079375 0.11206014 0.10677831
 0.24929398]"
11,2020-09-29,"[0.10947363 0.12145556 0.14830166 0.15362209 0.11077993 0.10637006
 0.24999708]"
12,2020-09-30,"[0.10879727 0.1228045  0.14955842 0.15049659 0.11063091 0.10696165
 0.25075072]"
13,2020-10-01,"[0.10815553 0.12310787 0.14879607 0.15329517 0.11029584 0.10652886
 0.24982071]"
14,2020-10-02,"[0.11006092 0.12565808 0.14871372 0.15110569 0.11179182 0.10638701
 0.24628274]"
15,2020-10-05,"[0.10731617 0.12407601 0.15024859 0.15182061 0.11064654 0.10649533
 0.24939676]"
16,2020-10-06,"[0.11001112 0.12550028 0.14868498 0.15025906 0.11104614 0.10657954
 0.24791887]"
17,2020-10-07,"[0.10747147 0.12443826 0.14976484 0.15128025 0.11120592 0.10667996
 0.24915926]"
18,2020-10-08,"[0.1074663  0.12715569 0.1484471  0.15354502 0.11131606 0.10604317
 0.24602666]"
19,2020-10-09,"[0.10808528 0.12290634 0.14837906 0.15366186 0.1102928  0.10685223
 0.24982241]"
20,2020-10-12,"[0.10808101 0.12206611 0.14924511 0.15097503 0.11085647 0.10703795
 0.25173834]"
21,2020-10-13,"[0.10969833 0.11987429 0.14916258 0.15224417 0.11034557 0.10750698
 0.25116807]"
22,2020-10-14,"[0.1094191  0.12425065 0.14897056 0.15270273 0.1109503  0.1062218
 0.24748483]"
23,2020-10-15,"[0.10929363 0.12591915 0.14823219 0.1506899  0.11112467 0.10665737
 0.24808307]"
24,2020-10-16,"[0.10898767 0.12407731 0.14985509 0.15122692 0.11090937 0.10607481
 0.24886884]"
25,2020-10-19,"[0.10996183 0.1243028  0.14853083 0.15305313 0.11101608 0.10606088
 0.24707444]"
26,2020-10-20,"[0.1086613  0.12460474 0.14872813 0.15179603 0.11086483 0.10639048
 0.24895453]"
27,2020-10-21,"[0.10947949 0.12357433 0.14928645 0.15081082 0.11051805 0.10693761
 0.24939324]"
28,2020-10-22,"[0.10822888 0.12573753 0.15131737 0.1506087  0.11174653 0.10628345
 0.24607752]"
29,2020-10-23,"[0.10878108 0.12396696 0.14883018 0.15103883 0.11114906 0.10637981
 0.2498541 ]"
30,2020-10-26,"[0.11113674 0.12164722 0.14893566 0.15270942 0.10999    0.10619149
 0.24938951]"
31,2020-10-27,"[0.10901723 0.12002957 0.14790067 0.15695405 0.10935239 0.10617549
 0.2505706 ]"
32,2020-10-28,"[0.11244456 0.12175206 0.15015605 0.14977017 0.11056653 0.10705499
 0.24825558]"
33,2020-10-29,"[0.10802577 0.12387081 0.14890382 0.15192054 0.11135177 0.10644616
 0.24948116]"
34,2020-10-30,"[0.10996001 0.12407751 0.14905229 0.15161046 0.11166988 0.1062137
 0.24741614]"
35,2020-11-02,"[0.10770018 0.12508786 0.14825657 0.15352303 0.11126819 0.10653624
 0.24762785]"
36,2020-11-03,"[0.10705435 0.12437599 0.14847568 0.1524316  0.11158207 0.10724945
 0.24883084]"
37,2020-11-04,"[0.10765247 0.12063036 0.14990716 0.15074871 0.1088534  0.10752989
 0.2546781 ]"
38,2020-11-05,"[0.10678972 0.12407077 0.14857036 0.15496723 0.11129069 0.10608014
 0.24823117]"
39,2020-11-06,"[0.10897888 0.12284204 0.14939538 0.15112552 0.11087322 0.10700423
 0.24978073]"
40,2020-11-09,"[0.10700812 0.13275087 0.14896894 0.1489197  0.11525058 0.10610396
 0.24099785]"
41,2020-11-10,"[0.10920069 0.12558167 0.14976883 0.15116626 0.11210383 0.10637081
 0.2458079 ]"
42,2020-11-11,"[0.1086167  0.12160899 0.14866833 0.15043436 0.11043567 0.10725517
 0.25298074]"
43,2020-11-12,"[0.11004467 0.12094084 0.14878531 0.1543137  0.11023008 0.10651788
 0.24916746]"
44,2020-11-13,"[0.10725563 0.12590808 0.14959651 0.1517117  0.11237876 0.10654122
 0.24660812]"
45,2020-11-16,"[0.10777498 0.12677963 0.14915209 0.15009043 0.11288669 0.10666426
 0.24665184]"
46,2020-11-17,"[0.10925835 0.12432256 0.14863126 0.15213962 0.11124273 0.10613742
 0.2482681 ]"
47,2020-11-18,"[0.10995934 0.12327391 0.14788587 0.15294185 0.11077023 0.1064754
 0.24869336]"
48,2020-11-19,"[0.10823432 0.123106   0.14876117 0.15399967 0.11072252 0.10647081
 0.24870546]"
49,2020-11-20,"[0.10916705 0.12257507 0.14941128 0.15431514 0.11066402 0.10649725
 0.24737023]"
50,2020-11-23,"[0.10841059 0.12655021 0.1495919  0.14936389 0.11219931 0.10698263
 0.24690159]"
51,2020-11-24,"[0.1077299  0.1277785  0.14925072 0.1492012  0.11238088 0.10685245
 0.24680641]"
52,2020-11-25,"[0.10894295 0.12269098 0.14842784 0.1540922  0.11047327 0.10621878
 0.24915402]"
53,2020-11-27,"[0.10832833 0.12300974 0.14878312 0.15328628 0.11069316 0.10616788
 0.24973153]"
54,2020-11-30,"[0.10956853 0.11991984 0.14949855 0.15284608 0.11088249 0.106947
 0.25033757]"
55,2020-12-01,"[0.10779115 0.12396502 0.1489089  0.15328138 0.111154   0.10640571
 0.24849384]"
56,2020-12-02,"[0.10911406 0.12283749 0.14952692 0.15179865 0.11241589 0.10670942
 0.24759756]"
57,2020-12-03,"[0.10862375 0.12582266 0.14855936 0.15054294 0.11166181 0.10656209
 0.24822742]"
58,2020-12-04,"[0.10779178 0.12540993 0.14955372 0.15155065 0.11147936 0.10657629
 0.24763833]"
59,2020-12-07,"[0.10890898 0.12271366 0.14851911 0.15406047 0.11035344 0.10623793
 0.24920644]"
60,2020-12-08,"[0.10889227 0.12352027 0.14980435 0.15137497 0.1107722  0.10696566
 0.24867031]"
61,2020-12-09,"[0.10995737 0.12353019 0.14918596 0.1515595  0.11140595 0.10659462
 0.24776639]"
62,2020-12-10,"[0.10867763 0.12386589 0.14832203 0.15363102 0.11124271 0.10568736
 0.24857338]"
63,2020-12-11,"[0.10949815 0.12136482 0.1487842  0.15224311 0.11061399 0.10757706
 0.2499187 ]"
64,2020-12-14,"[0.1088851  0.12376104 0.14928253 0.15110356 0.11096591 0.1064361
 0.24956585]"
65,2020-12-15,"[0.10785825 0.12524231 0.14926298 0.1513711  0.11168387 0.10645856
 0.24812292]"
66,2020-12-16,"[0.10899747 0.1221815  0.14889559 0.15218176 0.11069984 0.10673939
 0.25030443]"
67,2020-12-17,"[0.10795745 0.12371985 0.14874984 0.15429276 0.11011039 0.10609494
 0.24907485]"
68,2020-12-18,"[0.10908299 0.12281278 0.14905289 0.15228768 0.11072094 0.10682988
 0.24921283]"
69,2020-12-21,"[0.10963278 0.12210007 0.1485463  0.15268475 0.11098325 0.10649212
 0.2495608 ]"
70,2020-12-22,"[0.10929895 0.1242336  0.14918672 0.15022485 0.1104828  0.10659418
 0.24997893]"
71,2020-12-23,"[0.10847494 0.12581916 0.14908451 0.1528294  0.11172277 0.10583312
 0.24623604]"
72,2020-12-24,"[0.10889967 0.12335078 0.14925379 0.15104437 0.11077616 0.10691126
 0.24976383]"
73,2020-12-28,"[0.10878697 0.12408891 0.14845821 0.15083651 0.11126459 0.10699424
 0.24957055]"
74,2020-12-29,"[0.10881259 0.12119996 0.1478051  0.15717247 0.11024761 0.10644458
 0.24831776]"
75,2020-12-30,"[0.10860806 0.12431042 0.14905648 0.15154152 0.11169732 0.1065039
 0.2482823 ]"
76,2020-12-31,"[0.10891359 0.1233978  0.14998113 0.14941329 0.11147843 0.10702235
 0.24979353]"
77,2021-01-04,"[0.10974417 0.12068668 0.14794141 0.15648481 0.11058459 0.10614446
 0.24841383]"
78,2021-01-05,"[0.10828082 0.12514487 0.14954461 0.15027438 0.11218133 0.10672349
 0.2478505 ]"
79,2021-01-06,"[0.10795169 0.12657934 0.14960966 0.15406135 0.11210904 0.10640792
 0.2432811 ]"
80,2021-01-07,"[0.10852574 0.12407625 0.1504806  0.14656216 0.11164466 0.10742586
 0.25128466]"
81,2021-01-08,"[0.10912173 0.12267037 0.1493636  0.14820261 0.11125901 0.1076313
 0.25175133]"
82,2021-01-11,"[0.10967333 0.12349046 0.14892875 0.15131003 0.11115599 0.10691992
 0.24852155]"
83,2021-01-12,"[0.10770205 0.12586442 0.14809938 0.1571819  0.11079238 0.10545164
 0.24490815]"
84,2021-01-13,"[0.10932295 0.1254753  0.14943007 0.14797497 0.11115245 0.10650761
 0.25013664]"
85,2021-01-14,"[0.10813962 0.12763909 0.14902063 0.15244888 0.11187464 0.10570449
 0.24517262]"
86,2021-01-15,"[0.10962762 0.12118226 0.14876075 0.15387835 0.11028059 0.10649651
 0.24977396]"
87,2021-01-19,"[0.10835002 0.12337273 0.1501682  0.1503685  0.11150463 0.10650557
 0.2497304 ]"
88,2021-01-20,"[0.10787804 0.12188572 0.14872907 0.15490249 0.10991907 0.10596929
 0.2507163 ]"
89,2021-01-21,"[0.1095537  0.12309847 0.14891239 0.14983113 0.11063576 0.10681724
 0.25115126]"
90,2021-01-22,"[0.10845076 0.12473248 0.14853868 0.15607806 0.11018649 0.10504451
 0.24696904]"
91,2021-01-25,"[0.10863456 0.12240077 0.14886701 0.15557969 0.10941549 0.10662797
 0.24847452]"
92,2021-01-26,"[0.10848648 0.12651658 0.14778908 0.15375906 0.11023941 0.10581724
 0.24739216]"
93,2021-01-27,"[0.11085853 0.12783472 0.14804155 0.15105002 0.1110476  0.10513726
 0.2460303 ]"
94,2021-01-28,"[0.10821009 0.12231252 0.14899565 0.15168017 0.11123823 0.10741781
 0.25014558]"
95,2021-01-29,"[0.11030397 0.12351971 0.14938878 0.15231693 0.11070985 0.10570239
 0.24805836]"
96,2021-02-01,"[0.1074639  0.12272578 0.14921576 0.15369013 0.11058746 0.1064776
 0.24983935]"
97,2021-02-02,"[0.10819593 0.12263305 0.1488281  0.15040663 0.11197083 0.10748757
 0.2504779 ]"
98,2021-02-03,"[0.10905926 0.1251455  0.14787804 0.15314282 0.11129525 0.10565794
 0.24782127]"
99,2021-02-04,"[0.10802063 0.12245455 0.15025033 0.15115853 0.11132225 0.10702979
 0.24976388]"
100,2021-02-05,"[0.10811537 0.12438668 0.14867388 0.15526226 0.11035397 0.10589185
 0.247316  ]"
101,2021-02-08,"[0.10758219 0.1236809  0.1493932  0.15456371 0.11157444 0.10611006
 0.24709553]"
102,2021-02-09,"[0.10866194 0.12272158 0.14860503 0.15464416 0.11097798 0.10631546
 0.24807385]"
103,2021-02-10,"[0.10880517 0.12401253 0.14833829 0.1520666  0.11085403 0.10654434
 0.24937904]"
104,2021-02-11,"[0.10859557 0.12234582 0.14953585 0.15169834 0.11087918 0.1072391
 0.24970606]"
105,2021-02-12,"[0.10878094 0.12382717 0.14938606 0.15131764 0.11108366 0.10672996
 0.24887456]"
106,2021-02-16,"[0.10887291 0.12706561 0.1476652  0.15026426 0.11103554 0.1062085
 0.24888797]"
107,2021-02-17,"[0.10947424 0.12392313 0.14882801 0.1501451  0.11139501 0.1067678
 0.2494667 ]"
108,2021-02-18,"[0.1099664  0.12173112 0.1488979  0.15029949 0.11056911 0.10738628
 0.2511497 ]"
109,2021-02-19,"[0.10888683 0.12733789 0.14883512 0.14975019 0.11206502 0.1061338
 0.2469911 ]"
110,2021-02-22,"[0.10899891 0.12649097 0.14816041 0.15602148 0.11062042 0.10548656
 0.24422124]"
111,2021-02-23,"[0.10961269 0.12436356 0.14929415 0.1489683  0.11135018 0.10713563
 0.24927549]"
112,2021-02-24,"[0.1070919  0.1284065  0.14771253 0.15259911 0.11163835 0.10548525
 0.24706633]"
113,2021-02-25,"[0.11167443 0.1232767  0.14918077 0.15052758 0.1113041  0.10640818
 0.24762821]"
114,2021-02-26,"[0.10978364 0.1230295  0.14898059 0.14927103 0.11090039 0.10717793
 0.2508569 ]"
115,2021-03-01,"[0.10725052 0.12396624 0.14987022 0.15081733 0.11201762 0.10710203
 0.24897602]"
116,2021-03-02,"[0.10960363 0.12346089 0.14850236 0.15397449 0.11086901 0.10603501
 0.24755462]"
117,2021-03-03,"[0.11027267 0.12585263 0.14866985 0.15131922 0.11172806 0.10644827
 0.2457092 ]"
118,2021-03-04,"[0.11050249 0.12297622 0.14854895 0.15291964 0.1101596  0.10651121
 0.2483819 ]"
119,2021-03-05,"[0.10734592 0.12251884 0.1499355  0.15175939 0.11151214 0.1074542
 0.24947403]"
120,2021-03-08,"[0.10948991 0.12643567 0.14847483 0.1508477  0.11267277 0.10651048
 0.24556854]"
121,2021-03-09,"[0.1070151  0.12259281 0.14887078 0.15413992 0.11027668 0.10669763
 0.25040707]"
122,2021-03-10,"[0.1084409  0.12565115 0.14847267 0.15132977 0.11212195 0.10607807
 0.24790551]"
123,2021-03-11,"[0.10755556 0.12353009 0.14957331 0.15283781 0.11056819 0.10641017
 0.24952488]"
124,2021-03-12,"[0.10873219 0.12502801 0.14833826 0.15250894 0.11205637 0.10657765
 0.24675854]"
125,2021-03-15,"[0.10802555 0.12290785 0.14900452 0.15249148 0.11147343 0.10674388
 0.2493533 ]"
