,dates,weights
0,2020-09-14,"[0.13484035 0.16811696 0.18145263 0.15823314 0.11476886 0.14245108
 0.10013701]"
1,2020-09-15,"[0.13342309 0.16329162 0.17749508 0.1761338  0.11129671 0.13933587
 0.0990238 ]"
2,2020-09-16,"[0.13401215 0.16809137 0.17296937 0.17581224 0.11430006 0.13852493
 0.09628991]"
3,2020-09-17,"[0.1311063  0.16306056 0.17212658 0.1934311  0.10976807 0.1348626
 0.09564479]"
4,2020-09-18,"[0.13894059 0.17050235 0.18034846 0.1519463  0.11512988 0.14225738
 0.10087503]"
5,2020-09-21,"[0.13503388 0.15874425 0.17594834 0.18291438 0.11127075 0.13717651
 0.09891194]"
6,2020-09-22,"[0.13203165 0.16548765 0.17462172 0.17757544 0.11078692 0.14121976
 0.09827684]"
7,2020-09-23,"[0.1356312  0.16324843 0.17468145 0.18069749 0.11157438 0.13706519
 0.09710187]"
8,2020-09-24,"[0.13416393 0.16662858 0.17733212 0.17038289 0.11313964 0.14016849
 0.09818434]"
9,2020-09-25,"[0.13237911 0.16853328 0.17719193 0.17009354 0.11294882 0.14019471
 0.09865855]"
10,2020-09-28,"[0.13235566 0.1654219  0.17607449 0.1734282  0.11367116 0.1398597
 0.09918885]"
11,2020-09-29,"[0.13969888 0.16947664 0.18338399 0.14520793 0.1165765  0.14356415
 0.10209197]"
12,2020-09-30,"[0.12357298 0.1537414  0.16388312 0.23315586 0.10464061 0.12958232
 0.09142373]"
13,2020-10-01,"[0.13407122 0.16752617 0.17656554 0.16840838 0.11205213 0.14166039
 0.09971613]"
14,2020-10-02,"[0.13865636 0.17316476 0.17856602 0.15359633 0.11626152 0.14072123
 0.09903371]"
15,2020-10-05,"[0.13212341 0.16431598 0.17880294 0.1735205  0.11271687 0.13999534
 0.09852491]"
16,2020-10-06,"[0.13335608 0.16706596 0.17255166 0.18364145 0.11007204 0.13754088
 0.09577194]"
17,2020-10-07,"[0.13120715 0.16728443 0.1767324  0.1734143  0.11259349 0.14037149
 0.09839672]"
18,2020-10-08,"[0.13419566 0.1646918  0.17888212 0.16871384 0.11495607 0.13990073
 0.09865987]"
19,2020-10-09,"[0.13212584 0.16984142 0.17451133 0.17497995 0.11078901 0.13950361
 0.09824879]"
20,2020-10-12,"[0.13279288 0.16581279 0.17779851 0.1723137  0.11317801 0.13894662
 0.09915745]"
21,2020-10-13,"[0.13476081 0.15714608 0.17595933 0.18145886 0.1112187  0.13960725
 0.09984902]"
22,2020-10-14,"[0.13532627 0.16983937 0.17702143 0.168804   0.11362466 0.13776284
 0.09762146]"
23,2020-10-15,"[0.13414755 0.16692953 0.17044522 0.17948413 0.11193226 0.13918419
 0.09787715]"
24,2020-10-16,"[0.13419306 0.16483939 0.17998736 0.169356   0.11365001 0.13964109
 0.09833303]"
25,2020-10-19,"[0.13431592 0.16631946 0.17363827 0.17920391 0.1114115  0.1379641
 0.09714678]"
26,2020-10-20,"[0.1333356  0.17042613 0.17579418 0.1707071  0.11210042 0.13986392
 0.09777265]"
27,2020-10-21,"[0.1370474  0.16699506 0.1796512  0.1606994  0.11382943 0.14155442
 0.10022306]"
28,2020-10-22,"[0.13229765 0.17032795 0.19047725 0.15650408 0.11388244 0.1406529
 0.09585779]"
29,2020-10-23,"[0.13084061 0.16155511 0.1672445  0.19721648 0.10934287 0.13680753
 0.09699289]"
30,2020-10-26,"[0.13648926 0.16275054 0.17398378 0.18108809 0.11124051 0.13654324
 0.09790456]"
31,2020-10-27,"[0.13868852 0.17024685 0.18348132 0.14878309 0.11424563 0.142171
 0.10238361]"
32,2020-10-28,"[0.12898791 0.15046208 0.16402072 0.23016514 0.1049423  0.12971017
 0.09171165]"
33,2020-10-29,"[0.13676809 0.17560242 0.18087663 0.14591093 0.11584452 0.14415006
 0.10084738]"
34,2020-10-30,"[0.13333385 0.16621698 0.17285882 0.18544655 0.11153914 0.13483526
 0.09576943]"
35,2020-11-02,"[0.13292396 0.16825858 0.17982692 0.16851234 0.11340378 0.13869222
 0.09838213]"
36,2020-11-03,"[0.13170281 0.16480015 0.17401482 0.1754246  0.11366238 0.14179936
 0.09859589]"
37,2020-11-04,"[0.12977366 0.16404192 0.18274505 0.173989   0.10879692 0.14163156
 0.09902198]"
38,2020-11-05,"[0.13163766 0.1659157  0.17001611 0.18060374 0.1136829  0.14016561
 0.09797831]"
39,2020-11-06,"[0.13729759 0.16767088 0.1805618  0.15652384 0.11485934 0.14216016
 0.10092638]"
40,2020-11-09,"[0.1272455  0.190111   0.16597013 0.16988413 0.11545561 0.14022885
 0.09110475]"
41,2020-11-10,"[0.1382931  0.16008075 0.18106659 0.17244978 0.11520354 0.13251767
 0.10038853]"
42,2020-11-11,"[0.13107613 0.15982763 0.17424469 0.1851874  0.10931179 0.14191556
 0.09843674]"
43,2020-11-12,"[0.13809408 0.16793945 0.18012905 0.15786636 0.1151749  0.14101171
 0.09978444]"
44,2020-11-13,"[0.13072295 0.16851056 0.17510867 0.17654575 0.11249097 0.13964239
 0.09697873]"
45,2020-11-16,"[0.13048697 0.16972184 0.17215155 0.18365744 0.11233384 0.1362523
 0.09539603]"
46,2020-11-17,"[0.13396004 0.16598602 0.1762386  0.17445274 0.11313923 0.13789974
 0.09832364]"
47,2020-11-18,"[0.13887866 0.1723443  0.1797368  0.15101583 0.11483904 0.1424919
 0.10069349]"
48,2020-11-19,"[0.1289012  0.15970023 0.17021102 0.20299192 0.10891058 0.13383551
 0.09544951]"
49,2020-11-20,"[0.13564235 0.16467948 0.17989466 0.16612127 0.1128228  0.14221288
 0.09862662]"
50,2020-11-23,"[0.13223197 0.16847041 0.17782538 0.17198652 0.11416813 0.13875683
 0.09656083]"
51,2020-11-24,"[0.13232699 0.17567419 0.1733294  0.16907577 0.11355773 0.13884068
 0.09719528]"
52,2020-11-25,"[0.13550444 0.16405347 0.17973554 0.16788286 0.11297192 0.14049059
 0.09936115]"
53,2020-11-27,"[0.13275106 0.16691265 0.17627342 0.1747853  0.1118911  0.13860027
 0.0987862 ]"
54,2020-11-30,"[0.13526021 0.16360167 0.1785009  0.17038631 0.11261179 0.14045587
 0.09918316]"
55,2020-12-01,"[0.13015705 0.16113712 0.17355417 0.19314909 0.11052283 0.13498545
 0.09649433]"
56,2020-12-02,"[0.13254733 0.17204921 0.17450938 0.1726267  0.11335205 0.13916938
 0.09574591]"
57,2020-12-03,"[0.13192123 0.16493185 0.17429169 0.18167368 0.1116294  0.13811584
 0.09743627]"
58,2020-12-04,"[0.1350042  0.16841146 0.17922893 0.16246507 0.11453518 0.14076881
 0.09958626]"
59,2020-12-07,"[0.13264914 0.16664837 0.17389545 0.1790627  0.11145672 0.13877252
 0.09751505]"
60,2020-12-08,"[0.13563374 0.17099315 0.17942263 0.1605727  0.11406726 0.13988979
 0.09942076]"
61,2020-12-09,"[0.13239248 0.1643987  0.17228433 0.18863048 0.11075749 0.13605303
 0.09548352]"
62,2020-12-10,"[0.13444586 0.1657901  0.17776246 0.16835296 0.11356171 0.14128193
 0.09880487]"
63,2020-12-11,"[0.13336049 0.16303399 0.17406909 0.18382783 0.11063778 0.13758112
 0.09748964]"
64,2020-12-14,"[0.13478605 0.16389146 0.17895988 0.16961397 0.11257669 0.14066547
 0.09950649]"
65,2020-12-15,"[0.13138369 0.17112598 0.17477846 0.17418754 0.11335351 0.1383392
 0.09683163]"
66,2020-12-16,"[0.13130693 0.16120397 0.17310335 0.1912371  0.10981987 0.13583313
 0.0974956 ]"
67,2020-12-17,"[0.13620637 0.1702447  0.18147774 0.15438908 0.1138332  0.14302218
 0.10082678]"
68,2020-12-18,"[0.13373315 0.16670778 0.1766855  0.17230323 0.11275776 0.13954534
 0.09826721]"
69,2020-12-21,"[0.1326393  0.16268434 0.17295034 0.18733251 0.11201093 0.13567734
 0.09670522]"
70,2020-12-22,"[0.13439097 0.16493699 0.17761342 0.17224513 0.11134177 0.14033999
 0.09913181]"
71,2020-12-23,"[0.13325237 0.16830635 0.17403124 0.17629275 0.1131421  0.13807473
 0.09690042]"
72,2020-12-24,"[0.13240929 0.16445358 0.1751531  0.18191907 0.11090969 0.13739188
 0.09776338]"
73,2020-12-28,"[0.1376737  0.17332865 0.17990892 0.14880511 0.11582998 0.14385496
 0.10059865]"
74,2020-12-29,"[0.13055022 0.15918659 0.17187604 0.19555803 0.10959233 0.13729554
 0.09594115]"
75,2020-12-30,"[0.13225155 0.16497041 0.17476884 0.1802646  0.11270393 0.1381029
 0.09693775]"
76,2020-12-31,"[0.13882606 0.17398044 0.18486744 0.13969688 0.11673996 0.14376713
 0.10212212]"
77,2021-01-04,"[0.12914196 0.15371495 0.16592629 0.21928272 0.10641338 0.13135298
 0.09416776]"
78,2021-01-05,"[0.13617557 0.17417498 0.18316182 0.14633912 0.1170954  0.14322737
 0.09982568]"
79,2021-01-06,"[0.13255513 0.16746418 0.17304926 0.18006338 0.11369348 0.13752607
 0.09564849]"
80,2021-01-07,"[0.12746598 0.1618351  0.17334673 0.20048244 0.10811099 0.13381788
 0.09494082]"
81,2021-01-08,"[0.13939258 0.17121322 0.18536924 0.13089103 0.11854629 0.15066692
 0.10392075]"
82,2021-01-11,"[0.13172558 0.16142543 0.17028183 0.19717978 0.1095298  0.13441479
 0.09544282]"
83,2021-01-12,"[0.13418785 0.17012222 0.17638722 0.16724978 0.11446152 0.13912298
 0.09846842]"
84,2021-01-13,"[0.1297111  0.15862472 0.17176238 0.20290284 0.10833246 0.1343107
 0.09435578]"
85,2021-01-14,"[0.13612917 0.17736065 0.18130456 0.1468689  0.11557097 0.14277723
 0.09998848]"
86,2021-01-15,"[0.1326227  0.16188116 0.17491315 0.18992598 0.10929727 0.13514121
 0.09621845]"
87,2021-01-19,"[0.13542934 0.1703509  0.17873515 0.1548381  0.11554226 0.1447745
 0.10032977]"
88,2021-01-20,"[0.12358373 0.1536687  0.16532472 0.23253849 0.10389264 0.12897937
 0.09201237]"
89,2021-01-21,"[0.14229208 0.1738896  0.18495572 0.13154688 0.11829455 0.14384378
 0.10517731]"
90,2021-01-22,"[0.13150041 0.16451119 0.17230058 0.18945779 0.10957596 0.13696711
 0.09568697]"
91,2021-01-25,"[0.13196364 0.16400199 0.17655255 0.18707898 0.10999705 0.13398837
 0.09641746]"
92,2021-01-26,"[0.13531655 0.16821821 0.17585745 0.16969833 0.11285872 0.13903663
 0.09901416]"
93,2021-01-27,"[0.13381016 0.1826043  0.17087154 0.17710869 0.10739365 0.13314246
 0.09506921]"
94,2021-01-28,"[0.13729851 0.15436397 0.18456842 0.14847349 0.11945252 0.15303141
 0.10281172]"
95,2021-01-29,"[0.13029374 0.16873038 0.16865551 0.20495984 0.10661224 0.12734784
 0.09340037]"
96,2021-02-01,"[0.13419385 0.1565685  0.18071198 0.16754141 0.11466356 0.14534274
 0.10097797]"
97,2021-02-02,"[0.13029213 0.16316277 0.17155187 0.18795878 0.11337608 0.13672976
 0.09692855]"
98,2021-02-03,"[0.14016874 0.17462623 0.18041953 0.14415684 0.11714257 0.14240931
 0.10107677]"
99,2021-02-04,"[0.12617171 0.1591198  0.1756262  0.20259462 0.10761742 0.13429226
 0.09457799]"
100,2021-02-05,"[0.13509747 0.1701208  0.17594233 0.1654311  0.11374709 0.14079721
 0.09886403]"
101,2021-02-08,"[0.1368963  0.17131871 0.18072455 0.15113965 0.11724907 0.14184298
 0.10082877]"
102,2021-02-09,"[0.12684706 0.15668811 0.1694287  0.21471138 0.10758744 0.13128234
 0.09345496]"
103,2021-02-10,"[0.13403687 0.16746353 0.17504737 0.17071612 0.11187887 0.14257687
 0.09828036]"
104,2021-02-11,"[0.13385004 0.1646769  0.17735165 0.17268896 0.1126534  0.13966547
 0.09911366]"
105,2021-02-12,"[0.13584435 0.16957325 0.18229403 0.15691563 0.11444697 0.14055781
 0.10036796]"
106,2021-02-16,"[0.13048884 0.1655415  0.16906899 0.1918564  0.11080809 0.13657726
 0.09565907]"
107,2021-02-17,"[0.13409613 0.16790353 0.17492005 0.17482641 0.1119316  0.1388365
 0.09748574]"
108,2021-02-18,"[0.13877584 0.17135608 0.18047841 0.14674625 0.11599433 0.14459287
 0.10205621]"
109,2021-02-19,"[0.12777217 0.16294289 0.169267   0.20261997 0.11085332 0.13342671
 0.09311793]"
