time/fps,train/reward,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_range,train/value_loss,train/explained_variance,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/loss
207,0.23379166,1,2048,9,,,,,,,,,,,
186,0.76646173,2,4096,21,0.2,13.291456618905068,-0.020923256874084473,1.0033743381500244,0.285205078125,-41.20194115638733,-0.01873515996267088,10,0.021822996,0.00025,7.08848237991333
181,-1.636713,3,6144,33,0.2,74.60417486429215,-0.0023920536041259766,1.0057060718536377,0.190771484375,-41.27672671079635,-0.0207164290259243,20,0.017816596,0.00025,24.601333618164062
180,1.6427275,4,8192,45,0.2,70.7096437394619,-0.011942744255065918,1.010073184967041,0.236181640625,-41.37773907184601,-0.02088274702837225,30,0.022539938,0.00025,22.704978942871094
182,2.6788998,5,10240,56,0.2,16.965205436944963,-0.04552018642425537,1.0150227546691895,0.289208984375,-41.506280064582825,-0.017205198525334708,40,0.026413813,0.00025,7.747663974761963
181,2.0293388,6,12288,67,0.2,56.082242810726164,-0.01021885871887207,1.0164647102355957,0.2798828125,-41.602576076984406,-0.017548524973972236,50,0.029624635,0.00025,42.09463882446289
180,0.42935628,7,14336,79,0.2,65.84292715787888,0.005469620227813721,1.0195194482803345,0.286181640625,-41.65992730855942,-0.012473944886005483,60,0.027015133,0.00025,26.874128341674805
180,0.281226,8,16384,90,0.2,23.449287784099578,-0.04347264766693115,1.0247724056243896,0.285888671875,-41.772666323184964,-0.01287914730492048,70,0.026139833,0.00025,14.771016120910645
179,1.1726283,9,18432,102,0.2,43.57360824942589,-0.011087536811828613,1.0258017778396606,0.282470703125,-41.87630033493042,-0.01440752337948652,80,0.028428648,0.00025,15.688021659851074
179,1.3192275,10,20480,113,0.2,80.51397247910499,0.0035993456840515137,1.0279775857925415,0.288720703125,-41.91733570098877,-0.01055507100536488,90,0.026326953,0.00025,26.69146156311035
179,1.0405183,11,22528,125,0.2,132.6583032846451,0.0036163926124572754,1.030189871788025,0.235009765625,-41.97579929828644,-0.005299828594434075,100,0.020177476,0.00025,80.41831970214844
178,0.7077631,12,24576,137,0.2,28.14743141233921,0.029687941074371338,1.0310633182525635,0.299951171875,-42.021996188163754,-0.010822752481908537,110,0.030157793,0.00025,11.495437622070312
178,0.23351511,13,26624,148,0.2,73.08031604886055,0.003576815128326416,1.0357824563980103,0.262060546875,-42.10789070129395,-0.01318784028844675,120,0.023310233,0.00025,59.849693298339844
178,0.58562547,14,28672,160,0.2,61.99637886285782,0.005439043045043945,1.0378601551055908,0.255859375,-42.19226348400116,-0.004671787576808128,130,0.025280546,0.00025,24.968238830566406
178,3.2209175,15,30720,172,0.2,36.30858752131462,-0.01740241050720215,1.0413477420806885,0.35849609375,-42.27889047861099,-0.001929494834621437,140,0.044083968,0.00025,10.91596508026123
178,-0.1617238,16,32768,183,0.2,66.5687599748373,0.015531837940216064,1.0432662963867188,0.304443359375,-42.342565619945525,-0.014162276440765708,150,0.029878948,0.00025,47.569297790527344
178,0.9827029,17,34816,194,0.2,80.89815947413445,0.004231691360473633,1.0439788103103638,0.26416015625,-42.383722364902496,-0.013217247780994512,160,0.025159955,0.00025,9.530444145202637
179,0.4538601,18,36864,205,0.2,70.723414260149,0.030478358268737793,1.0466445684432983,0.34443359375,-42.42151700258255,-0.013493431845563463,170,0.04149959,0.00025,37.48306655883789
178,-0.4968707,19,38912,217,0.2,16.704541513323782,0.1083487868309021,1.0480504035949707,0.316015625,-42.479540455341336,-0.009305069038236979,180,0.027332274,0.00025,7.44844913482666
178,0.12720641,20,40960,229,0.2,78.37878926694393,0.003912150859832764,1.050445795059204,0.254736328125,-42.54164113998413,-0.010335364963975736,190,0.027832136,0.00025,47.924930572509766
178,-7.1444707,21,43008,240,0.2,87.53440366983413,0.030036747455596924,1.052276611328125,0.32890625,-42.59274705648422,-0.006906214369519148,200,0.026590776,0.00025,38.726768493652344
178,4.0594687,22,45056,252,0.2,20.061244496703146,0.008813142776489258,1.0549910068511963,0.386669921875,-42.64612467288971,-0.004548056653584353,210,0.036081143,0.00025,12.110783576965332
178,-0.33084404,23,47104,264,0.2,35.44733410179615,0.04258149862289429,1.058351755142212,0.336572265625,-42.735085654258725,-0.0071873718523420395,220,0.032343708,0.00025,35.573883056640625
178,8.7531185,24,49152,276,0.2,89.64337112307548,-0.002119302749633789,1.0629087686538696,0.3181640625,-42.832355213165286,-0.0035974828933831304,230,0.03734811,0.00025,22.2257137298584
177,0.5258024,25,51200,287,0.2,80.70188184976578,-0.009779095649719238,1.0661516189575195,0.33046875,-42.949849379062655,-0.006345594362937845,240,0.034131534,0.00025,80.58411407470703
177,0.8455178,26,53248,299,0.2,26.58920624256134,0.027020156383514404,1.068812370300293,0.33779296875,-43.026944887638095,-0.009642086821259,250,0.03777373,0.00025,12.346245765686035
178,-1.4451759,27,55296,310,0.2,66.41322509050369,0.041367530822753906,1.0706671476364136,0.280810546875,-43.09291083812714,-0.006040398677578196,260,0.028968912,0.00025,14.24081039428711
178,0.52255636,28,57344,321,0.2,78.08366335630417,0.014928817749023438,1.0719016790390015,0.247509765625,-43.13277380466461,-0.006467861498822458,270,0.025248121,0.00025,46.02479553222656
178,0.27493885,29,59392,333,0.2,26.929971924424173,0.022503674030303955,1.073534607887268,0.350439453125,-43.16840046644211,-0.004713995242491364,280,0.044184566,0.00025,8.900668144226074
178,1.0546767,30,61440,344,0.2,88.9456970781088,0.04789435863494873,1.0753734111785889,0.331103515625,-43.21860080957413,-0.004824275785358623,290,0.03338454,0.00025,121.728759765625
178,0.538661,31,63488,354,0.2,284.5329351067543,0.005793333053588867,1.0780178308486938,0.30126953125,-43.274166631698606,-0.0007585119106806815,300,0.037670076,0.00025,107.77113342285156
179,-0.26338482,32,65536,365,0.2,33.10676708817482,0.05553311109542847,1.079976201057434,0.390380859375,-43.34232605695725,-0.011903081656782888,310,0.04944778,0.00025,25.36313247680664
179,-0.5570984,33,67584,376,0.2,77.14371434450149,0.021275103092193604,1.0825562477111816,0.283251953125,-43.4006086230278,-0.01542639016697649,320,0.036671285,0.00025,22.908039093017578
