,account_value,date
0,1035554.06,2009-03-17
1,1057383.2,2009-03-18
2,1050637.5,2009-03-19
3,1032705.2,2009-03-20
4,1081436.2,2009-03-23
5,1060199.5,2009-03-24
6,1064831.0,2009-03-25
7,1110334.0,2009-03-26
8,1095013.0,2009-03-27
9,1075044.6,2009-03-30
10,1086390.1,2009-03-31
11,1099933.2,2009-04-01
12,1128636.9,2009-04-02
13,1151526.4,2009-04-03
14,1147551.4,2009-04-06
15,1119492.8,2009-04-07
16,1144206.4,2009-04-08
17,1175202.9,2009-04-09
18,1177271.9,2009-04-13
19,1169442.9,2009-04-14
20,1167370.9,2009-04-15
21,1189462.8,2009-04-16
22,1202086.2,2009-04-17
23,1153733.2,2009-04-20
24,1174988.1,2009-04-21
25,1177816.5,2009-04-22
26,1184467.1,2009-04-23
27,1208923.0,2009-04-24
28,1198366.0,2009-04-27
29,1200487.4,2009-04-28
30,1212389.0,2009-04-29
31,1230460.9,2009-04-30
32,1225687.2,2009-05-01
33,1253449.9,2009-05-04
34,1248095.5,2009-05-05
35,1243195.6,2009-05-06
36,1214910.6,2009-05-07
37,1214836.5,2009-05-08
38,1206753.6,2009-05-11
39,1188276.4,2009-05-12
40,1159926.8,2009-05-13
41,1175807.8,2009-05-14
42,1175726.1,2009-05-15
43,1208657.8,2009-05-18
44,1213892.6,2009-05-19
45,1209962.2,2009-05-20
46,1190837.4,2009-05-21
47,1186216.5,2009-05-22
48,1224304.9,2009-05-26
49,1213492.0,2009-05-27
50,1221354.0,2009-05-28
51,1233565.2,2009-05-29
52,1274491.0,2009-06-01
53,1281611.2,2009-06-02
54,1275855.6,2009-06-03
55,1286773.4,2009-06-04
56,1283265.2,2009-06-05
57,1273506.4,2009-06-08
58,1285784.2,2009-06-09
59,1290884.6,2009-06-10
60,1276218.0,2009-06-11
61,1279020.5,2009-06-12
62,1258774.6,2009-06-15
63,1244111.1,2009-06-16
64,1259951.9,2009-06-17
65,1260802.4,2009-06-18
66,1267072.0,2009-06-19
67,1236038.5,2009-06-22
68,1229669.9,2009-06-23
69,1239662.9,2009-06-24
70,1268683.5,2009-06-25
71,1280958.9,2009-06-26
72,1283743.9,2009-06-29
73,1274469.6,2009-06-30
74,1279981.5,2009-07-01
75,1249122.1,2009-07-02
76,1248833.2,2009-07-06
77,1222630.9,2009-07-07
78,1236849.2,2009-07-08
79,1241920.2,2009-07-09
80,1242195.9,2009-07-10
81,1268184.6,2009-07-13
82,1275167.4,2009-07-14
83,1314177.0,2009-07-15
84,1334560.1,2009-07-16
85,1338529.6,2009-07-17
86,1353263.2,2009-07-20
87,1350238.4,2009-07-21
88,1370144.0,2009-07-22
89,1399138.5,2009-07-23
90,1403875.5,2009-07-24
91,1400006.2,2009-07-27
92,1400919.8,2009-07-28
93,1401614.2,2009-07-29
94,1417971.0,2009-07-30
95,1412367.9,2009-07-31
96,1431947.6,2009-08-03
97,1443269.2,2009-08-04
98,1424997.0,2009-08-05
99,1416138.0,2009-08-06
100,1436222.5,2009-08-07
101,1426648.8,2009-08-10
102,1417496.4,2009-08-11
103,1439107.4,2009-08-12
104,1446881.9,2009-08-13
105,1430201.6,2009-08-14
106,1394558.5,2009-08-17
107,1409529.4,2009-08-18
108,1416811.1,2009-08-19
109,1433015.9,2009-08-20
