,account_value,date
0,1017721.5,2020-09-14
1,1020810.25,2020-09-15
2,1022754.5,2020-09-16
3,1014134.5,2020-09-17
4,1003760.7,2020-09-18
5,979665.44,2020-09-21
6,987289.5,2020-09-22
7,963498.1,2020-09-23
8,966793.6,2020-09-24
9,979151.94,2020-09-25
10,996569.6,2020-09-28
11,989940.75,2020-09-29
12,991202.4,2020-09-30
13,999178.9,2020-10-01
14,990679.3,2020-10-02
15,1008692.8,2020-10-05
16,998851.4,2020-10-06
17,1016238.7,2020-10-07
18,1034300.1,2020-10-08
19,1042523.56,2020-10-09
20,1051695.5,2020-10-12
21,1042741.25,2020-10-13
22,1038788.4,2020-10-14
23,1037999.4,2020-10-15
24,1038663.94,2020-10-16
25,1029772.9,2020-10-19
26,1034078.9,2020-10-20
27,1028755.5,2020-10-21
28,1040032.6,2020-10-22
29,1041844.25,2020-10-23
30,1017971.9,2020-10-26
31,1014636.1,2020-10-27
32,979592.0,2020-10-28
33,990904.8,2020-10-29
34,981427.4,2020-10-30
35,996115.4,2020-11-02
36,1018811.7,2020-11-03
37,1029988.25,2020-11-04
38,1054570.2,2020-11-05
39,1054235.9,2020-11-06
40,1085518.8,2020-11-09
41,1086851.2,2020-11-10
42,1090272.0,2020-11-11
43,1076152.2,2020-11-12
44,1098599.6,2020-11-13
45,1117065.5,2020-11-16
46,1115766.2,2020-11-17
47,1104356.5,2020-11-18
48,1113528.8,2020-11-19
49,1113587.4,2020-11-20
50,1125446.8,2020-11-23
51,1144541.0,2020-11-24
52,1143410.8,2020-11-25
53,1149908.2,2020-11-27
54,1143338.2,2020-11-30
55,1157428.1,2020-12-01
56,1159474.9,2020-12-02
57,1165257.2,2020-12-03
58,1182703.5,2020-12-04
59,1180984.6,2020-12-07
60,1183092.8,2020-12-08
61,1173418.5,2020-12-09
62,1176991.4,2020-12-10
63,1169934.2,2020-12-11
64,1171207.4,2020-12-14
65,1187205.2,2020-12-15
66,1186748.2,2020-12-16
67,1198535.0,2020-12-17
68,1198059.1,2020-12-18
69,1189043.8,2020-12-21
70,1185860.1,2020-12-22
71,1194352.5,2020-12-23
72,1194236.2,2020-12-24
73,1199033.2,2020-12-28
74,1200354.5,2020-12-29
75,1207306.5,2020-12-30
76,1209518.2,2020-12-31
77,1199926.4,2021-01-04
78,1211380.6,2021-01-05
79,1232269.5,2021-01-06
80,1240090.8,2021-01-07
81,1238889.0,2021-01-08
82,1231762.0,2021-01-11
83,1250648.8,2021-01-12
84,1246020.9,2021-01-13
85,1261629.8,2021-01-14
86,1250804.2,2021-01-15
87,1259697.6,2021-01-19
88,1270761.2,2021-01-20
89,1262526.5,2021-01-21
90,1270595.6,2021-01-22
91,1274556.2,2021-01-25
92,1283804.5,2021-01-26
93,1262257.0,2021-01-27
94,1271205.2,2021-01-28
95,1255205.8,2021-01-29
96,1274712.8,2021-02-01
97,1285929.2,2021-02-02
98,1285595.1,2021-02-03
99,1299946.0,2021-02-04
100,1314132.4,2021-02-05
101,1338076.6,2021-02-08
102,1342116.5,2021-02-09
103,1342644.0,2021-02-10
104,1348973.8,2021-02-11
105,1354092.8,2021-02-12
106,1355978.8,2021-02-16
107,1348965.0,2021-02-17
108,1333915.0,2021-02-18
109,1340363.0,2021-02-19
110,1340079.0,2021-02-22
111,1332073.0,2021-02-23
112,1363117.9,2021-02-24
113,1326688.5,2021-02-25
114,1316090.2,2021-02-26
115,1344086.5,2021-03-01
116,1335712.5,2021-03-02
117,1321904.5,2021-03-03
118,1298533.8,2021-03-04
119,1322440.9,2021-03-05
120,1321467.0,2021-03-08
121,1349383.5,2021-03-09
122,1359462.1,2021-03-10
123,1379807.8,2021-03-11
124,1384406.8,2021-03-12
125,1398222.2,2021-03-15
126,1389797.6,2021-03-16
127,1403960.4,2021-03-17
128,1375011.5,2021-03-18
129,1382638.0,2021-03-19
130,1383479.5,2021-03-22
131,1354958.2,2021-03-23
132,1338176.8,2021-03-24
133,1352662.6,2021-03-25
134,1376187.0,2021-03-26
135,1372073.5,2021-03-29
136,1374201.1,2021-03-30
137,1386673.8,2021-03-31
138,1407966.5,2021-04-01
139,1425449.8,2021-04-05
140,1427117.6,2021-04-06
141,1419744.2,2021-04-07
142,1431549.5,2021-04-08
143,1431721.8,2021-04-09
144,1426064.8,2021-04-12
145,1426482.8,2021-04-13
146,1425854.4,2021-04-14
147,1437239.0,2021-04-15
148,1443644.0,2021-04-16
149,1438231.4,2021-04-19
150,1419974.9,2021-04-20
151,1438745.0,2021-04-21
152,1425251.5,2021-04-22
153,1438877.2,2021-04-23
154,1449999.8,2021-04-26
155,1446047.5,2021-04-27
156,1447048.0,2021-04-28
157,1446743.5,2021-04-29
158,1431225.2,2021-04-30
159,1440521.2,2021-05-03
160,1422485.8,2021-05-04
161,1420487.5,2021-05-05
162,1433081.2,2021-05-06
163,1450988.5,2021-05-07
164,1429534.5,2021-05-10
165,1422867.0,2021-05-11
166,1391229.0,2021-05-12
167,1406381.2,2021-05-13
168,1437137.6,2021-05-14
169,1440949.1,2021-05-17
170,1429498.5,2021-05-18
171,1423170.0,2021-05-19
172,1438968.5,2021-05-20
173,1438226.6,2021-05-21
174,1447862.5,2021-05-24
175,1442128.8,2021-05-25
176,1452389.5,2021-05-26
177,1460466.4,2021-05-27
178,1461541.4,2021-05-28
179,1467979.8,2021-06-01
180,1475469.5,2021-06-02
181,1465144.0,2021-06-03
182,1476203.0,2021-06-04
183,1483336.6,2021-06-07
184,1484530.0,2021-06-08
185,1487477.1,2021-06-09
186,1495863.0,2021-06-10
187,1496979.1,2021-06-11
188,1496689.4,2021-06-14
189,1488871.9,2021-06-15
190,1482338.5,2021-06-16
191,1471981.9,2021-06-17
192,1449636.8,2021-06-18
193,1462243.8,2021-06-21
194,1465080.5,2021-06-22
195,1445272.5,2021-06-23
196,1455179.2,2021-06-24
197,1456175.0,2021-06-25
198,1450168.4,2021-06-28
199,1453666.5,2021-06-29
200,1456233.0,2021-06-30
201,1459759.2,2021-07-01
202,1464062.4,2021-07-02
203,1451429.8,2021-07-06
204,1444633.2,2021-07-07
205,1428624.0,2021-07-08
206,1449984.0,2021-07-09
207,1450112.1,2021-07-12
208,1440867.0,2021-07-13
209,1433737.2,2021-07-14
210,1427602.2,2021-07-15
211,1409320.8,2021-07-16
212,1382326.2,2021-07-19
213,1406811.8,2021-07-20
214,1433719.0,2021-07-21
215,1423082.5,2021-07-22
216,1427730.5,2021-07-23
217,1437356.5,2021-07-26
218,1428446.5,2021-07-27
219,1442775.9,2021-07-28
220,1449928.2,2021-07-29
221,1447146.0,2021-07-30
222,1442834.6,2021-08-02
223,1447242.0,2021-08-03
224,1436319.0,2021-08-04
225,1448571.5,2021-08-05
226,1447921.5,2021-08-06
227,1441612.0,2021-08-09
228,1442704.0,2021-08-10
229,1452441.1,2021-08-11
230,1445534.0,2021-08-12
231,1445802.4,2021-08-13
232,1436670.0,2021-08-16
233,1426348.5,2021-08-17
234,1414006.6,2021-08-18
235,1403888.8,2021-08-19
236,1416766.2,2021-08-20
237,1438451.0,2021-08-23
238,1455256.9,2021-08-24
239,1459372.8,2021-08-25
240,1449503.9,2021-08-26
241,1471730.1,2021-08-27
242,1469179.2,2021-08-30
243,1471979.9,2021-08-31
244,1467957.8,2021-09-01
245,1481871.5,2021-09-02
246,1476711.8,2021-09-03
247,1465515.4,2021-09-07
248,1458262.8,2021-09-08
249,1454959.5,2021-09-09
250,1442738.0,2021-09-10
251,1458894.0,2021-09-13
252,1448418.0,2021-09-14
253,1459334.2,2021-09-15
254,1454656.8,2021-09-16
255,1445613.8,2021-09-17
256,1416170.4,2021-09-20
257,1414100.5,2021-09-21
258,1430455.8,2021-09-22
259,1451321.5,2021-09-23
260,1450369.8,2021-09-24
261,1459581.5,2021-09-27
262,1432501.1,2021-09-28
263,1432311.5,2021-09-29
264,1426177.5,2021-09-30
265,1426177.5,2021-09-30
