,account_value,date
0,1045677.75,2009-03-17
1,1072509.6,2009-03-18
2,1060982.1,2009-03-19
3,1040075.5,2009-03-20
4,1101150.8,2009-03-23
5,1082381.5,2009-03-24
6,1091201.2,2009-03-25
7,1127732.2,2009-03-26
8,1098057.2,2009-03-27
9,1071393.0,2009-03-30
10,1090342.0,2009-03-31
11,1098824.6,2009-04-01
12,1133794.6,2009-04-02
13,1141350.2,2009-04-03
14,1130077.4,2009-04-06
15,1106728.1,2009-04-07
16,1125323.4,2009-04-08
17,1174308.4,2009-04-09
18,1180053.1,2009-04-13
19,1157412.8,2009-04-14
20,1170057.1,2009-04-15
21,1199310.2,2009-04-16
22,1207018.6,2009-04-17
23,1159401.8,2009-04-20
24,1183835.2,2009-04-21
25,1183778.6,2009-04-22
26,1180244.0,2009-04-23
27,1209005.9,2009-04-24
28,1207663.9,2009-04-27
29,1214570.2,2009-04-28
30,1242461.0,2009-04-29
31,1238337.8,2009-04-30
32,1254254.5,2009-05-01
33,1298933.2,2009-05-04
34,1295489.9,2009-05-05
35,1295939.2,2009-05-06
36,1270045.8,2009-05-07
37,1289387.1,2009-05-08
38,1282547.4,2009-05-11
39,1272055.0,2009-05-12
40,1229987.4,2009-05-13
41,1249813.2,2009-05-14
42,1246839.4,2009-05-15
43,1285852.9,2009-05-18
44,1288005.6,2009-05-19
45,1288585.8,2009-05-20
46,1268149.9,2009-05-21
47,1267873.6,2009-05-22
48,1303635.9,2009-05-26
49,1285178.1,2009-05-27
50,1290656.2,2009-05-28
51,1315144.5,2009-05-29
52,1358008.1,2009-06-01
53,1365726.4,2009-06-02
54,1352208.0,2009-06-03
55,1362811.9,2009-06-04
56,1358494.8,2009-06-05
57,1347711.9,2009-06-08
58,1355944.1,2009-06-09
59,1342223.6,2009-06-10
60,1349739.6,2009-06-11
61,1348250.9,2009-06-12
62,1313605.9,2009-06-15
63,1293960.8,2009-06-16
64,1313779.0,2009-06-17
65,1314925.1,2009-06-18
66,1324467.5,2009-06-19
67,1290375.1,2009-06-22
68,1298384.6,2009-06-23
69,1319709.9,2009-06-24
70,1353938.1,2009-06-25
71,1361680.9,2009-06-26
72,1369810.8,2009-06-29
73,1365851.9,2009-06-30
74,1374929.9,2009-07-01
75,1339260.0,2009-07-02
76,1337240.8,2009-07-06
77,1307811.8,2009-07-07
78,1297311.1,2009-07-08
79,1301251.1,2009-07-09
80,1308182.1,2009-07-10
81,1338370.2,2009-07-13
82,1340852.2,2009-07-14
83,1385806.4,2009-07-15
84,1397076.0,2009-07-16
85,1396563.8,2009-07-17
86,1414116.5,2009-07-20
87,1418660.9,2009-07-21
88,1428325.0,2009-07-22
89,1463981.9,2009-07-23
90,1487439.9,2009-07-24
91,1481939.2,2009-07-27
92,1480879.9,2009-07-28
93,1470741.6,2009-07-29
94,1475143.6,2009-07-30
95,1481572.9,2009-07-31
96,1504131.1,2009-08-03
97,1512738.0,2009-08-04
98,1495711.8,2009-08-05
99,1481542.6,2009-08-06
100,1494913.1,2009-08-07
101,1495358.2,2009-08-10
102,1473946.8,2009-08-11
103,1500224.2,2009-08-12
104,1503933.9,2009-08-13
105,1487894.0,2009-08-14
106,1466371.4,2009-08-17
107,1480492.4,2009-08-18
108,1498786.5,2009-08-19
109,1522802.4,2009-08-20
110,1538157.1,2009-08-21
111,1533792.0,2009-08-24
112,1535529.4,2009-08-25
113,1536012.2,2009-08-26
114,1532831.9,2009-08-27
115,1529902.5,2009-08-28
116,1511606.8,2009-08-31
117,1482856.8,2009-09-01
118,1484308.2,2009-09-02
119,1501084.5,2009-09-03
120,1527932.5,2009-09-04
121,1539157.9,2009-09-08
122,1560364.6,2009-09-09
123,1572056.9,2009-09-10
124,1566705.8,2009-09-11
125,1573927.2,2009-09-14
126,1575604.0,2009-09-15
127,1591944.1,2009-09-16
128,1588679.4,2009-09-17
129,1590578.0,2009-09-18
130,1595527.0,2009-09-21
131,1598651.5,2009-09-22
132,1593960.5,2009-09-23
133,1578441.4,2009-09-24
134,1575617.1,2009-09-25
135,1601741.6,2009-09-28
136,1601819.6,2009-09-29
137,1598556.2,2009-09-30
138,1552354.1,2009-10-01
139,1548401.8,2009-10-02
140,1566915.4,2009-10-05
141,1589614.1,2009-10-06
142,1589129.0,2009-10-07
143,1588327.0,2009-10-08
144,1602291.2,2009-10-09
145,1600459.9,2009-10-12
146,1598351.1,2009-10-13
147,1619989.5,2009-10-14
148,1617376.1,2009-10-15
149,1604898.4,2009-10-16
150,1617603.2,2009-10-19
151,1593254.8,2009-10-20
152,1580726.9,2009-10-21
153,1597412.1,2009-10-22
154,1582322.9,2009-10-23
155,1571768.5,2009-10-26
156,1568619.8,2009-10-27
157,1529791.6,2009-10-28
158,1550470.1,2009-10-29
159,1519661.6,2009-10-30
160,1537045.4,2009-11-02
161,1556949.5,2009-11-03
162,1546489.4,2009-11-04
163,1591359.0,2009-11-05
164,1608576.2,2009-11-06
165,1632132.9,2009-11-09
166,1620466.6,2009-11-10
167,1630760.2,2009-11-11
168,1611375.9,2009-11-12
169,1622685.9,2009-11-13
170,1649160.8,2009-11-16
171,1645269.9,2009-11-17
172,1630018.2,2009-11-18
173,1600706.6,2009-11-19
174,1588245.1,2009-11-20
175,1609770.0,2009-11-23
176,1612015.2,2009-11-24
177,1622998.6,2009-11-25
178,1593138.1,2009-11-27
179,1595863.4,2009-11-30
180,1622785.9,2009-12-01
181,1627258.0,2009-12-02
182,1616871.8,2009-12-03
183,1631678.5,2009-12-04
184,1629454.4,2009-12-07
185,1621980.9,2009-12-08
186,1625148.8,2009-12-09
187,1627304.8,2009-12-10
188,1620899.5,2009-12-11
189,1644341.6,2009-12-14
190,1637363.5,2009-12-15
191,1645686.8,2009-12-16
192,1621458.4,2009-12-17
193,1636427.1,2009-12-18
194,1649649.5,2009-12-21
195,1668298.9,2009-12-22
196,1677447.9,2009-12-23
197,1683553.4,2009-12-24
198,1688289.2,2009-12-28
199,1687993.5,2009-12-29
200,1697278.9,2009-12-30
201,1685054.0,2009-12-31
202,1719418.2,2010-01-04
203,1716382.1,2010-01-05
204,1734952.6,2010-01-06
205,1743900.4,2010-01-07
206,1754775.8,2010-01-08
207,1766483.6,2010-01-11
208,1744182.2,2010-01-12
209,1771061.2,2010-01-13
210,1765729.4,2010-01-14
211,1747458.9,2010-01-15
212,1770334.5,2010-01-19
213,1759605.9,2010-01-20
214,1729509.2,2010-01-21
215,1694443.0,2010-01-22
216,1696521.2,2010-01-25
217,1693853.0,2010-01-26
218,1710237.9,2010-01-27
219,1689853.9,2010-01-28
220,1680104.9,2010-01-29
221,1702462.6,2010-02-01
222,1719246.5,2010-02-02
223,1709187.5,2010-02-03
224,1663244.1,2010-02-04
225,1668390.0,2010-02-05
226,1657621.0,2010-02-08
227,1677715.6,2010-02-09
228,1677426.6,2010-02-10
229,1710519.0,2010-02-11
230,1712153.8,2010-02-12
231,1736161.8,2010-02-16
232,1752940.1,2010-02-17
233,1764706.6,2010-02-18
234,1770729.0,2010-02-19
235,1771273.8,2010-02-22
236,1749270.5,2010-02-23
237,1768015.4,2010-02-24
238,1761039.1,2010-02-25
239,1763110.6,2010-02-26
240,1781007.6,2010-03-01
241,1793527.4,2010-03-02
242,1796798.9,2010-03-03
243,1798172.6,2010-03-04
244,1818556.4,2010-03-05
245,1819776.0,2010-03-08
246,1826185.2,2010-03-09
247,1838868.4,2010-03-10
248,1851136.1,2010-03-11
249,1849331.2,2010-03-12
250,1842046.8,2010-03-15
251,1852644.5,2010-03-16
252,1858896.1,2010-03-17
253,1856762.6,2010-03-18
254,1844526.8,2010-03-19
255,1862884.5,2010-03-22
256,1877544.5,2010-03-23
257,1864641.9,2010-03-24
258,1860924.1,2010-03-25
259,1854468.9,2010-03-26
260,1858824.1,2010-03-29
261,1859652.9,2010-03-30
262,1844384.8,2010-03-31
263,1851916.6,2010-04-01
264,1873628.0,2010-04-05
265,1869734.9,2010-04-06
266,1861864.2,2010-04-07
267,1855407.1,2010-04-08
268,1863804.5,2010-04-09
269,1861767.2,2010-04-12
270,1866259.6,2010-04-13
271,1895172.8,2010-04-14
272,1899120.0,2010-04-15
273,1879253.4,2010-04-16
274,1875211.4,2010-04-19
275,1894800.4,2010-04-20
276,1879777.2,2010-04-21
277,1883597.2,2010-04-22
278,1883123.5,2010-04-23
279,1870691.5,2010-04-26
280,1840357.9,2010-04-27
281,1840048.2,2010-04-28
282,1880003.8,2010-04-29
283,1843245.9,2010-04-30
284,1867518.8,2010-05-03
285,1823754.8,2010-05-04
286,1810694.5,2010-05-05
287,1757107.0,2010-05-06
288,1718503.8,2010-05-07
289,1800830.8,2010-05-10
290,1805889.1,2010-05-11
291,1839037.6,2010-05-12
292,1822808.9,2010-05-13
293,1786602.4,2010-05-14
294,1791807.5,2010-05-17
295,1766507.2,2010-05-18
296,1755018.0,2010-05-19
297,1685570.6,2010-05-20
298,1703089.1,2010-05-21
299,1684152.2,2010-05-24
300,1677357.0,2010-05-25
301,1672765.9,2010-05-26
302,1730568.4,2010-05-27
303,1712010.1,2010-05-28
304,1676200.2,2010-06-01
305,1718728.2,2010-06-02
306,1731706.9,2010-06-03
307,1670214.8,2010-06-04
308,1646391.9,2010-06-07
309,1647794.4,2010-06-08
310,1643266.1,2010-06-09
311,1690593.8,2010-06-10
312,1708982.6,2010-06-11
313,1715941.2,2010-06-14
314,1748733.4,2010-06-15
315,1745195.1,2010-06-16
316,1750889.2,2010-06-17
317,1752107.0,2010-06-18
318,1744816.0,2010-06-21
319,1717876.1,2010-06-22
320,1719768.8,2010-06-23
321,1696019.1,2010-06-24
322,1716823.4,2010-06-25
323,1713504.5,2010-06-28
324,1655743.2,2010-06-29
325,1646444.9,2010-06-30
326,1630642.1,2010-07-01
327,1630411.5,2010-07-02
328,1621279.0,2010-07-06
329,1670928.8,2010-07-07
330,1682965.5,2010-07-08
331,1693767.6,2010-07-09
332,1685755.8,2010-07-12
333,1722117.2,2010-07-13
334,1725758.2,2010-07-14
335,1724546.8,2010-07-15
336,1674573.8,2010-07-16
337,1683047.5,2010-07-19
338,1699156.1,2010-07-20
339,1688068.0,2010-07-21
340,1737721.6,2010-07-22
341,1762902.5,2010-07-23
342,1805757.2,2010-07-26
343,1795151.2,2010-07-27
344,1775827.2,2010-07-28
345,1769471.4,2010-07-29
346,1780427.9,2010-07-30
347,1804573.1,2010-08-02
348,1803624.0,2010-08-03
349,1823223.9,2010-08-04
350,1815953.9,2010-08-05
351,1816621.1,2010-08-06
352,1830325.8,2010-08-09
353,1810968.6,2010-08-10
354,1760848.1,2010-08-11
355,1751383.5,2010-08-12
356,1739209.4,2010-08-13
357,1750794.0,2010-08-16
358,1774200.0,2010-08-17
359,1778350.0,2010-08-18
360,1748605.4,2010-08-19
361,1749161.4,2010-08-20
362,1735157.5,2010-08-23
363,1706087.8,2010-08-24
364,1724237.8,2010-08-25
365,1707058.1,2010-08-26
366,1741677.0,2010-08-27
367,1711304.6,2010-08-30
368,1703366.9,2010-08-31
369,1762458.2,2010-09-01
370,1776558.5,2010-09-02
371,1804724.0,2010-09-03
372,1778153.8,2010-09-07
373,1798226.2,2010-09-08
374,1803170.9,2010-09-09
375,1809567.0,2010-09-10
376,1842598.5,2010-09-13
377,1845903.9,2010-09-14
378,1856955.6,2010-09-15
379,1857148.2,2010-09-16
380,1862804.0,2010-09-17
381,1897067.6,2010-09-20
382,1888695.1,2010-09-21
383,1869060.6,2010-09-22
384,1862627.2,2010-09-23
385,1904236.8,2010-09-24
386,1892903.0,2010-09-27
387,1903196.6,2010-09-28
388,1899253.8,2010-09-29
389,1901118.6,2010-09-30
390,1902641.5,2010-10-01
391,1884529.5,2010-10-04
392,1932171.4,2010-10-05
393,1914226.1,2010-10-06
394,1919562.2,2010-10-07
395,1925919.9,2010-10-08
396,1922043.0,2010-10-11
397,1926365.9,2010-10-12
398,1939973.4,2010-10-13
399,1940136.2,2010-10-14
400,1949766.6,2010-10-15
401,1961803.6,2010-10-18
402,1931309.6,2010-10-19
403,1957353.8,2010-10-20
404,1954032.5,2010-10-21
405,1960761.4,2010-10-22
406,1972294.4,2010-10-25
407,1967729.2,2010-10-26
408,1971093.8,2010-10-27
409,1966272.6,2010-10-28
410,1970392.5,2010-10-29
411,1963775.8,2010-11-01
412,1981200.6,2010-11-02
413,1985086.5,2010-11-03
414,2015596.5,2010-11-04
415,2020733.6,2010-11-05
416,2016147.0,2010-11-08
417,2005985.5,2010-11-09
418,2015090.0,2010-11-10
419,1989956.2,2010-11-11
420,1963038.1,2010-11-12
421,1966998.5,2010-11-15
422,1933821.0,2010-11-16
423,1942537.0,2010-11-17
424,1976684.2,2010-11-18
425,1982508.4,2010-11-19
426,1981534.2,2010-11-22
427,1958373.5,2010-11-23
428,1992195.5,2010-11-24
429,1987555.9,2010-11-26
430,1984594.5,2010-11-29
431,1963060.9,2010-11-30
432,1997635.5,2010-12-01
433,2010412.8,2010-12-02
434,2018346.2,2010-12-03
435,2017296.2,2010-12-06
436,2021014.2,2010-12-07
437,2046616.2,2010-12-08
438,2046705.2,2010-12-09
439,2059765.1,2010-12-10
440,2053942.0,2010-12-13
441,2057289.9,2010-12-14
442,2051633.9,2010-12-15
443,2078561.2,2010-12-16
444,2087421.4,2010-12-17
445,2088554.8,2010-12-20
446,2098114.8,2010-12-21
447,2098395.0,2010-12-22
448,2101183.2,2010-12-23
449,2101728.8,2010-12-27
450,2100024.8,2010-12-28
451,2106035.8,2010-12-29
452,2105045.8,2010-12-30
453,2093054.5,2010-12-31
454,2122155.2,2011-01-03
455,2103977.5,2011-01-04
456,2130579.8,2011-01-05
457,2131772.0,2011-01-06
458,2123908.8,2011-01-07
459,2123105.5,2011-01-10
460,2134358.2,2011-01-11
461,2137603.0,2011-01-12
462,2139046.0,2011-01-13
463,2154891.5,2011-01-14
464,2160971.2,2011-01-18
465,2132686.0,2011-01-19
466,2111738.0,2011-01-20
467,2102367.2,2011-01-21
468,2115996.5,2011-01-24
469,2109306.5,2011-01-25
470,2121160.8,2011-01-26
471,2120422.8,2011-01-27
472,2080454.4,2011-01-28
473,2098847.0,2011-01-31
474,2126985.2,2011-02-01
475,2143331.5,2011-02-02
476,2146095.2,2011-02-03
477,2155858.8,2011-02-04
478,2157345.5,2011-02-07
479,2166052.8,2011-02-08
480,2152060.5,2011-02-09
481,2151114.0,2011-02-10
482,2163026.0,2011-02-11
483,2174666.2,2011-02-14
484,2170360.8,2011-02-15
485,2195641.0,2011-02-16
486,2204626.5,2011-02-17
487,2201654.8,2011-02-18
488,2148790.0,2011-02-22
489,2126554.8,2011-02-23
490,2130632.8,2011-02-24
491,2167292.8,2011-02-25
492,2171316.0,2011-02-28
493,2133238.0,2011-03-01
494,2144490.0,2011-03-02
495,2192467.0,2011-03-03
496,2184523.8,2011-03-04
497,2158502.0,2011-03-07
498,2181731.5,2011-03-08
499,2171466.5,2011-03-09
500,2132631.2,2011-03-10
501,2143916.5,2011-03-11
502,2129094.0,2011-03-14
503,2113385.8,2011-03-15
504,2085311.0,2011-03-16
505,2097048.0,2011-03-17
506,2106443.0,2011-03-18
507,2136528.0,2011-03-21
508,2130275.2,2011-03-22
509,2139394.8,2011-03-23
510,2169912.8,2011-03-24
511,2172604.8,2011-03-25
512,2170843.2,2011-03-28
513,2197045.0,2011-03-29
514,2209008.2,2011-03-30
515,2212369.8,2011-03-31
516,2217321.2,2011-04-01
517,2219173.8,2011-04-04
518,2219892.8,2011-04-05
519,2232192.2,2011-04-06
520,2219283.0,2011-04-07
521,2205971.8,2011-04-08
522,2212136.0,2011-04-11
523,2191676.8,2011-04-12
524,2204978.8,2011-04-13
525,2207354.2,2011-04-14
526,2216359.2,2011-04-15
527,2188954.2,2011-04-18
528,2193155.8,2011-04-19
529,2250145.5,2011-04-20
530,2284148.8,2011-04-21
531,2294053.5,2011-04-25
532,2313184.8,2011-04-26
533,2332403.8,2011-04-27
534,2334058.0,2011-04-28
535,2345176.5,2011-04-29
536,2335992.5,2011-05-02
537,2333931.2,2011-05-03
538,2320815.0,2011-05-04
539,2313026.5,2011-05-05
540,2327956.2,2011-05-06
541,2345689.2,2011-05-09
542,2371993.0,2011-05-10
543,2347985.8,2011-05-11
544,2367332.8,2011-05-12
545,2347562.2,2011-05-13
546,2318028.0,2011-05-16
547,2309996.5,2011-05-17
548,2332275.5,2011-05-18
549,2336480.0,2011-05-19
550,2324279.8,2011-05-20
551,2293831.5,2011-05-23
552,2288319.0,2011-05-24
553,2307442.5,2011-05-25
554,2322553.5,2011-05-26
555,2330335.2,2011-05-27
556,2353710.5,2011-05-31
557,2300174.0,2011-06-01
558,2299727.2,2011-06-02
559,2271834.5,2011-06-03
560,2257318.2,2011-06-06
561,2258957.2,2011-06-07
562,2238785.5,2011-06-08
563,2240416.2,2011-06-09
564,2204966.2,2011-06-10
565,2196513.5,2011-06-13
