,account_value,date
0,1037264.4,2009-03-17
1,1056195.9,2009-03-18
2,1040738.44,2009-03-19
3,1018712.25,2009-03-20
4,1098340.2,2009-03-23
5,1080273.2,2009-03-24
6,1095673.9,2009-03-25
7,1136189.0,2009-03-26
8,1101563.0,2009-03-27
9,1069997.5,2009-03-30
10,1082298.4,2009-03-31
11,1108497.4,2009-04-01
12,1166361.5,2009-04-02
13,1184569.2,2009-04-03
14,1178882.0,2009-04-06
15,1130873.0,2009-04-07
16,1146713.9,2009-04-08
17,1202785.9,2009-04-09
18,1197812.5,2009-04-13
19,1168483.5,2009-04-14
20,1182748.2,2009-04-15
21,1216538.6,2009-04-16
22,1223391.1,2009-04-17
23,1166351.2,2009-04-20
24,1203542.2,2009-04-21
25,1200063.5,2009-04-22
26,1205092.0,2009-04-23
27,1220734.8,2009-04-24
28,1197097.8,2009-04-27
29,1193647.4,2009-04-28
30,1242236.5,2009-04-29
31,1252538.0,2009-04-30
32,1266506.8,2009-05-01
33,1322715.1,2009-05-04
34,1330320.0,2009-05-05
35,1343724.2,2009-05-06
36,1303580.6,2009-05-07
37,1336546.8,2009-05-08
38,1316569.0,2009-05-11
39,1302387.1,2009-05-12
40,1252123.1,2009-05-13
41,1261560.2,2009-05-14
42,1250598.2,2009-05-15
43,1298721.0,2009-05-18
44,1303585.1,2009-05-19
45,1288965.0,2009-05-20
46,1271624.2,2009-05-21
47,1264683.1,2009-05-22
48,1304929.8,2009-05-26
49,1282431.1,2009-05-27
50,1290964.4,2009-05-28
51,1312059.8,2009-05-29
52,1363263.2,2009-06-01
53,1374900.9,2009-06-02
54,1354432.0,2009-06-03
55,1375241.2,2009-06-04
56,1377302.0,2009-06-05
57,1363601.0,2009-06-08
58,1379977.5,2009-06-09
59,1376950.8,2009-06-10
60,1381221.2,2009-06-11
61,1371003.5,2009-06-12
62,1336640.0,2009-06-15
63,1319399.4,2009-06-16
64,1324623.1,2009-06-17
65,1327284.1,2009-06-18
66,1342743.0,2009-06-19
67,1289690.5,2009-06-22
68,1281443.2,2009-06-23
69,1294957.8,2009-06-24
70,1324673.2,2009-06-25
71,1327241.2,2009-06-26
72,1333587.2,2009-06-29
73,1315802.0,2009-06-30
74,1325200.1,2009-07-01
75,1281763.0,2009-07-02
76,1283047.2,2009-07-06
77,1252998.2,2009-07-07
78,1252481.2,2009-07-08
79,1270949.8,2009-07-09
80,1268456.0,2009-07-10
81,1303128.5,2009-07-13
82,1317388.1,2009-07-14
83,1362846.8,2009-07-15
84,1370625.2,2009-07-16
85,1374379.4,2009-07-17
86,1398784.1,2009-07-20
87,1406372.5,2009-07-21
88,1403717.0,2009-07-22
89,1432340.2,2009-07-23
90,1441203.5,2009-07-24
91,1438214.4,2009-07-27
92,1443489.8,2009-07-28
93,1436965.9,2009-07-29
94,1451843.5,2009-07-30
95,1456749.0,2009-07-31
96,1480813.5,2009-08-03
97,1504788.9,2009-08-04
98,1504238.9,2009-08-05
99,1476990.0,2009-08-06
100,1504663.2,2009-08-07
101,1498655.0,2009-08-10
102,1486547.5,2009-08-11
103,1510068.2,2009-08-12
104,1518263.8,2009-08-13
105,1490163.9,2009-08-14
106,1433482.8,2009-08-17
107,1449660.0,2009-08-18
108,1450526.9,2009-08-19
109,1467217.2,2009-08-20
110,1493665.2,2009-08-21
111,1490647.5,2009-08-24
112,1507604.9,2009-08-25
113,1509942.0,2009-08-26
114,1514483.6,2009-08-27
115,1516238.8,2009-08-28
116,1495835.5,2009-08-31
117,1466335.4,2009-09-01
118,1468639.5,2009-09-02
119,1491000.4,2009-09-03
120,1519217.5,2009-09-04
121,1536973.8,2009-09-08
122,1552855.8,2009-09-09
123,1587090.4,2009-09-10
124,1589085.9,2009-09-11
125,1603134.5,2009-09-14
126,1625626.0,2009-09-15
127,1653504.5,2009-09-16
128,1647617.0,2009-09-17
129,1657709.6,2009-09-18
130,1657197.0,2009-09-21
131,1671786.4,2009-09-22
132,1656436.4,2009-09-23
133,1629876.6,2009-09-24
134,1624156.0,2009-09-25
135,1652478.0,2009-09-28
136,1654227.8,2009-09-29
137,1649722.0,2009-09-30
138,1581216.1,2009-10-01
139,1567793.8,2009-10-02
140,1599161.9,2009-10-05
141,1617593.0,2009-10-06
142,1629143.8,2009-10-07
143,1637553.6,2009-10-08
144,1656381.0,2009-10-09
145,1652720.2,2009-10-12
146,1649238.5,2009-10-13
147,1681750.5,2009-10-14
148,1681728.9,2009-10-15
149,1657716.0,2009-10-16
150,1663010.5,2009-10-19
151,1655804.1,2009-10-20
152,1628888.4,2009-10-21
153,1651448.1,2009-10-22
154,1623871.9,2009-10-23
155,1610934.0,2009-10-26
156,1590916.5,2009-10-27
157,1553839.0,2009-10-28
158,1598654.4,2009-10-29
159,1556274.9,2009-10-30
160,1560918.5,2009-11-02
161,1579316.5,2009-11-03
162,1578088.2,2009-11-04
163,1607712.0,2009-11-05
164,1610897.0,2009-11-06
165,1650798.5,2009-11-09
166,1644022.2,2009-11-10
167,1666089.6,2009-11-11
168,1652971.6,2009-11-12
169,1658503.0,2009-11-13
170,1692818.0,2009-11-16
171,1691009.2,2009-11-17
172,1685962.6,2009-11-18
173,1655238.6,2009-11-19
174,1654486.8,2009-11-20
175,1679357.4,2009-11-23
176,1661837.9,2009-11-24
177,1671334.1,2009-11-25
178,1641229.8,2009-11-27
179,1654029.0,2009-11-30
180,1682890.2,2009-12-01
181,1702899.5,2009-12-02
182,1695875.2,2009-12-03
183,1724404.2,2009-12-04
184,1737240.0,2009-12-07
185,1726112.8,2009-12-08
186,1731052.8,2009-12-09
