,account_value,date
0,1032019.6,2009-03-17
1,1042918.8,2009-03-18
2,1035202.44,2009-03-19
3,1015997.56,2009-03-20
4,1069124.1,2009-03-23
5,1052022.0,2009-03-24
6,1061900.4,2009-03-25
7,1099728.0,2009-03-26
8,1075754.8,2009-03-27
9,1047103.06,2009-03-30
10,1056303.5,2009-03-31
11,1062102.9,2009-04-01
12,1100250.2,2009-04-02
13,1107476.6,2009-04-03
14,1106470.8,2009-04-06
15,1085804.2,2009-04-07
16,1096639.8,2009-04-08
17,1136627.8,2009-04-09
18,1135144.2,2009-04-13
19,1128770.4,2009-04-14
20,1133937.6,2009-04-15
21,1152968.0,2009-04-16
22,1158711.4,2009-04-17
23,1124101.1,2009-04-20
24,1136651.8,2009-04-21
25,1144217.1,2009-04-22
26,1147299.8,2009-04-23
27,1160341.1,2009-04-24
28,1147988.0,2009-04-27
29,1147236.2,2009-04-28
30,1169737.0,2009-04-29
31,1174543.4,2009-04-30
32,1172618.5,2009-05-01
33,1206591.6,2009-05-04
34,1208893.5,2009-05-05
35,1217766.8,2009-05-06
36,1201504.5,2009-05-07
37,1212556.2,2009-05-08
38,1205987.5,2009-05-11
39,1199017.1,2009-05-12
40,1171880.6,2009-05-13
41,1181727.6,2009-05-14
42,1174728.6,2009-05-15
43,1200600.6,2009-05-18
44,1204816.9,2009-05-19
45,1203211.8,2009-05-20
46,1186204.9,2009-05-21
47,1186684.8,2009-05-22
48,1219034.1,2009-05-26
49,1205644.4,2009-05-27
50,1213483.5,2009-05-28
51,1226381.4,2009-05-29
52,1260248.9,2009-06-01
53,1261314.9,2009-06-02
54,1251272.1,2009-06-03
55,1255120.2,2009-06-04
56,1245127.1,2009-06-05
57,1240141.1,2009-06-08
58,1249821.8,2009-06-09
59,1242932.8,2009-06-10
60,1237268.1,2009-06-11
61,1236068.9,2009-06-12
62,1204592.6,2009-06-15
63,1192298.0,2009-06-16
64,1201542.9,2009-06-17
65,1209502.9,2009-06-18
66,1214282.9,2009-06-19
67,1184697.2,2009-06-22
68,1182113.6,2009-06-23
69,1195234.9,2009-06-24
70,1217209.0,2009-06-25
71,1221333.4,2009-06-26
72,1225901.4,2009-06-29
73,1222155.9,2009-06-30
74,1232883.0,2009-07-01
75,1203701.0,2009-07-02
76,1202614.5,2009-07-06
77,1181439.1,2009-07-07
78,1181862.5,2009-07-08
79,1187059.9,2009-07-09
80,1185897.6,2009-07-10
81,1208537.6,2009-07-13
82,1218175.9,2009-07-14
83,1242208.8,2009-07-15
84,1258225.6,2009-07-16
85,1258708.5,2009-07-17
86,1274309.6,2009-07-20
87,1282817.0,2009-07-21
88,1291539.2,2009-07-22
89,1337836.5,2009-07-23
90,1344564.6,2009-07-24
91,1346682.5,2009-07-27
92,1351312.9,2009-07-28
93,1349779.6,2009-07-29
94,1356177.5,2009-07-30
95,1357957.4,2009-07-31
96,1375815.6,2009-08-03
97,1374947.8,2009-08-04
98,1362580.8,2009-08-05
99,1356590.2,2009-08-06
100,1383853.8,2009-08-07
101,1387829.4,2009-08-10
102,1380543.4,2009-08-11
103,1395080.6,2009-08-12
104,1400906.1,2009-08-13
105,1381614.8,2009-08-14
106,1352170.1,2009-08-17
107,1365379.6,2009-08-18
108,1377506.6,2009-08-19
109,1387142.2,2009-08-20
110,1409735.9,2009-08-21
111,1405516.4,2009-08-24
112,1414382.1,2009-08-25
113,1415640.6,2009-08-26
114,1418030.0,2009-08-27
115,1414021.0,2009-08-28
116,1402922.2,2009-08-31
117,1377880.4,2009-09-01
118,1379656.8,2009-09-02
119,1390230.1,2009-09-03
120,1409140.0,2009-09-04
121,1416876.0,2009-09-08
122,1432822.8,2009-09-09
123,1452772.2,2009-09-10
124,1447907.6,2009-09-11
125,1449543.0,2009-09-14
126,1446109.4,2009-09-15
127,1464173.9,2009-09-16
128,1460817.0,2009-09-17
129,1467612.2,2009-09-18
130,1467143.1,2009-09-21
131,1471732.6,2009-09-22
132,1460788.8,2009-09-23
133,1453209.6,2009-09-24
134,1447694.2,2009-09-25
135,1463850.4,2009-09-28
136,1456017.2,2009-09-29
137,1458662.6,2009-09-30
138,1427048.0,2009-10-01
139,1421641.6,2009-10-02
140,1433961.5,2009-10-05
141,1455520.6,2009-10-06
142,1455431.0,2009-10-07
143,1458433.2,2009-10-08
144,1468862.2,2009-10-09
145,1474448.2,2009-10-12
146,1473607.4,2009-10-13
147,1488706.9,2009-10-14
148,1486366.8,2009-10-15
149,1475453.4,2009-10-16
150,1491839.2,2009-10-19
151,1485561.1,2009-10-20
152,1462606.1,2009-10-21
153,1478642.5,2009-10-22
154,1465982.9,2009-10-23
155,1457629.2,2009-10-26
156,1445893.8,2009-10-27
157,1415808.1,2009-10-28
158,1439551.5,2009-10-29
159,1405800.0,2009-10-30
160,1418734.4,2009-11-02
161,1423400.6,2009-11-03
162,1426826.6,2009-11-04
163,1460107.2,2009-11-05
164,1460237.6,2009-11-06
165,1481650.1,2009-11-09
166,1486657.1,2009-11-10
167,1508870.2,2009-11-11
168,1495209.1,2009-11-12
169,1506807.8,2009-11-13
170,1531260.2,2009-11-16
171,1532917.0,2009-11-17
172,1523351.0,2009-11-18
173,1500350.8,2009-11-19
174,1496649.9,2009-11-20
175,1516436.1,2009-11-23
176,1519152.4,2009-11-24
177,1524406.5,2009-11-25
178,1506210.8,2009-11-27
179,1502947.1,2009-11-30
180,1523157.8,2009-12-01
181,1533103.1,2009-12-02
182,1525780.9,2009-12-03
183,1529536.2,2009-12-04
184,1530747.6,2009-12-07
185,1521644.4,2009-12-08
186,1522890.8,2009-12-09
187,1532074.1,2009-12-10
188,1538661.1,2009-12-11
189,1551758.4,2009-12-14
190,1548961.6,2009-12-15
191,1556345.9,2009-12-16
192,1539105.2,2009-12-17
193,1550055.0,2009-12-18
194,1567082.2,2009-12-21
195,1572974.0,2009-12-22
196,1574830.5,2009-12-23
197,1580750.8,2009-12-24
198,1581895.5,2009-12-28
199,1580349.0,2009-12-29
200,1583125.0,2009-12-30
201,1566366.0,2009-12-31
202,1587380.1,2010-01-04
203,1591303.1,2010-01-05
204,1595077.0,2010-01-06
205,1596679.9,2010-01-07
206,1599662.5,2010-01-08
207,1601674.6,2010-01-11
208,1583539.6,2010-01-12
209,1595363.0,2010-01-13
210,1590350.2,2010-01-14
211,1571862.1,2010-01-15
212,1591363.8,2010-01-19
213,1571699.1,2010-01-20
214,1552484.6,2010-01-21
215,1533022.5,2010-01-22
216,1537092.8,2010-01-25
217,1533554.0,2010-01-26
218,1544721.0,2010-01-27
219,1521272.2,2010-01-28
220,1509741.4,2010-01-29
221,1525548.5,2010-02-01
222,1542362.0,2010-02-02
223,1544476.6,2010-02-03
224,1498597.1,2010-02-04
225,1502823.1,2010-02-05
226,1493484.9,2010-02-08
227,1513701.4,2010-02-09
228,1511492.0,2010-02-10
229,1529947.0,2010-02-11
230,1534417.4,2010-02-12
231,1551106.1,2010-02-16
232,1561196.4,2010-02-17
233,1565568.9,2010-02-18
234,1571073.0,2010-02-19
235,1568793.2,2010-02-22
236,1549100.5,2010-02-23
237,1574511.0,2010-02-24
238,1571213.6,2010-02-25
239,1577750.6,2010-02-26
240,1598205.5,2010-03-01
241,1599469.4,2010-03-02
242,1594868.4,2010-03-03
243,1597925.1,2010-03-04
244,1618233.8,2010-03-05
245,1621640.9,2010-03-08
246,1625450.5,2010-03-09
247,1632699.0,2010-03-10
248,1634064.4,2010-03-11
249,1631629.8,2010-03-12
250,1629175.5,2010-03-15
251,1643177.5,2010-03-16
252,1648657.0,2010-03-17
253,1653495.8,2010-03-18
254,1646849.6,2010-03-19
255,1664170.1,2010-03-22
256,1682164.8,2010-03-23
257,1667196.8,2010-03-24
258,1670865.4,2010-03-25
259,1664907.2,2010-03-26
260,1675046.1,2010-03-29
261,1677433.5,2010-03-30
262,1670326.2,2010-03-31
263,1678714.9,2010-04-01
264,1690481.0,2010-04-05
265,1689293.2,2010-04-06
266,1674616.1,2010-04-07
267,1676448.0,2010-04-08
268,1685415.1,2010-04-09
269,1688324.4,2010-04-12
270,1693591.4,2010-04-13
271,1714964.1,2010-04-14
272,1714941.5,2010-04-15
273,1696696.8,2010-04-16
274,1695448.1,2010-04-19
275,1703204.9,2010-04-20
