,account_value,date
0,1036860.25,2009-03-17
1,1060278.8,2009-03-18
2,1055249.0,2009-03-19
3,1038201.44,2009-03-20
4,1091524.2,2009-03-23
5,1066422.2,2009-03-24
6,1069032.6,2009-03-25
7,1108301.5,2009-03-26
8,1086176.1,2009-03-27
9,1064908.4,2009-03-30
10,1076641.6,2009-03-31
11,1088454.2,2009-04-01
12,1115844.6,2009-04-02
13,1137684.1,2009-04-03
14,1132896.5,2009-04-06
15,1109669.8,2009-04-07
16,1133701.5,2009-04-08
17,1160528.1,2009-04-09
18,1157569.2,2009-04-13
19,1147348.0,2009-04-14
20,1143511.6,2009-04-15
21,1163965.5,2009-04-16
22,1171258.2,2009-04-17
23,1129676.2,2009-04-20
24,1148900.4,2009-04-21
25,1153634.5,2009-04-22
26,1157542.2,2009-04-23
27,1182620.5,2009-04-24
28,1172140.6,2009-04-27
29,1170546.9,2009-04-28
30,1185361.0,2009-04-29
31,1207313.8,2009-04-30
32,1202133.1,2009-05-01
33,1225206.9,2009-05-04
34,1221537.4,2009-05-05
35,1214714.2,2009-05-06
36,1188852.6,2009-05-07
37,1193676.4,2009-05-08
38,1188309.2,2009-05-11
39,1178220.4,2009-05-12
40,1149750.2,2009-05-13
41,1162390.8,2009-05-14
42,1162047.0,2009-05-15
43,1191330.4,2009-05-18
44,1195737.5,2009-05-19
45,1192576.2,2009-05-20
46,1172544.4,2009-05-21
47,1165829.1,2009-05-22
48,1202212.0,2009-05-26
49,1188041.5,2009-05-27
50,1196214.2,2009-05-28
51,1205787.8,2009-05-29
52,1243027.0,2009-06-01
53,1248956.9,2009-06-02
54,1242147.2,2009-06-03
55,1248941.5,2009-06-04
56,1246358.9,2009-06-05
57,1231672.5,2009-06-08
58,1240904.0,2009-06-09
59,1247350.0,2009-06-10
60,1244235.8,2009-06-11
61,1246431.8,2009-06-12
62,1223178.0,2009-06-15
63,1209771.6,2009-06-16
64,1225418.0,2009-06-17
65,1225368.1,2009-06-18
66,1230451.6,2009-06-19
67,1200164.6,2009-06-22
68,1197026.8,2009-06-23
69,1208045.4,2009-06-24
70,1234933.8,2009-06-25
71,1239548.8,2009-06-26
72,1245122.9,2009-06-29
73,1235907.8,2009-06-30
74,1242652.2,2009-07-01
75,1212785.9,2009-07-02
76,1212003.6,2009-07-06
77,1185599.0,2009-07-07
78,1197766.9,2009-07-08
79,1204705.9,2009-07-09
80,1203454.0,2009-07-10
81,1226769.1,2009-07-13
82,1232838.9,2009-07-14
83,1272046.8,2009-07-15
84,1288523.0,2009-07-16
85,1292265.2,2009-07-17
86,1303654.1,2009-07-20
87,1303783.4,2009-07-21
88,1316060.0,2009-07-22
89,1345887.2,2009-07-23
90,1348550.5,2009-07-24
91,1342267.4,2009-07-27
92,1343457.5,2009-07-28
93,1344694.0,2009-07-29
94,1360340.4,2009-07-30
95,1353653.9,2009-07-31
96,1368535.4,2009-08-03
97,1375206.8,2009-08-04
98,1359086.9,2009-08-05
99,1353552.5,2009-08-06
100,1368374.4,2009-08-07
101,1359579.2,2009-08-10
102,1349186.9,2009-08-11
103,1373375.6,2009-08-12
104,1381608.1,2009-08-13
105,1367287.8,2009-08-14
106,1335528.8,2009-08-17
107,1348518.8,2009-08-18
108,1356758.4,2009-08-19
109,1370043.1,2009-08-20
110,1399484.4,2009-08-21
111,1389882.1,2009-08-24
112,1396709.0,2009-08-25
113,1402358.4,2009-08-26
114,1406458.6,2009-08-27
115,1409308.5,2009-08-28
116,1397948.2,2009-08-31
117,1374918.1,2009-09-01
118,1371845.9,2009-09-02
119,1387270.8,2009-09-03
120,1404914.4,2009-09-04
121,1422655.1,2009-09-08
122,1433599.5,2009-09-09
123,1450136.6,2009-09-10
124,1453227.9,2009-09-11
125,1458404.5,2009-09-14
126,1463414.9,2009-09-15
