,account_value,date
0,1016742.1,2020-09-14
1,1019998.2,2020-09-15
2,1020147.8,2020-09-16
3,1012756.7,2020-09-17
4,1003160.9,2020-09-18
5,985268.9,2020-09-21
6,992451.75,2020-09-22
7,969887.8,2020-09-23
8,973469.9,2020-09-24
9,984763.75,2020-09-25
10,998569.5,2020-09-28
11,994190.75,2020-09-29
12,995957.3,2020-09-30
13,1003409.0,2020-10-01
14,993934.56,2020-10-02
15,1009876.1,2020-10-05
16,1000625.2,2020-10-06
17,1015433.9,2020-10-07
18,1031279.25,2020-10-08
19,1039874.25,2020-10-09
20,1048706.8,2020-10-12
21,1042415.1,2020-10-13
22,1038527.7,2020-10-14
23,1036125.9,2020-10-15
24,1036240.0,2020-10-16
25,1027508.94,2020-10-19
26,1030603.3,2020-10-20
27,1026619.94,2020-10-21
28,1034243.75,2020-10-22
29,1036154.8,2020-10-23
30,1016178.2,2020-10-26
31,1015752.94,2020-10-27
32,984988.6,2020-10-28
33,993851.3,2020-10-29
34,984847.56,2020-10-30
35,996408.25,2020-11-02
36,1014987.5,2020-11-03
37,1027206.6,2020-11-04
38,1047847.0,2020-11-05
39,1048248.94,2020-11-06
40,1065841.1,2020-11-09
41,1064345.5,2020-11-10
42,1068845.2,2020-11-11
43,1058970.4,2020-11-12
44,1076101.1,2020-11-13
45,1088037.2,2020-11-16
46,1085637.2,2020-11-17
47,1076213.6,2020-11-18
48,1084008.1,2020-11-19
49,1082675.9,2020-11-20
50,1089078.5,2020-11-23
51,1101922.0,2020-11-24
52,1102740.0,2020-11-25
53,1109459.2,2020-11-27
54,1103883.1,2020-11-30
55,1116274.4,2020-12-01
56,1115034.2,2020-12-02
57,1118493.2,2020-12-03
58,1131195.4,2020-12-04
59,1131742.5,2020-12-07
60,1133128.6,2020-12-08
61,1122601.2,2020-12-09
62,1125914.1,2020-12-10
63,1120248.2,2020-12-11
64,1121753.0,2020-12-14
65,1133776.0,2020-12-15
66,1133749.1,2020-12-16
67,1144946.0,2020-12-17
68,1143922.1,2020-12-18
69,1137441.9,2020-12-21
