,account_value,date
0,1015829.6,2020-09-14
1,1019131.25,2020-09-15
2,1017847.0,2020-09-16
3,1010566.3,2020-09-17
4,1000978.94,2020-09-18
5,983334.1,2020-09-21
6,989775.8,2020-09-22
7,967112.5,2020-09-23
8,970909.25,2020-09-24
9,982290.0,2020-09-25
10,995634.1,2020-09-28
11,991335.9,2020-09-29
12,993192.9,2020-09-30
13,1000956.7,2020-10-01
14,991320.25,2020-10-02
15,1006882.5,2020-10-05
16,997639.4,2020-10-06
17,1011841.1,2020-10-07
18,1026293.4,2020-10-08
19,1034974.1,2020-10-09
20,1043783.9,2020-10-12
21,1037144.7,2020-10-13
22,1033177.6,2020-10-14
23,1030418.2,2020-10-15
24,1030544.7,2020-10-16
25,1021546.5,2020-10-19
26,1024744.6,2020-10-20
27,1020274.1,2020-10-21
28,1027560.9,2020-10-22
29,1029624.9,2020-10-23
30,1009844.3,2020-10-26
31,1009702.4,2020-10-27
32,978762.2,2020-10-28
33,987603.7,2020-10-29
34,978997.4,2020-10-30
35,990828.75,2020-11-02
36,1008842.6,2020-11-03
37,1021481.25,2020-11-04
38,1042607.6,2020-11-05
39,1042813.6,2020-11-06
40,1062240.4,2020-11-09
41,1060240.6,2020-11-10
42,1063985.1,2020-11-11
43,1053884.0,2020-11-12
44,1071035.4,2020-11-13
45,1083210.0,2020-11-16
46,1080644.0,2020-11-17
47,1071234.1,2020-11-18
48,1078832.4,2020-11-19
49,1077195.9,2020-11-20
50,1083062.8,2020-11-23
51,1095827.8,2020-11-24
52,1096392.6,2020-11-25
53,1103203.5,2020-11-27
54,1097493.2,2020-11-30
55,1109809.9,2020-12-01
56,1108664.8,2020-12-02
57,1112518.9,2020-12-03
58,1124997.8,2020-12-04
59,1125946.9,2020-12-07
60,1127073.9,2020-12-08
61,1117279.4,2020-12-09
62,1120615.5,2020-12-10
63,1115530.5,2020-12-11
64,1116721.2,2020-12-14
65,1128561.5,2020-12-15
66,1128598.0,2020-12-16
67,1139513.8,2020-12-17
68,1138658.0,2020-12-18
69,1132107.2,2020-12-21
70,1129029.5,2020-12-22
71,1134509.0,2020-12-23
72,1135557.8,2020-12-24
73,1137799.5,2020-12-28
74,1139774.2,2020-12-29
75,1143884.5,2020-12-30
76,1144809.0,2020-12-31
