,0_model,0_baseline
Annual return,0.1204941605577563,0.06645528453394434
Cumulative returns,0.41379213333129883,0.21538821275864328
Annual volatility,0.1603003525959509,0.14807955819028487
Sharpe ratio,0.7908642241544322,0.5091431994961778
Calmar ratio,0.6192659277339738,0.30288445703587075
Stability,0.7582983605502345,0.4071382129181897
Max drawdown,-0.19457579556923169,-0.2194080382476477
Omega ratio,1.143383665172057,1.0908009926555746
Sortino ratio,1.1581732888448621,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.1110496783796182,1.0271345051583645
Daily value at risk,-0.019692867470439523,-0.018357089375590302
