,0_model,0_baseline
Annual return,0.13436086903257527,0.06645528453394434
Cumulative returns,0.46772146224975586,0.21538821275864328
Annual volatility,0.14636845315701186,0.14807955819028487
Sharpe ratio,0.935783437647468,0.5091431994961778
Calmar ratio,0.7600322882765262,0.30288445703587075
Stability,0.7141659846088867,0.4071382129181897
Max drawdown,-0.17678310659308477,-0.2194080382476477
Omega ratio,1.17030685121576,1.0908009926555746
Sortino ratio,1.3583467760559527,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0826458777168444,1.0271345051583645
Daily value at risk,-0.017897163284942508,-0.018357089375590302
