,dates,weights
0,2009-03-17,"[0.05472509 0.03884357 0.04593553 0.03883585 0.02479845 0.03599069
 0.03082168 0.03148104 0.0244547  0.03897253 0.05899559 0.02751062
 0.02975769 0.04478942 0.06051701 0.0245066  0.02887885 0.02420307
 0.06138811 0.05025433 0.02576922 0.03018545 0.03086782 0.02755158
 0.06040986 0.04955567]"
1,2009-03-18,"[0.0562481  0.0392075  0.0442717  0.03901438 0.02894451 0.03735937
 0.03024014 0.03265952 0.023754   0.04121292 0.0627269  0.02667163
 0.02977996 0.04677236 0.0530749  0.02437736 0.02363155 0.0260573
 0.06185052 0.05019519 0.02541278 0.02810489 0.03162111 0.02753588
 0.05992201 0.04935357]"
2,2009-03-19,"[0.05773908 0.03152077 0.04426517 0.03929247 0.02653302 0.03598541
 0.03221871 0.03431122 0.02488335 0.0378541  0.06133798 0.02638778
 0.03144695 0.04598022 0.05504676 0.024346   0.02359914 0.0240334
 0.06337443 0.04919866 0.0250934  0.02865653 0.03354127 0.02698911
 0.06769358 0.04867145]"
3,2009-03-20,"[0.05980261 0.03454182 0.04833148 0.04065152 0.02363467 0.04041585
 0.03029499 0.03215928 0.02402533 0.03818048 0.06367528 0.02582944
 0.03110146 0.04902807 0.04638283 0.02555965 0.02334303 0.02466576
 0.05955651 0.05302986 0.02561708 0.02980947 0.03416161 0.02724264
 0.05822015 0.05073914]"
4,2009-03-23,"[0.05249104 0.0395358  0.04234814 0.03963925 0.03049451 0.03716849
 0.03034206 0.0291874  0.02539452 0.03818052 0.05939779 0.02853327
 0.02991415 0.04468995 0.05776117 0.02306861 0.02605137 0.02523676
 0.06332296 0.04801519 0.0259328  0.02952565 0.03306881 0.02728012
 0.06197406 0.05144559]"
5,2009-03-24,"[0.05931863 0.03732872 0.04553297 0.04190433 0.02405895 0.03767831
 0.03003004 0.03273113 0.02365495 0.03678233 0.06244246 0.02493496
 0.03206714 0.04766448 0.05710583 0.025398   0.0245265  0.02354188
 0.06041906 0.05360557 0.0227659  0.02982936 0.0324026  0.02855792
 0.05658121 0.0491368 ]"
6,2009-03-25,"[0.0567576  0.03751458 0.04509761 0.03900079 0.0273788  0.04160123
 0.03044107 0.03174415 0.02387804 0.03857432 0.05844626 0.02409316
 0.02996051 0.04581962 0.05250286 0.02466392 0.02629828 0.02416942
 0.0634255  0.04845952 0.02536159 0.02979996 0.04000071 0.02746066
 0.05932543 0.04822445]"
7,2009-03-26,"[0.05471396 0.03835331 0.04350983 0.04225054 0.02793236 0.04016748
 0.02995449 0.03366249 0.02360815 0.04038681 0.06281445 0.02493849
 0.02842448 0.0460295  0.05334822 0.02367608 0.02757128 0.02464403
 0.06210655 0.04874111 0.02398331 0.03232029 0.03075866 0.0267603
 0.06164239 0.04770146]"
8,2009-03-27,"[0.05882008 0.03678975 0.04549627 0.04453059 0.03192381 0.03668655
 0.02880783 0.03400581 0.02315793 0.03960378 0.05574739 0.02395526
 0.03322628 0.04514663 0.06122698 0.02511953 0.02822092 0.02419498
 0.05965277 0.0490097  0.02277987 0.02805714 0.03268251 0.02739032
 0.05621377 0.04755367]"
9,2009-03-30,"[0.06049731 0.03626291 0.04817609 0.04136476 0.022598   0.03912313
 0.03006873 0.03353811 0.02221851 0.03913181 0.06299447 0.02532325
 0.03130553 0.04847604 0.05749387 0.02492318 0.02477615 0.02260791
 0.0571821  0.05209941 0.02463177 0.03015606 0.03264951 0.02680503
 0.0589426  0.04665373]"
10,2009-03-31,"[0.05621194 0.03823027 0.04313162 0.04081382 0.02587126 0.03564423
 0.0301107  0.03308992 0.02533046 0.03808106 0.06062246 0.02504728
 0.03095412 0.04634888 0.05623242 0.02470022 0.02537269 0.02546153
 0.06210388 0.05243466 0.02500892 0.02994048 0.03284004 0.02713123
 0.05905043 0.05023555]"
11,2009-04-01,"[0.05582035 0.03762645 0.04250332 0.03956207 0.02731536 0.03843905
 0.03015752 0.03274952 0.02354713 0.03734024 0.06359277 0.02682479
 0.02988708 0.04185887 0.05511595 0.02404187 0.02458049 0.02450592
 0.06490207 0.05255035 0.02433624 0.02868836 0.0303445  0.02688427
 0.06509556 0.05172988]"
12,2009-04-02,"[0.05382243 0.03842593 0.04324432 0.03681311 0.02505567 0.03518511
 0.03035266 0.03349351 0.02565421 0.03896426 0.05999501 0.02571736
 0.03056262 0.04632068 0.05641487 0.02252386 0.02710581 0.02523817
 0.06239507 0.05199208 0.02414441 0.02955001 0.03173345 0.02684264
 0.0608636  0.05758909]"
13,2009-04-03,"[0.05590431 0.03848251 0.0436851  0.04025929 0.02815442 0.04077022
 0.03152177 0.03287717 0.02367979 0.03824665 0.06097021 0.02446408
 0.02942479 0.04498831 0.05197356 0.02384887 0.02446917 0.02732516
 0.06431129 0.04993176 0.02604091 0.02877353 0.03033153 0.02752702
 0.05902277 0.0530158 ]"
14,2009-04-06,"[0.05763257 0.03996586 0.04501641 0.04259343 0.02416811 0.03959748
 0.02994057 0.03298504 0.02323517 0.03758354 0.06049248 0.02469327
 0.02946611 0.0458625  0.05893515 0.02500166 0.0248294  0.02297494
 0.06109225 0.04986442 0.02413582 0.03135953 0.03263364 0.02611221
 0.05774764 0.05208078]"
