,dates,weights
0,2009-03-17,"[0.0333284  0.01733124 0.01646142 0.0393303  0.01722982 0.04452027
 0.01714145 0.02136147 0.0465529  0.01781403 0.04524102 0.04589833
 0.0471682  0.03819424 0.01845549 0.01743752 0.01951512 0.04540319
 0.02083543 0.01818966 0.01763635 0.04551889 0.01825807 0.01726307
 0.01727261 0.01746753 0.04592733 0.01628722 0.02412083 0.02341317
 0.01925744 0.01833947 0.04549714 0.0235115  0.01914477 0.04367516]"
1,2009-03-18,"[0.03401356 0.01824841 0.01736887 0.03984409 0.0173545  0.04689267
 0.01866662 0.02103538 0.0448158  0.01771896 0.04515749 0.04480288
 0.04630256 0.0382201  0.01811749 0.01770938 0.01865243 0.04531622
 0.02127287 0.01788518 0.01910213 0.04649363 0.01826766 0.01609538
 0.01707685 0.01831221 0.04471065 0.01841903 0.02400614 0.0183325
 0.01992882 0.01846427 0.04605634 0.02329429 0.01840004 0.04364454]"
2,2009-03-19,"[0.03528921 0.0176815  0.01838733 0.03753444 0.01749476 0.04470393
 0.01645803 0.02184948 0.04736214 0.01807041 0.04506304 0.04586672
 0.04733799 0.04007337 0.01744521 0.01783939 0.01936941 0.04556311
 0.02122825 0.01841667 0.01963568 0.04643736 0.01810052 0.01649157
 0.01756529 0.01776655 0.04544366 0.02029602 0.02425749 0.01557662
 0.0194496  0.01848563 0.04334136 0.02250062 0.01773213 0.04388548]"
3,2009-03-20,"[0.03559845 0.01738989 0.01833309 0.03668048 0.01708475 0.04516048
 0.01679719 0.02153332 0.0469722  0.01742698 0.04531189 0.04447707
 0.04558873 0.04057873 0.01808066 0.01760211 0.0199292  0.04698133
 0.02209784 0.01805975 0.01727893 0.04589855 0.01832317 0.01678403
 0.01771198 0.01746774 0.04863198 0.01921189 0.02430754 0.01655694
 0.01659985 0.01739053 0.04661063 0.0234787  0.01835349 0.04371   ]"
4,2009-03-23,"[0.03294523 0.0181775  0.01665719 0.04106479 0.01796182 0.05013173
 0.01969429 0.0208261  0.04388164 0.01783928 0.04566682 0.04534779
 0.0473207  0.03785922 0.01752505 0.01735671 0.01902862 0.04582429
 0.01986447 0.01887597 0.01905967 0.04621207 0.01883648 0.01645757
 0.01736103 0.01879866 0.04402135 0.01799034 0.02395371 0.0173734
 0.01829901 0.01891451 0.04493886 0.02321902 0.01759628 0.04311874]"
5,2009-03-24,"[0.03549443 0.01828578 0.01762732 0.03933571 0.01709828 0.04667799
 0.01704973 0.02148348 0.04918268 0.01771127 0.04527849 0.04416983
 0.04605726 0.04021904 0.01748833 0.01737413 0.01938697 0.04606495
 0.02255698 0.01795932 0.01725679 0.04655754 0.01849823 0.0168524
 0.01779324 0.01704446 0.04788254 0.01998737 0.02412314 0.0191754
 0.01702867 0.0167833  0.0409683  0.02273388 0.01779714 0.04301564]"
6,2009-03-25,"[0.03460015 0.01804959 0.0170869  0.04075957 0.01807036 0.04493371
 0.01767777 0.02149915 0.04553418 0.01767402 0.04464053 0.04639066
 0.04569333 0.03987783 0.01840959 0.01729302 0.01908665 0.04714882
 0.02172854 0.01822979 0.0190505  0.04672485 0.01869524 0.01776082
 0.01682981 0.01697435 0.04560628 0.01727704 0.02431031 0.01713897
 0.01805154 0.01757842 0.04423025 0.02372674 0.01839098 0.04326969]"
7,2009-03-26,"[0.03372357 0.01805731 0.01622294 0.03931372 0.01796605 0.045515
 0.01822194 0.0211765  0.04819778 0.01739425 0.0457752  0.04652702
 0.04615235 0.03952697 0.01792969 0.01767399 0.01895067 0.04573248
 0.02167339 0.01763147 0.0180514  0.04605277 0.01872006 0.01728584
 0.01851104 0.01792799 0.04441027 0.0168128  0.02407455 0.01811457
 0.0170669  0.01844129 0.04622443 0.02248868 0.01879943 0.04365567]"
8,2009-03-27,"[0.03578455 0.01804702 0.01777029 0.04019338 0.01743167 0.04505179
 0.0172278  0.02183715 0.04556688 0.01765464 0.04553542 0.04346055
 0.04572162 0.03963735 0.01760573 0.01830169 0.02028877 0.04687085
 0.02173047 0.01829499 0.01734117 0.04744816 0.0188291  0.01742389
 0.01756589 0.01760615 0.04658617 0.02048725 0.02450797 0.01683815
 0.01568113 0.01880736 0.04118575 0.02354438 0.01847208 0.04366281]"
9,2009-03-30,"[0.03574198 0.01715682 0.01731587 0.03920828 0.01707998 0.04417675
 0.01595283 0.0220394  0.04551207 0.01766486 0.04467271 0.04688986
 0.04630982 0.03972881 0.01775042 0.01715529 0.02059613 0.04671794
 0.02172853 0.0184806  0.01831087 0.04643121 0.01840146 0.01741351
 0.01777121 0.01710334 0.04631704 0.01927251 0.02413462 0.01675207
 0.01793741 0.01827307 0.04544358 0.02339982 0.01759917 0.04356023]"
