,dates,weights
0,2009-03-17,"[0.03755858 0.01751879 0.01722126 0.04057017 0.01713147 0.03748742
 0.03977256 0.04009686 0.01790793 0.04174613 0.03951371 0.04222332
 0.04023215 0.01606737 0.0385454  0.04206642 0.03200671 0.01677933
 0.03315115 0.04053729 0.04004487 0.01845479 0.03803465 0.01563378
 0.01624799 0.03657393 0.03851196 0.04005149 0.04124096 0.01589704
 0.03535296 0.01582155]"
1,2009-03-18,"[0.03829141 0.01676616 0.01693001 0.03977551 0.01598284 0.03853371
 0.04145932 0.040144   0.01777283 0.0398651  0.0376184  0.04336756
 0.04114344 0.01618177 0.03818047 0.0426063  0.03295418 0.01689938
 0.03146181 0.0418807  0.03922848 0.01882466 0.03939278 0.01668162
 0.01667394 0.03679168 0.03712577 0.03986385 0.04119458 0.01586877
 0.03437746 0.01616141]"
2,2009-03-19,"[0.03959646 0.01743581 0.01618028 0.04124364 0.01654648 0.04025147
 0.04310036 0.04102553 0.01716662 0.03783423 0.04085016 0.03975935
 0.0416029  0.01644431 0.04019903 0.04172499 0.03350998 0.01488478
 0.03185476 0.04200387 0.03966497 0.01861902 0.03870179 0.01558487
 0.01630826 0.03607235 0.03770201 0.04053773 0.03524727 0.01592128
 0.03601775 0.01640767]"
3,2009-03-20,"[0.03986225 0.01934134 0.0147401  0.04140424 0.01663738 0.037333
 0.04060375 0.03949032 0.01598646 0.04179505 0.04088104 0.04157572
 0.04117306 0.01553044 0.04009357 0.04096229 0.03488315 0.01510484
 0.03150546 0.04138312 0.04324565 0.01961735 0.03740538 0.01521708
 0.01642704 0.03683919 0.03815876 0.03913744 0.03552684 0.01575366
 0.03657652 0.01580854]"
4,2009-03-23,"[0.03617517 0.01690792 0.0167943  0.04180473 0.0157559  0.03891889
 0.0408886  0.03973953 0.01696716 0.04034058 0.03919638 0.04429977
 0.03882042 0.01728015 0.03888819 0.03982657 0.0316319  0.0184389
 0.03089535 0.041599   0.04281607 0.01827236 0.04034851 0.01573731
 0.01607901 0.03628471 0.0384101  0.03908708 0.03994416 0.01571861
 0.03595825 0.01617448]"
5,2009-03-24,"[0.03964659 0.01683491 0.01693073 0.04272964 0.01709736 0.03866562
 0.04094947 0.04065638 0.01662501 0.04097785 0.03847171 0.04172353
 0.04015388 0.01557716 0.03977804 0.04033699 0.03499278 0.01483771
 0.03218802 0.0422268  0.03824404 0.01880258 0.03866265 0.01548621
 0.01704884 0.03639495 0.03670704 0.03974549 0.0388975  0.01607539
 0.03573969 0.01679539]"
6,2009-03-25,"[0.03843451 0.01750918 0.01595245 0.04183323 0.0157052  0.03714669
 0.04127873 0.03994313 0.01791612 0.04142696 0.03798796 0.04182104
 0.04242643 0.01633757 0.03858618 0.04140401 0.03165418 0.0170268
 0.03098345 0.03977352 0.04257644 0.01888704 0.03870225 0.01527887
 0.01597464 0.03691932 0.0394102  0.03965689 0.04153717 0.01502611
 0.03550104 0.01538258]"
7,2009-03-26,"[0.03756258 0.01775149 0.01738616 0.04158205 0.0159847  0.03930636
 0.042571   0.03890957 0.01748607 0.04004615 0.03668452 0.03972192
 0.041501   0.01652686 0.03816948 0.04052211 0.03201786 0.01570955
 0.0312278  0.04168714 0.04254187 0.01861747 0.04291625 0.01579529
 0.01650297 0.03607851 0.03683195 0.03944541 0.04404149 0.01537962
 0.0337608  0.01573399]"
8,2009-03-27,"[0.04018857 0.01767123 0.01566326 0.04138545 0.01656012 0.03894793
 0.04156601 0.04059326 0.01702368 0.03881118 0.03656117 0.04134901
 0.04261411 0.01591105 0.03859534 0.0412055  0.03384285 0.01551684
 0.03152126 0.04040035 0.04311334 0.01750748 0.03988576 0.01545757
 0.01626524 0.03666294 0.03779357 0.03995246 0.0386054  0.01594508
 0.03625898 0.01662397]"
9,2009-03-30,"[0.04012572 0.01774428 0.01562453 0.04027255 0.01587539 0.03577385
 0.0419487  0.04001123 0.01741977 0.03987981 0.0387403  0.0397479
 0.04132349 0.01572423 0.04058766 0.05189824 0.03469574 0.01491036
 0.03010141 0.04046405 0.03997796 0.01889701 0.03749564 0.01575835
 0.01598058 0.03658495 0.03790385 0.03978648 0.03716187 0.0156798
 0.03588681 0.01601749]"
