,dates,weights
0,2009-03-17,"[0.03987715 0.01970881 0.03962311 0.02847814 0.02705861 0.01674318
 0.01599033 0.04306611 0.02071263 0.04310843 0.01704558 0.01639593
 0.01662373 0.01664798 0.03318664 0.04291099 0.04368792 0.04461349
 0.01596877 0.03320186 0.03020698 0.04180888 0.02176623 0.024863
 0.0160174  0.01625177 0.02125089 0.04143672 0.0351524  0.01646255
 0.01924906 0.01935593 0.01596456 0.02008902 0.04287599 0.04259909]"
1,2009-03-18,"[0.04074002 0.01981874 0.03959658 0.02822054 0.0269465  0.01655638
 0.01606433 0.04414651 0.02073576 0.04256444 0.01667551 0.01662015
 0.01673037 0.01716029 0.03316777 0.04071935 0.04315062 0.04460803
 0.01630874 0.03472401 0.03072588 0.04006561 0.02141003 0.0242905
 0.01631829 0.01622443 0.02028672 0.04221811 0.03455039 0.01658626
 0.01992623 0.01920822 0.01667064 0.02057541 0.04284879 0.04283978]"
2,2009-03-19,"[0.04149918 0.01947544 0.03940392 0.02896557 0.02721879 0.01584426
 0.01633653 0.04591181 0.02027195 0.04320765 0.0168819  0.01654916
 0.01664492 0.01677881 0.03283993 0.04086662 0.04312917 0.04398823
 0.01672624 0.03366889 0.02990565 0.04242027 0.02146594 0.02483491
 0.0158323  0.01653562 0.02001174 0.04142724 0.03277733 0.0163958
 0.02016304 0.01920632 0.0181195  0.02031604 0.04155545 0.04282388]"
3,2009-03-20,"[0.04197575 0.01933137 0.03982116 0.02946778 0.02777514 0.01623985
 0.01591689 0.04351356 0.02067413 0.04299635 0.01683443 0.01657082
 0.01616995 0.01649907 0.03231227 0.04174372 0.04191208 0.04188897
 0.01688417 0.03223999 0.02979608 0.0431178  0.02188281 0.02527369
 0.01700949 0.01598823 0.02032044 0.04277207 0.03443383 0.01674234
 0.01875152 0.01928973 0.01743674 0.02104428 0.04195105 0.0434224 ]"
4,2009-03-23,"[0.03912484 0.01938683 0.03855882 0.02911815 0.02699018 0.01721037
 0.01727061 0.0441825  0.02124413 0.04125679 0.01718535 0.01700057
 0.01692242 0.01720299 0.03299164 0.04189786 0.04417698 0.04408502
 0.01613477 0.0340684  0.0296122  0.04263161 0.02197947 0.02488777
 0.01619683 0.01629756 0.02097321 0.04242061 0.03403696 0.01622116
 0.01903174 0.01935184 0.01607692 0.0187759  0.04316064 0.04233635]"
5,2009-03-24,"[0.04184977 0.01970172 0.03922772 0.02860809 0.0275625  0.01651714
 0.01631733 0.04349427 0.02024174 0.04259973 0.01643456 0.01695144
 0.01661017 0.01712556 0.03219639 0.04222512 0.04333856 0.04267403
 0.01661908 0.03267343 0.02966323 0.04307235 0.02168578 0.02532125
 0.016402   0.01577573 0.02130441 0.0427181  0.03426122 0.01654248
 0.01914012 0.01903528 0.01785921 0.0196049  0.04136813 0.04327749]"
6,2009-03-25,"[0.04079627 0.01927258 0.03827191 0.02905749 0.02730765 0.01614828
 0.01538163 0.04300758 0.02068301 0.0444511  0.01668612 0.01618521
 0.01752234 0.01670197 0.03234383 0.04259849 0.04325885 0.0445422
 0.0165156  0.03268357 0.03058651 0.0417354  0.02425504 0.0241985
 0.01597753 0.0163321  0.02033939 0.04312475 0.03511573 0.01616816
 0.01923323 0.01886639 0.01639527 0.01901469 0.04222278 0.04301887]"
7,2009-03-26,"[0.03975682 0.019343   0.03908481 0.0295023  0.02802945 0.01648866
 0.01695392 0.04358359 0.02047487 0.04289763 0.0166728  0.01639994
 0.016977   0.01710289 0.03350961 0.04149675 0.04593578 0.04450892
 0.01587182 0.03435404 0.02957532 0.04092191 0.02179605 0.02516702
 0.01576141 0.01607041 0.01966159 0.0417628  0.03530506 0.01666355
 0.01896545 0.01861952 0.01608886 0.02050619 0.04188495 0.04230537]"
8,2009-03-27,"[0.0420829  0.01989135 0.03926496 0.0288408  0.02690774 0.01671547
 0.01624981 0.04275652 0.02056387 0.04398546 0.01678945 0.01645638
 0.01614078 0.01657308 0.03264927 0.04302489 0.04297628 0.04307327
 0.01686187 0.03213688 0.03014383 0.04294432 0.02149677 0.02508048
 0.0163866  0.01631089 0.02069511 0.04340568 0.03335465 0.01676005
 0.01841423 0.01933229 0.01664804 0.01902487 0.04235102 0.04371024]"
9,2009-03-30,"[0.04229942 0.01953668 0.04028434 0.02944235 0.02766193 0.01577933
 0.01556973 0.04310668 0.02033672 0.04519312 0.01670286 0.01637113
 0.01620574 0.01646545 0.03214092 0.04250656 0.04278852 0.04173102
 0.01640887 0.0318893  0.03026556 0.04150609 0.02212579 0.02546986
 0.01634566 0.0164505  0.02156732 0.04263299 0.03478785 0.0167219
 0.01937502 0.01904756 0.01563484 0.01969917 0.04253858 0.04341066]"
10,2009-03-31,"[0.04082248 0.0194356  0.03907934 0.02835799 0.02782434 0.01620318
 0.01620219 0.04333325 0.02077894 0.04220074 0.01669605 0.01639707
 0.01727922 0.01673481 0.0331792  0.04277484 0.04356537 0.04285866
 0.01626614 0.03362396 0.03015869 0.04284353 0.02148918 0.02521277
 0.01625325 0.01628877 0.02148336 0.04209257 0.03328301 0.0160236
 0.01946775 0.01901369 0.01716604 0.01979338 0.04299215 0.04282495]"
11,2009-04-01,"[0.04096734 0.0192655  0.03924483 0.02973406 0.02717855 0.01659862
 0.01655095 0.04262045 0.02118679 0.04174637 0.01739378 0.01669959
 0.01664924 0.01702387 0.0326116  0.04180861 0.04269972 0.04392744
 0.01664229 0.03413085 0.03027268 0.04310515 0.02165572 0.02508521
 0.01632704 0.01615815 0.01999044 0.04341523 0.03245214 0.01648727
 0.0193733  0.01957867 0.01654842 0.01982025 0.04176996 0.04327997]"
12,2009-04-02,"[0.03976293 0.019555   0.03937333 0.02992472 0.02719172 0.01652435
 0.01717306 0.04336683 0.02137807 0.04114557 0.01672839 0.01711804
 0.01727285 0.01755974 0.03306371 0.04275373 0.04540446 0.04447998
 0.0159953  0.03373288 0.02960954 0.04117126 0.02228065 0.02480237
 0.01571248 0.01680879 0.01985366 0.04219339 0.03392926 0.01614083
 0.0191711  0.01891839 0.01711985 0.01889896 0.04180617 0.04207873]"
13,2009-04-03,"[0.04092661 0.02054971 0.03976256 0.02978394 0.0271516  0.01616752
 0.01626163 0.04286898 0.02023584 0.04166388 0.01748592 0.01691572
 0.0166874  0.01652996 0.03309853 0.0415429  0.04406388 0.04618494
 0.01615253 0.03462281 0.03002965 0.0421336  0.02159691 0.02496441
 0.01583979 0.01654188 0.02072326 0.04254229 0.03303043 0.01626424
 0.01937957 0.01921747 0.01594774 0.01919061 0.04116903 0.04277233]"
14,2009-04-06,"[0.04122483 0.0193919  0.03907172 0.02930468 0.02804116 0.0162884
 0.01580549 0.04308671 0.02022152 0.0431392  0.01640779 0.01653826
 0.01683641 0.0166339  0.03263084 0.04347783 0.04255199 0.04217062
 0.01641765 0.03240035 0.02972144 0.04165203 0.0218433  0.02477683
 0.01641563 0.01603661 0.02143001 0.04269263 0.03589633 0.01671761
 0.01912173 0.01898942 0.01609249 0.01888618 0.04542116 0.04266542]"
15,2009-04-07,"[0.04196751 0.01956576 0.03918965 0.02890576 0.02765648 0.01629646
 0.01600111 0.04257517 0.02045702 0.04538255 0.01652951 0.01606296
 0.01650677 0.01688241 0.03254306 0.04238067 0.0419092  0.04226169
 0.01657152 0.03207939 0.03033964 0.04288745 0.02174297 0.02474239
 0.01633369 0.01606469 0.02026825 0.04259758 0.03387464 0.0162081
 0.01937542 0.0191245  0.01609323 0.01942488 0.04631202 0.04288588]"
16,2009-04-08,"[0.04077078 0.01972116 0.03912831 0.02891102 0.02791767 0.01645083
 0.01649617 0.04308305 0.02066096 0.04217127 0.01701086 0.01644454
 0.01674973 0.01687508 0.03207517 0.04410659 0.04410458 0.0445478
 0.01637165 0.03379107 0.0298476  0.0411617  0.02187539 0.02521208
 0.01641413 0.01617402 0.0199312  0.04202862 0.03449776 0.01684265
 0.01970129 0.01886059 0.01627905 0.02009485 0.04101868 0.04267208]"
17,2009-04-09,"[0.03974526 0.01954595 0.03915705 0.029021   0.02708602 0.01617609
 0.0162666  0.04323383 0.02039447 0.04181829 0.01737808 0.01673931
 0.01744201 0.01703015 0.0331102  0.04535545 0.0446029  0.04477498
 0.0158165  0.03417298 0.02959312 0.04142078 0.02330318 0.024864
 0.0154277  0.0165811  0.02037901 0.04175143 0.0346516  0.01657329
 0.01889845 0.01897968 0.01607182 0.01995072 0.04280699 0.03988003]"
