,dates,weights
0,2009-03-17,"[0.05116234 0.0209487  0.05393498 0.03705092 0.02256384 0.05038775
 0.02825525 0.02944178 0.05123247 0.04696268 0.0514223  0.03989243
 0.02634039 0.03942836 0.02186785 0.04563858 0.0518331  0.05273378
 0.02468886 0.02109642 0.04104137 0.02399859 0.03588364 0.0541154
 0.02513502 0.05294324]"
1,2009-03-18,"[0.05187467 0.02071626 0.05886266 0.03597935 0.02144668 0.05098994
 0.02839679 0.02890126 0.05084329 0.0450911  0.05138915 0.03984282
 0.02641493 0.03993792 0.02439083 0.04465222 0.05162625 0.05120707
 0.02487896 0.02136781 0.04081384 0.02384556 0.03496351 0.05249508
 0.02516005 0.0539119 ]"
2,2009-03-19,"[0.05329825 0.02091538 0.05391023 0.03662952 0.02171    0.05042475
 0.02689599 0.02980984 0.05152725 0.0461976  0.04991582 0.03928848
 0.02644837 0.04059594 0.02400479 0.0462005  0.05082585 0.05355934
 0.0252011  0.02143338 0.04104999 0.02347978 0.03300472 0.05326618
 0.02463726 0.05576977]"
3,2009-03-20,"[0.05391738 0.02113127 0.05280578 0.0381338  0.0222779  0.04856752
 0.02661104 0.02952402 0.05017846 0.04721332 0.05017668 0.03927723
 0.02549251 0.04289635 0.02210703 0.04603052 0.04918952 0.05214796
 0.02628487 0.0207158  0.04250714 0.02296007 0.03557367 0.05423352
 0.02481552 0.05523114]"
4,2009-03-23,"[0.05045434 0.02096174 0.0568891  0.037542   0.02256677 0.05081393
 0.02884732 0.02948735 0.05114448 0.04661737 0.04988592 0.03971902
 0.0263958  0.04006459 0.02161306 0.04649757 0.05221171 0.04816435
 0.02486555 0.02175571 0.04138348 0.02436359 0.03530348 0.0547218
 0.02489333 0.05283659]"
5,2009-03-24,"[0.05429389 0.02105578 0.05318244 0.03713429 0.02165454 0.04907303
 0.02796562 0.0291798  0.04871894 0.04731642 0.0505053  0.0415817
 0.02652037 0.04143326 0.02402913 0.04555307 0.05013608 0.05305539
 0.02587318 0.02033489 0.04148918 0.0238071  0.03467612 0.05224913
 0.0250688  0.05411247]"
6,2009-03-25,"[0.05291676 0.02074329 0.05439224 0.03823242 0.02178485 0.05114415
 0.02791149 0.02944661 0.04919878 0.04589275 0.05058479 0.04089005
 0.02649787 0.0409123  0.02330062 0.04526151 0.05189818 0.05329859
 0.02572676 0.0208163  0.04171023 0.02339171 0.03446445 0.05105642
 0.0245878  0.05393911]"
7,2009-03-26,"[0.05116683 0.0206959  0.05399969 0.03756383 0.02156117 0.05065921
 0.02919426 0.0291931  0.05095604 0.04597475 0.04999991 0.03813367
 0.02628693 0.03946947 0.02544034 0.04621895 0.05245386 0.05238944
 0.02475161 0.02266665 0.04127692 0.02421845 0.03562702 0.05282845
 0.0243698  0.05290375]"
8,2009-03-27,"[0.05412629 0.02063615 0.0523925  0.03859717 0.02144499 0.04915313
 0.02683651 0.02917764 0.04915236 0.04661524 0.04992994 0.03986654
 0.02613836 0.04166555 0.02550067 0.04469968 0.05173537 0.05253846
 0.02546905 0.0205166  0.04100786 0.02391155 0.03501351 0.05357628
 0.0255168  0.05478179]"
9,2009-03-30,"[0.05410576 0.02074287 0.05244127 0.0376069  0.02269272 0.05021542
 0.02752664 0.02909537 0.04920259 0.04666448 0.05044875 0.0395329
 0.02683909 0.04184706 0.02310796 0.0447441  0.04886588 0.05382407
 0.0255377  0.02065368 0.04202252 0.02324655 0.03531164 0.05361579
 0.02510812 0.05499999]"
10,2009-03-31,"[0.05246827 0.02069344 0.05480604 0.03654643 0.02233067 0.05103353
 0.0284889  0.02896013 0.05017082 0.04663324 0.04982576 0.03920966
 0.02621124 0.04012994 0.02369178 0.04729477 0.05099206 0.05173392
 0.02490178 0.02065687 0.04094822 0.02363286 0.03608597 0.05315392
 0.02465421 0.05474554]"
11,2009-04-01,"[0.05247066 0.02126895 0.05476961 0.03639014 0.02174127 0.0504922
 0.02800567 0.02893642 0.04986683 0.04671134 0.05001402 0.03941576
 0.02635593 0.04078294 0.02440583 0.04730838 0.05191611 0.05237237
 0.025413   0.02104978 0.04142173 0.02313494 0.03390644 0.05357807
 0.02550492 0.05276668]"
12,2009-04-02,"[0.05174428 0.02103586 0.0557718  0.03597872 0.02225056 0.05080413
 0.028449   0.0295756  0.05143568 0.04635568 0.05068629 0.03922658
 0.02608125 0.03983205 0.02401568 0.04433647 0.05225264 0.05198737
 0.02500883 0.02184835 0.0407051  0.02349352 0.03506387 0.05513944
 0.02529645 0.05162482]"
13,2009-04-03,"[0.05202724 0.02099008 0.05489671 0.03640815 0.02205629 0.05088803
 0.02812372 0.02917436 0.05402886 0.04644216 0.04948472 0.04013229
 0.02578975 0.03948203 0.02284248 0.04337591 0.05371592 0.05202762
 0.02476127 0.02053146 0.04050429 0.02399986 0.03721214 0.05285931
 0.02471185 0.05353355]"
14,2009-04-06,"[0.05326948 0.02132643 0.0519857  0.03888611 0.02200346 0.05059072
 0.02772621 0.02865565 0.04961354 0.04642075 0.04989889 0.04034999
 0.02603372 0.0410997  0.02225403 0.04571496 0.05153938 0.05305934
 0.02542461 0.02076453 0.04137424 0.02322979 0.0346958  0.0550023
 0.02523059 0.05385015]"
15,2009-04-07,"[0.05415692 0.02061304 0.05451633 0.03811434 0.02170867 0.04873204
 0.02729038 0.029003   0.05173013 0.04615726 0.05005065 0.04006602
 0.02623484 0.04107261 0.02158084 0.0464518  0.05046383 0.05192132
 0.0256518  0.02117433 0.04131269 0.02404007 0.03464039 0.05331349
 0.02479997 0.05520323]"
16,2009-04-08,"[0.05192223 0.02058898 0.05499767 0.0373559  0.02191495 0.05027047
 0.02956251 0.0294235  0.05043136 0.04586035 0.05043635 0.03921136
 0.02586219 0.04009201 0.02394203 0.04555587 0.05216025 0.05274421
 0.02480525 0.02127332 0.04119578 0.02387076 0.03476448 0.0533037
 0.02438299 0.05407143]"
17,2009-04-09,"[0.0518204  0.02088305 0.05477936 0.03672428 0.02223188 0.0511375
 0.02881227 0.02808032 0.04933548 0.04666213 0.05035089 0.04020176
 0.0255997  0.0399123  0.02492473 0.04555948 0.05276587 0.05264043
 0.02465721 0.02159504 0.04121156 0.02383597 0.03486958 0.05375477
 0.02468892 0.05296512]"
18,2009-04-13,"[0.05318153 0.02096237 0.05374463 0.0375622  0.02178874 0.05111142
 0.02816634 0.02900324 0.05175436 0.0472388  0.05023334 0.03947486
 0.0255484  0.04078528 0.0249723  0.04542966 0.049656   0.0511528
 0.02509498 0.02123805 0.0404356  0.02372681 0.03658389 0.05304267
 0.02472546 0.0533863 ]"
19,2009-04-14,"[0.05351887 0.02064796 0.05285088 0.0384549  0.02167471 0.05116522
 0.02794044 0.02882171 0.05048589 0.0456936  0.0492306  0.04006325
 0.02614594 0.04142997 0.02430122 0.04534214 0.05195409 0.05280147
 0.02509182 0.02110603 0.0408664  0.02419807 0.03380705 0.05378977
 0.02481568 0.05380227]"
20,2009-04-15,"[0.05322464 0.02074777 0.05328067 0.03746007 0.02131942 0.05046835
 0.02813189 0.02953373 0.04989737 0.04791266 0.05081106 0.03947251
 0.02637023 0.04134523 0.02284901 0.04442535 0.04991378 0.05221209
 0.02615676 0.02086185 0.04092438 0.02340259 0.03569457 0.05317569
 0.02533799 0.05507035]"
21,2009-04-16,"[0.05211437 0.02109236 0.05464435 0.03669079 0.02230956 0.05057592
 0.02726155 0.02907987 0.05019939 0.04671443 0.04968555 0.04044483
 0.02637096 0.04050363 0.02405044 0.04690754 0.05156888 0.05336615
 0.02484449 0.02070537 0.04180435 0.02442973 0.03388198 0.05265921
 0.02453506 0.05355927]"
22,2009-04-17,"[0.05271581 0.02100168 0.05430074 0.03737302 0.02205104 0.05158142
 0.02815235 0.02876371 0.05083754 0.04654573 0.04992701 0.03955363
 0.02588612 0.04129523 0.02462398 0.04393432 0.05121733 0.05296784
 0.02525227 0.02184982 0.04038896 0.02384045 0.03484478 0.05244699
 0.02482598 0.0538222 ]"
23,2009-04-20,"[0.05499914 0.02105149 0.0531115  0.03797859 0.02263032 0.0483953
 0.02734195 0.02936417 0.05046326 0.04654073 0.0499436  0.04026862
 0.02599074 0.04193007 0.02078089 0.04572459 0.04986805 0.05322542
 0.02511663 0.02069003 0.04162242 0.0237466  0.03451525 0.05380584
 0.02516886 0.055726  ]"
24,2009-04-21,"[0.05215884 0.02066191 0.05368651 0.03734818 0.02192014 0.05023052
 0.02847073 0.03012024 0.05208853 0.04590412 0.05056067 0.03860255
 0.02633985 0.04019658 0.02452144 0.0456034  0.05019477 0.05224734
 0.02464926 0.0216177  0.04128043 0.02308211 0.03679644 0.05294898
 0.02461224 0.05415651]"
25,2009-04-22,"[0.05282851 0.02066813 0.05463906 0.03674221 0.02199945 0.05142855
 0.02780628 0.02949717 0.05183639 0.04651864 0.05036185 0.04053726
 0.02600377 0.03972689 0.02270701 0.04485856 0.05250419 0.05206738
 0.02452349 0.02243601 0.04099165 0.02441229 0.03429353 0.05249001
 0.02473588 0.05338595]"
26,2009-04-23,"[0.05286698 0.02138923 0.05446288 0.03899189 0.02227727 0.0510056
 0.02735577 0.02898753 0.04939947 0.04636271 0.04904027 0.03934871
 0.02590363 0.04092523 0.02309423 0.04568344 0.05020572 0.05220017
 0.02519474 0.02242062 0.04121837 0.02326668 0.03542489 0.05403825
 0.02493038 0.05400524]"
27,2009-04-24,"[0.05192176 0.02011168 0.05697343 0.03926808 0.02252295 0.04858036
 0.02756336 0.02943396 0.05052497 0.04600246 0.04997477 0.04045228
 0.02586081 0.03964777 0.02349693 0.04921879 0.05126888 0.05026739
 0.02511693 0.02095031 0.04094417 0.02398355 0.03563003 0.05320367
 0.02441356 0.05266714]"
28,2009-04-27,"[0.05351945 0.02112206 0.05383764 0.03829856 0.0218062  0.04918253
 0.02768652 0.02917118 0.05153434 0.04640797 0.04961137 0.0398217
 0.02535938 0.04120443 0.02294499 0.04478539 0.04979188 0.05353099
 0.02586436 0.02086519 0.04213682 0.02342515 0.03453291 0.05376915
 0.02479138 0.05499842]"
29,2009-04-28,"[0.0531188  0.02068588 0.0530979  0.03794229 0.02180136 0.04992845
 0.02814014 0.02892462 0.05045753 0.04621326 0.05042565 0.03965279
 0.02617808 0.04077512 0.0232549  0.04451167 0.05139732 0.05301139
 0.02584262 0.02167704 0.04071944 0.023302   0.03625226 0.05322449
 0.02531988 0.05414505]"
30,2009-04-29,"[0.05238399 0.0207419  0.05543587 0.03765998 0.02100069 0.05070016
 0.0288292  0.02923791 0.05093857 0.04676707 0.04987692 0.03947132
 0.02603967 0.04068071 0.0226471  0.04565255 0.04977101 0.04983629
 0.02521643 0.02119632 0.04191624 0.02399081 0.03626611 0.05537611
 0.02419334 0.05417365]"
31,2009-04-30,"[0.05208162 0.02053042 0.05414017 0.03515305 0.02175973 0.05299252
 0.03186863 0.02926326 0.051159   0.04609931 0.04904345 0.03852605
 0.02582231 0.04119105 0.02167721 0.04469382 0.05302845 0.05363402
 0.02452701 0.02195034 0.04043391 0.02424365 0.03525404 0.05445103
 0.02443235 0.05204359]"
32,2009-05-01,"[0.05327331 0.02111904 0.0543819  0.03796586 0.02162852 0.05058616
 0.02684061 0.02881029 0.04903384 0.04634982 0.04915461 0.03997028
 0.02627598 0.04124365 0.02316461 0.0456488  0.05225766 0.05082801
 0.02545144 0.02028674 0.0416062  0.0237193  0.0352829  0.05574264
 0.02522242 0.0541553 ]"
33,2009-05-04,"[0.05204745 0.02117899 0.05143386 0.03690933 0.02176936 0.05154243
 0.02920419 0.02869647 0.0521802  0.04650459 0.04988596 0.03941607
 0.02626581 0.04101094 0.02387791 0.04453219 0.05293528 0.05255432
 0.02450641 0.02143001 0.0405555  0.02384807 0.03613469 0.05397903
 0.02486517 0.05273568]"
34,2009-05-05,"[0.05320506 0.02095933 0.05450003 0.03740273 0.02261575 0.04901294
 0.02737063 0.02928555 0.05210031 0.04667549 0.05010116 0.04088635
 0.02717002 0.04146838 0.02307797 0.04473122 0.04925397 0.05194604
 0.02572947 0.02119994 0.04066511 0.02318501 0.03479242 0.05371604
 0.02468652 0.05426264]"
35,2009-05-06,"[0.05334433 0.02087976 0.05314711 0.03762262 0.0221095  0.04971094
 0.02849318 0.02891794 0.04959476 0.04673599 0.04998274 0.04030228
 0.02671329 0.04100457 0.02329141 0.04575482 0.05042844 0.05197862
 0.02546489 0.02098595 0.0415482  0.02449856 0.03467414 0.05360884
 0.0251889  0.05401819]"
36,2009-05-07,"[0.05420102 0.02069705 0.05360151 0.03807101 0.02169821 0.04827937
 0.03001833 0.02927224 0.04841194 0.04662363 0.05023452 0.04209417
 0.02643109 0.04230242 0.02213538 0.04538555 0.04854679 0.05209098
 0.02575934 0.02161174 0.0407327  0.02331223 0.03551206 0.05274561
 0.0247396  0.05549144]"
37,2009-05-08,"[0.0528313  0.0207326  0.05327456 0.03763809 0.0215059  0.04984288
 0.02781902 0.02954116 0.05010011 0.04748105 0.04957334 0.04035849
 0.02643641 0.04078937 0.02352417 0.04554934 0.04394858 0.05143717
 0.02535759 0.02055398 0.0409544  0.0232897  0.03651053 0.06223582
 0.0248329  0.05388149]"
38,2009-05-11,"[0.05328437 0.0209508  0.0557311  0.03844199 0.0222472  0.04906605
 0.02743508 0.02900063 0.05098627 0.04670234 0.04909173 0.03848351
 0.02662832 0.0404219  0.02132581 0.04546805 0.05241808 0.05381098
 0.02535445 0.02093454 0.04140475 0.02381444 0.03397479 0.05373936
 0.02502907 0.05425436]"
39,2009-05-12,"[0.05350047 0.02014041 0.05406221 0.03825594 0.02195827 0.05062405
 0.02659418 0.03005546 0.05041433 0.04578768 0.04983132 0.04050319
 0.02695412 0.04191666 0.02116177 0.04724262 0.04916245 0.05173678
 0.02538485 0.02091908 0.04141276 0.02336934 0.03502484 0.0536884
 0.02564516 0.05465369]"
40,2009-05-13,"[0.05435971 0.02046651 0.05352488 0.03849233 0.02142553 0.04976631
 0.02750445 0.02926638 0.04937132 0.04643993 0.05162255 0.03888289
 0.02642683 0.04201496 0.02199381 0.04629755 0.04906722 0.05215842
 0.02616027 0.02098283 0.04128163 0.02469859 0.03561839 0.05287486
 0.02501336 0.0542884 ]"
41,2009-05-14,"[0.05246945 0.02116552 0.05495755 0.03738616 0.0219924  0.05150316
 0.02863725 0.02837859 0.05089938 0.04567436 0.04884876 0.03942104
 0.02627476 0.04034833 0.02397954 0.04571082 0.05135449 0.05229618
 0.02566269 0.02090339 0.04143602 0.02415171 0.03475072 0.05399037
 0.0248618  0.05294564]"
42,2009-05-15,"[0.05306218 0.02071258 0.05392861 0.03769083 0.02152677 0.05041955
 0.02814485 0.02921105 0.0510366  0.04673307 0.04973977 0.03950748
 0.02596312 0.04119046 0.02232072 0.0458758  0.05252526 0.0534884
 0.0250614  0.02152203 0.04139236 0.02389206 0.0354154  0.05252725
 0.02464187 0.05247053]"
43,2009-05-18,"[0.05174289 0.02098595 0.05374465 0.0376699  0.02210621 0.05116312
 0.0287101  0.0293705  0.0494803  0.04607313 0.05199893 0.03904619
 0.02625475 0.04034432 0.02369958 0.04521533 0.05295786 0.0522773
 0.02512269 0.02136432 0.0414547  0.02353407 0.0349481  0.05349722
 0.0244034  0.05283456]"
44,2009-05-19,"[0.05285081 0.02085027 0.05389684 0.03801298 0.02243406 0.05099176
 0.02827003 0.02983498 0.05106134 0.04648627 0.04714492 0.04014871
 0.02691088 0.04062133 0.02272882 0.04497717 0.05198943 0.05291754
 0.02545137 0.02113564 0.04130017 0.02391347 0.03412823 0.05288741
 0.02480856 0.05424706]"
45,2009-05-20,"[0.05318722 0.02059277 0.05373042 0.03828728 0.02204847 0.05033363
 0.02805415 0.0302874  0.04968434 0.04634454 0.04849461 0.03958517
 0.02645621 0.04098225 0.021514   0.04577731 0.05284449 0.0510346
 0.02561642 0.02142822 0.04183285 0.0242478  0.03528571 0.05391234
 0.0251604  0.05327737]"
46,2009-05-21,"[0.05395278 0.02086741 0.05418974 0.03750571 0.02176131 0.05009982
 0.02746811 0.02944803 0.05054773 0.047132   0.04883841 0.03910369
 0.02894942 0.04129415 0.02203453 0.04500513 0.05174149 0.05266019
 0.02547848 0.02133746 0.03765673 0.02359108 0.03643099 0.0535634
 0.02479875 0.05454358]"
47,2009-05-22,"[0.0533518  0.02063282 0.05509696 0.03776673 0.02199527 0.05046161
 0.02849589 0.0293972  0.04628503 0.04633369 0.05021185 0.0400467
 0.02586331 0.04095928 0.0228717  0.04559961 0.05228119 0.05249007
 0.02551316 0.0206067  0.04119928 0.02461841 0.03502538 0.05363258
 0.02478485 0.05447904]"
48,2009-05-26,"[0.05144136 0.02152994 0.05508642 0.03731846 0.02207168 0.05035247
 0.02790576 0.02884346 0.05077638 0.04625749 0.05047068 0.04000568
 0.02656179 0.04000595 0.0235846  0.04544067 0.05231819 0.05291102
 0.0244233  0.02131546 0.04104972 0.02366682 0.03457152 0.05301547
 0.02487612 0.05419954]"
49,2009-05-27,"[0.05367931 0.02140947 0.05332447 0.03770544 0.0218582  0.05010341
 0.02831371 0.02939716 0.04971584 0.04711293 0.0495874  0.04023976
 0.02563808 0.04059754 0.02371578 0.04556679 0.05189873 0.05129195
 0.02499521 0.02126034 0.04090928 0.02402122 0.03507223 0.05436469
 0.02466071 0.05356021]"
50,2009-05-28,"[0.05268443 0.02096773 0.0541354  0.03768638 0.02196763 0.05012975
 0.02879858 0.02852412 0.05187555 0.04665313 0.04830807 0.03971921
 0.02613398 0.04084157 0.02220836 0.04590718 0.05152497 0.05184872
 0.02566297 0.02150834 0.04093713 0.02396146 0.03517282 0.05331105
 0.02504598 0.05448559]"
51,2009-05-29,"[0.05262568 0.02074415 0.05474902 0.03729177 0.0218831  0.05111027
 0.02618239 0.02933567 0.05031401 0.04681791 0.05059841 0.03910484
 0.02665318 0.04103275 0.02393289 0.04610962 0.05039538 0.05177607
 0.02563414 0.02204007 0.04110246 0.02373358 0.03546089 0.0537336
 0.02473608 0.05290208]"
